watchitem_id,length_min,media,income
2,109,TV,516043952
5,163,Cinema,680746455
9,105,TV,803121004
11,160,Cinema,393691093
15,126,Streaming,828235046
16,103,Streaming,318059297
18,113,Streaming,984424268
22,133,Cinema,504575784
26,157,Cinema,736039739
28,141,TV,875017441
29,174,Cinema,851146513
33,167,Cinema,536559925
34,156,TV,43570714
36,140,Cinema,493134228
37,109,TV,181580259
39,121,TV,889127672
41,92,Streaming,236821196
44,117,Cinema,228147021
47,173,Cinema,642602003
48,123,Cinema,571275528
50,91,Streaming,948845989
51,145,Cinema,416320799
52,177,Streaming,282349935
59,167,Cinema,49349194
60,107,Streaming,7175200
68,125,Cinema,925824812
69,133,TV,523800573
70,105,Cinema,893558263
71,107,Cinema,101761735
72,103,Cinema,93411671
74,180,TV,833475207
75,155,Cinema,106831353
76,164,Streaming,52056670
77,162,Streaming,404152278
