role_id,person_id,watchitem_id,role_type
1,54,1,Producer
2,29,1,Director
3,58,1,Actor
4,98,2,Producer
5,104,2,Director
6,21,2,Director
7,36,3,Director
8,20,3,Actor
9,28,3,Actor
10,98,3,Director
11,13,4,Producer
12,46,4,Director
13,109,4,Actor
14,45,4,Producer
15,59,5,Director
16,69,5,Actor
17,16,5,Producer
18,119,5,Director
19,107,6,Director
20,81,6,Producer
21,80,6,Actor
22,114,6,Producer
23,111,6,Actor
24,6,7,Actor
25,85,7,Actor
26,30,7,Actor
27,99,7,Director
28,38,7,Director
29,59,8,Director
30,82,8,Director
31,107,8,Actor
32,47,8,Producer
33,21,8,Director
34,90,9,Actor
35,120,9,Producer
36,88,9,Producer
37,83,9,Actor
38,69,10,Actor
39,94,10,Director
40,32,10,Director
41,35,11,Producer
42,119,11,Producer
43,72,12,Actor
44,29,12,Actor
45,88,12,Actor
46,42,12,Director
47,52,13,Actor
48,35,13,Actor
49,117,14,Actor
50,73,14,Producer
51,113,14,Director
52,92,14,Director
53,41,14,Producer
54,59,15,Producer
55,19,15,Producer
56,34,15,Producer
57,18,15,Director
58,32,15,Producer
59,75,16,Producer
60,55,16,Director
61,47,17,Actor
62,29,17,Actor
63,18,17,Actor
64,66,17,Actor
65,64,17,Producer
66,21,18,Producer
67,102,18,Director
68,77,19,Producer
69,9,19,Director
70,50,19,Producer
71,49,19,Director
72,71,20,Actor
73,111,20,Producer
74,93,21,Producer
75,15,21,Director
76,88,21,Producer
77,44,22,Actor
78,15,22,Director
79,38,22,Actor
80,56,22,Producer
81,113,23,Actor
82,93,23,Producer
83,34,23,Actor
84,65,23,Producer
85,39,24,Producer
86,108,24,Producer
87,82,24,Actor
88,20,25,Producer
89,48,25,Actor
90,98,25,Producer
91,21,25,Director
92,70,25,Director
93,3,26,Director
94,15,26,Actor
95,119,26,Actor
96,47,26,Actor
97,113,26,Producer
98,11,27,Director
99,94,27,Actor
100,98,28,Actor
101,69,28,Producer
102,99,28,Director
103,17,28,Producer
104,22,29,Producer
105,34,29,Director
106,68,29,Actor
107,112,29,Producer
108,97,30,Actor
109,94,30,Producer
110,89,30,Director
111,52,31,Director
112,86,31,Producer
113,84,31,Director
114,48,31,Actor
115,32,32,Producer
116,29,32,Producer
117,9,32,Actor
118,44,32,Producer
119,3,32,Actor
120,1,33,Actor
121,10,33,Actor
122,91,33,Actor
123,81,33,Director
124,8,33,Actor
125,66,34,Actor
126,31,34,Producer
127,36,34,Actor
128,86,34,Producer
129,63,34,Producer
130,74,35,Director
131,61,35,Director
132,32,35,Actor
133,101,35,Actor
134,13,36,Director
135,85,36,Director
136,56,36,Director
137,60,37,Producer
138,111,37,Producer
139,94,37,Actor
140,7,37,Actor
141,87,37,Director
142,94,38,Actor
143,44,38,Actor
144,103,38,Actor
145,25,39,Director
146,69,39,Actor
147,58,39,Director
148,18,39,Director
149,32,40,Actor
150,112,40,Director
151,119,40,Producer
152,13,41,Producer
153,7,41,Actor
154,84,41,Actor
155,119,42,Actor
156,97,42,Actor
157,53,43,Director
158,63,43,Actor
159,62,43,Actor
160,28,43,Director
161,111,43,Actor
162,50,44,Director
163,34,44,Director
164,55,45,Producer
165,90,45,Producer
166,85,46,Director
167,92,46,Actor
168,63,46,Actor
169,20,46,Producer
170,25,46,Producer
171,70,47,Actor
172,8,47,Actor
173,96,47,Producer
174,41,47,Director
175,65,48,Producer
176,118,48,Actor
177,110,48,Actor
178,66,49,Actor
179,11,49,Producer
180,109,49,Actor
181,24,49,Producer
182,111,50,Actor
183,31,50,Producer
184,52,50,Actor
185,75,51,Actor
186,77,51,Producer
187,11,52,Producer
188,54,52,Producer
189,85,52,Director
190,75,52,Director
191,27,53,Producer
192,86,53,Director
193,31,54,Producer
194,34,54,Producer
195,51,54,Director
196,17,54,Director
197,41,55,Actor
198,119,55,Director
199,97,55,Producer
200,120,55,Producer
201,10,55,Actor
202,10,56,Actor
203,69,56,Director
204,28,56,Actor
205,65,56,Actor
206,34,56,Director
207,37,57,Producer
208,21,57,Producer
209,57,57,Director
210,79,58,Producer
211,104,58,Producer
212,84,58,Director
213,68,58,Producer
214,2,58,Actor
215,113,59,Actor
216,18,59,Producer
217,34,59,Producer
218,15,59,Actor
219,35,60,Actor
220,37,60,Producer
221,78,60,Director
222,27,61,Producer
223,88,61,Director
224,65,62,Actor
225,63,62,Actor
226,33,62,Producer
227,55,63,Actor
228,107,63,Director
229,36,63,Actor
230,6,63,Producer
231,34,64,Producer
232,21,64,Director
233,95,64,Producer
234,57,64,Actor
235,71,64,Actor
236,10,65,Producer
237,114,65,Actor
238,70,66,Producer
239,5,66,Producer
240,107,66,Actor
241,48,66,Director
242,17,67,Actor
243,6,67,Director
244,40,67,Actor
245,47,67,Producer
246,116,67,Actor
247,86,68,Director
248,14,68,Producer
249,46,68,Producer
250,100,68,Actor
251,72,68,Actor
252,111,69,Actor
253,21,69,Director
254,103,69,Actor
255,23,70,Director
256,95,70,Director
257,103,71,Producer
258,86,71,Actor
259,111,71,Director
260,21,72,Actor
261,101,72,Director
262,90,72,Actor
263,14,72,Actor
264,49,72,Director
265,45,73,Actor
266,40,73,Actor
267,106,73,Actor
268,102,73,Producer
269,112,73,Actor
270,52,74,Actor
271,43,74,Director
272,36,74,Director
273,111,74,Producer
274,66,75,Producer
275,52,75,Producer
276,43,76,Actor
277,4,76,Director
278,23,77,Actor
279,75,77,Actor
280,34,77,Producer
281,56,78,Director
282,45,78,Director
283,94,78,Producer
284,101,78,Producer
285,15,79,Producer
286,50,79,Actor
287,33,80,Actor
288,6,80,Producer
289,91,80,Producer
290,56,80,Producer
