rate_id,user_id,watchitem_id,rating,verbal_rating
1,1,26,1,Bad
2,1,47,1,Bad
3,1,56,5,Average
4,1,9,8,Good
5,1,43,9,Excellent
6,1,41,5,Average
7,2,16,10,Excellent
8,2,39,5,Average
9,2,65,4,Bad
10,2,40,5,Average
11,3,53,4,Bad
12,3,42,6,Average
13,4,52,8,Good
14,4,38,8,Good
15,4,71,6,Average
16,4,17,2,Bad
17,4,25,4,Bad
18,4,54,10,Excellent
19,4,49,1,Bad
20,4,23,9,Excellent
21,4,39,7,Good
22,5,52,8,Good
23,5,71,9,Excellent
24,5,1,1,Bad
25,5,39,2,Bad
26,6,37,10,Excellent
27,6,27,1,Bad
28,6,56,7,Good
29,6,75,2,Bad
30,6,42,7,Good
31,6,60,7,Good
32,6,57,1,Bad
33,7,57,9,Excellent
34,7,28,9,Excellent
35,7,66,1,Bad
36,7,61,3,Bad
37,7,22,3,Bad
38,7,11,5,Average
39,7,37,2,Bad
40,8,66,8,Good
41,8,43,9,Excellent
42,8,12,2,Bad
43,8,31,1,Bad
44,8,40,10,Excellent
45,8,29,3,Bad
46,8,26,7,Good
47,8,19,10,Excellent
48,9,4,1,Bad
49,9,6,1,Bad
50,10,32,1,Bad
51,10,61,9,Excellent
52,10,79,7,Good
53,11,10,9,Excellent
54,11,59,10,Excellent
55,11,54,3,Bad
56,11,74,3,Bad
57,11,25,9,Excellent
58,11,50,3,Bad
59,11,64,1,Bad
60,11,52,7,Good
61,11,32,9,Excellent
62,12,19,10,Excellent
63,12,1,2,Bad
64,12,14,8,Good
65,12,55,9,Excellent
66,12,29,7,Good
67,12,23,9,Excellent
68,12,67,9,Excellent
69,12,60,5,Average
70,12,7,1,Bad
71,13,72,3,Bad
72,13,32,2,Bad
73,13,16,2,Bad
74,13,59,7,Good
75,13,18,6,Average
76,14,60,8,Good
77,14,68,6,Average
78,14,72,7,Good
79,14,77,1,Bad
80,14,41,9,Excellent
81,14,57,5,Average
82,15,79,9,Excellent
83,15,65,8,Good
84,15,55,1,Bad
85,16,71,1,Bad
86,16,58,3,Bad
87,16,21,1,Bad
88,17,61,6,Average
89,17,58,10,Excellent
90,17,34,8,Good
91,17,32,7,Good
92,17,36,6,Average
93,17,67,1,Bad
94,17,63,1,Bad
95,18,31,1,Bad
96,18,36,1,Bad
97,18,57,3,Bad
98,18,10,9,Excellent
99,18,37,5,Average
100,18,80,8,Good
101,19,35,2,Bad
102,19,43,4,Bad
103,19,41,1,Bad
104,19,70,8,Good
105,19,11,2,Bad
106,20,18,10,Excellent
107,20,20,6,Average
108,20,30,5,Average
109,20,50,6,Average
110,20,28,8,Good
111,21,9,7,Good
112,21,54,9,Excellent
113,21,53,6,Average
114,21,43,5,Average
115,22,70,3,Bad
116,22,60,10,Excellent
117,22,54,6,Average
118,23,8,5,Average
119,23,27,6,Average
120,23,54,6,Average
121,23,50,7,Good
122,24,75,7,Good
123,24,3,5,Average
124,24,74,10,Excellent
125,24,49,2,Bad
126,25,62,5,Average
127,25,1,6,Average
128,25,46,7,Good
129,26,39,10,Excellent
130,26,50,5,Average
131,26,54,2,Bad
132,26,69,2,Bad
133,26,70,10,Excellent
134,27,78,10,Excellent
135,27,29,3,Bad
136,27,63,1,Bad
137,28,29,7,Good
138,28,35,5,Average
139,28,56,8,Good
140,28,63,7,Good
141,29,4,7,Good
142,29,50,10,Excellent
143,29,44,5,Average
144,29,52,2,Bad
145,29,22,5,Average
146,30,60,3,Bad
