watchitem_id,person_id,name,role_type
1,58,Person 58,Actor
1,29,Person 29,Director
1,54,Person 54,Producer
2,21,Person 21,Director
2,104,Person 104,Director
2,98,Person 98,Producer
3,20,Person 20,Actor
3,28,Person 28,Actor
3,36,Person 36,Director
3,98,Person 98,Director
4,109,Person 109,Actor
4,46,Person 46,Director
4,13,Person 13,Producer
4,45,Person 45,Producer
5,69,Person 69,Actor
5,59,Person 59,Director
5,119,Person 119,Director
5,16,Person 16,Producer
6,80,Person 80,Actor
6,111,Person 111,Actor
6,107,Person 107,Director
6,81,Person 81,Producer
6,114,Person 114,Producer
7,6,Person 6,Actor
7,30,Person 30,Actor
7,85,Person 85,Actor
7,38,Person 38,Director
7,99,Person 99,Director
8,107,Person 107,Actor
8,21,Person 21,Director
8,59,Person 59,Director
8,82,Person 82,Director
8,47,Person 47,Producer
9,83,Person 83,Actor
9,90,Person 90,Actor
9,88,Person 88,Producer
9,120,Person 120,Producer
10,69,Person 69,Actor
10,32,Person 32,Director
10,94,Person 94,Director
11,35,Person 35,Producer
11,119,Person 119,Producer
12,29,Person 29,Actor
12,72,Person 72,Actor
12,88,Person 88,Actor
12,42,Person 42,Director
13,35,Person 35,Actor
13,52,Person 52,Actor
14,117,Person 117,Actor
14,92,Person 92,Director
14,113,Person 113,Director
14,41,Person 41,Producer
14,73,Person 73,Producer
15,18,Person 18,Director
15,19,Person 19,Producer
15,32,Person 32,Producer
15,34,Person 34,Producer
15,59,Person 59,Producer
16,55,Person 55,Director
16,75,Person 75,Producer
17,18,Person 18,Actor
17,29,Person 29,Actor
17,47,Person 47,Actor
17,66,Person 66,Actor
17,64,Person 64,Producer
18,102,Person 102,Director
18,21,Person 21,Producer
19,9,Person 9,Director
19,49,Person 49,Director
19,50,Person 50,Producer
19,77,Person 77,Producer
20,71,Person 71,Actor
20,111,Person 111,Producer
21,15,Person 15,Director
21,88,Person 88,Producer
21,93,Person 93,Producer
22,38,Person 38,Actor
22,44,Person 44,Actor
22,15,Person 15,Director
22,56,Person 56,Producer
23,34,Person 34,Actor
23,113,Person 113,Actor
23,65,Person 65,Producer
23,93,Person 93,Producer
24,82,Person 82,Actor
24,39,Person 39,Producer
24,108,Person 108,Producer
25,48,Person 48,Actor
25,21,Person 21,Director
25,70,Person 70,Director
25,20,Person 20,Producer
25,98,Person 98,Producer
26,15,Person 15,Actor
26,47,Person 47,Actor
26,119,Person 119,Actor
26,3,Person 3,Director
26,113,Person 113,Producer
27,94,Person 94,Actor
27,11,Person 11,Director
28,98,Person 98,Actor
28,99,Person 99,Director
28,17,Person 17,Producer
28,69,Person 69,Producer
29,68,Person 68,Actor
29,34,Person 34,Director
29,22,Person 22,Producer
29,112,Person 112,Producer
30,97,Person 97,Actor
30,89,Person 89,Director
30,94,Person 94,Producer
31,48,Person 48,Actor
31,52,Person 52,Director
31,84,Person 84,Director
31,86,Person 86,Producer
32,3,Person 3,Actor
32,9,Person 9,Actor
32,29,Person 29,Producer
32,32,Person 32,Producer
32,44,Person 44,Producer
33,1,Person 1,Actor
33,8,Person 8,Actor
33,10,Person 10,Actor
33,91,Person 91,Actor
33,81,Person 81,Director
34,36,Person 36,Actor
34,66,Person 66,Actor
34,31,Person 31,Producer
34,63,Person 63,Producer
34,86,Person 86,Producer
35,32,Person 32,Actor
35,101,Person 101,Actor
35,61,Person 61,Director
35,74,Person 74,Director
36,13,Person 13,Director
36,56,Person 56,Director
36,85,Person 85,Director
37,7,Person 7,Actor
37,94,Person 94,Actor
37,87,Person 87,Director
37,60,Person 60,Producer
