watchitem_id,title,release_year,avg_rating,genre_id,item_type
1,Title 1,2013,4.66,10,Episode
2,Title 2,2019,2.5,5,Movie
3,Title 3,1990,1.81,4,Episode
4,Title 4,2016,5.16,8,Episode
5,Title 5,1995,5.51,8,Movie
6,Title 6,1995,7.27,10,Episode
7,Title 7,2006,4.43,5,Episode
8,Title 8,2000,6.67,3,Episode
9,Title 9,2003,1.79,7,Movie
10,Title 10,1994,9.66,4,Series
11,Title 11,2022,7.3,4,Movie
12,Title 12,1999,9.72,5,Episode
13,Title 13,2018,7.45,3,Series
14,Title 14,2006,3.45,8,Episode
15,Title 15,1993,9.12,1,Movie
16,Title 16,2006,2.82,2,Movie
17,Title 17,2001,6.21,8,Series
18,Title 18,1996,8.71,6,Movie
19,Title 19,2017,7.48,1,Episode
20,Title 20,2005,6.65,7,Series
21,Title 21,2011,6.85,2,Episode
22,Title 22,1993,4.74,7,Movie
23,Title 23,1991,5.45,8,Episode
24,Title 24,2001,2.3,2,Episode
25,Title 25,1993,6.29,7,Episode
26,Title 26,1996,9.33,8,Movie
27,Title 27,2010,4.12,10,Series
28,Title 28,2011,1.21,7,Movie
29,Title 29,2024,5.34,2,Movie
30,Title 30,2018,1.74,5,Episode
31,Title 31,2007,5.42,3,Episode
32,Title 32,2023,6.15,5,Episode
33,Title 33,2007,3.4,6,Movie
34,Title 34,2001,5.69,10,Movie
35,Title 35,2005,1.19,9,Series
36,Title 36,2019,9.07,4,Movie
37,Title 37,1995,5.99,6,Movie
38,Title 38,1993,7.05,4,Series
39,Title 39,2000,6.93,2,Movie
40,Title 40,2016,7.92,8,Episode
41,Title 41,1993,9.24,4,Movie
42,Title 42,1998,1.34,10,Episode
43,Title 43,2009,4.34,2,Episode
44,Title 44,2019,8.27,4,Movie
45,Title 45,2001,9.58,10,Episode
46,Title 46,2000,5.64,7,Episode
47,Title 47,1999,9.42,10,Movie
48,Title 48,1995,1.4,2,Movie
49,Title 49,2005,9.93,3,Episode
50,Title 50,2022,7.74,2,Movie
51,Title 51,2022,9.04,9,Movie
52,Title 52,2008,3.84,2,Movie
53,Title 53,2017,6.95,1,Episode
54,Title 54,2003,1.85,5,Episode
55,Title 55,2016,3.36,8,Episode
56,Title 56,2023,3.17,1,Episode
57,Title 57,1994,8.48,1,Series
58,Title 58,1995,2.61,9,Series
59,Title 59,2011,8.87,4,Movie
60,Title 60,1997,3.79,1,Movie
61,Title 61,2017,9.75,10,Episode
62,Title 62,2008,2.3,5,Series
63,Title 63,1990,3.07,10,Series
64,Title 64,1994,7.1,3,Episode
65,Title 65,1994,5.56,10,Series
66,Title 66,2014,6.23,10,Series
67,Title 67,1997,8.24,5,Series
68,Title 68,2015,7.65,1,Movie
69,Title 69,1994,2.11,9,Movie
70,Title 70,2023,4.58,6,Movie
71,Title 71,2000,5.4,10,Movie
72,Title 72,2013,9.6,6,Movie
73,Title 73,2000,9.32,6,Episode
74,Title 74,1990,6.0,5,Movie
75,Title 75,2012,1.95,2,Movie
76,Title 76,1995,4.77,8,Movie
77,Title 77,2024,6.36,1,Movie
78,Title 78,2023,8.24,2,Episode
79,Title 79,2006,8.06,5,Series
80,Title 80,1990,1.98,9,Episode
