scale_label,run_phase,official_id,query_name,best_config,best_group,best_design_pattern,best_p95_ms
sf0.1,hot,IC1,IC1_TransitiveFriendsWithName,G3,primary,root_with_references_or_summaries,131.36169524441357
sf0.1,hot,IC2,IC2_RecentMessagesByFriends,G3,primary,root_with_references_or_summaries,28.63882864112384
sf0.1,hot,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,G0,primary,root_with_references,164.71139774730543
sf0.1,hot,IC4,IC4_NewTopics,G3,primary,root_with_references_or_summaries,44.0561354997044
sf0.1,hot,IC5,IC5_NewGroups,G7,secondary_affected,containment_baseline,135.32296839985065
sf0.1,hot,IC6,IC6_TagCoOccurrence,G3,primary,root_with_references_or_summaries,198.16879355275887
sf0.1,hot,IC7,IC7_RecentLikers,G4,secondary_affected,explicit_edge_collection,7.464429102401482
sf0.1,hot,INS1,INS1_AddPerson,G3,primary,root_with_references_or_summaries,1.1844372005725743
sf0.1,hot,INS2,INS2_AddLikeToPost,G4,primary,explicit_edge_collection,1.049604903528234
sf0.1,hot,INS3,INS3_AddLikeToComment,G4,primary,explicit_edge_collection,1.2222706456668675
sf0.1,hot,INS4,INS4_AddForum,G0,primary,root_with_references,1.126103304704884
sf0.1,hot,INS5,INS5_AddForumMembership,G4,primary,explicit_edge_collection,1.1133203508506997
sf0.1,hot,INS6,INS6_AddPost,G0,primary,root_with_references,2.2203130545676686
sf0.1,hot,INS7,INS7_AddComment,G3,primary,root_with_references_or_summaries,1.1866082008054946
sf0.1,hot,INS8,INS8_AddFriendship,G3,primary,root_with_references_or_summaries,1.948728306160774
sf0.1,hot,IS1,IS1_ProfileOfPerson,G0,primary,root_with_references,1.6773467978055117
sf0.1,hot,IS2,IS2_RecentMessagesOfPerson,G6,secondary_affected,referenced_or_reverse_indexed_edges,2.2557887037692126
sf0.1,hot,IS3,IS3_FriendsOfPerson,G3,primary,root_with_references_or_summaries,2.853694301302312
