official_id,query_name,scale_label,run_phase,query_group,n_tested_configs,n_activated_configs,DSR,best_config,best_group,best_design_pattern,best_p95_ms,top1_preserved_by_activated,near_best_preserved_by_activated,activated_regret,best_activated_config,best_activated_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret
IC1,IC1_TransitiveFriendsWithName,sf0.1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,131.36169524441357,True,True,0.0,G3,131.36169524441357,G3,131.36169524441357,0.0
IC2,IC2_RecentMessagesByFriends,sf0.1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,28.63882864112384,True,True,0.0,G3,28.63882864112384,G3,28.63882864112384,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf0.1,hot,complex_read,4,4,0.6,G0,primary,root_with_references,164.71139774730543,True,True,0.0,G0,164.71139774730543,G0,164.71139774730543,0.0
IC4,IC4_NewTopics,sf0.1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,44.0561354997044,True,True,0.0,G3,44.0561354997044,G3,44.0561354997044,0.0
IC5,IC5_NewGroups,sf0.1,hot,complex_read,6,6,0.4,G7,secondary_affected,containment_baseline,135.32296839985065,True,True,0.0,G7,135.32296839985065,G0,158.65669925042312,0.1724299365176962
IC6,IC6_TagCoOccurrence,sf0.1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,198.16879355275887,True,True,0.0,G3,198.16879355275887,G3,198.16879355275887,0.0
IC7,IC7_RecentLikers,sf0.1,hot,complex_read,4,4,0.6,G4,secondary_affected,explicit_edge_collection,7.464429102401482,True,True,0.0,G4,7.464429102401482,G0,10.14522975165164,0.3591434271092052
INS1,INS1_AddPerson,sf0.1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.1844372005725743,True,True,0.0,G3,1.1844372005725743,G3,1.1844372005725743,0.0
INS2,INS2_AddLikeToPost,sf0.1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.049604903528234,True,True,0.0,G4,1.049604903528234,G4,1.049604903528234,0.0
INS3,INS3_AddLikeToComment,sf0.1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.2222706456668675,True,True,0.0,G4,1.2222706456668675,G4,1.2222706456668675,0.0
INS4,INS4_AddForum,sf0.1,hot,insert,2,2,0.8,G0,primary,root_with_references,1.126103304704884,True,True,0.0,G0,1.126103304704884,G0,1.126103304704884,0.0
INS5,INS5_AddForumMembership,sf0.1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.1133203508506997,True,True,0.0,G4,1.1133203508506997,G4,1.1133203508506997,0.0
INS6,INS6_AddPost,sf0.1,hot,insert,4,4,0.6,G0,primary,root_with_references,2.2203130545676686,True,True,0.0,G0,2.2203130545676686,G0,2.2203130545676686,0.0
INS7,INS7_AddComment,sf0.1,hot,insert,4,4,0.6,G3,primary,root_with_references_or_summaries,1.1866082008054946,True,True,0.0,G3,1.1866082008054946,G3,1.1866082008054946,0.0
INS8,INS8_AddFriendship,sf0.1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.948728306160774,True,True,0.0,G3,1.948728306160774,G3,1.948728306160774,0.0
IS1,IS1_ProfileOfPerson,sf0.1,hot,short_read,2,2,0.8,G0,primary,root_with_references,1.6773467978055117,True,True,0.0,G0,1.6773467978055117,G0,1.6773467978055117,0.0
IS2,IS2_RecentMessagesOfPerson,sf0.1,hot,short_read,6,6,0.4,G6,secondary_affected,referenced_or_reverse_indexed_edges,2.2557887037692126,True,True,0.0,G6,2.2557887037692126,,,
IS3,IS3_FriendsOfPerson,sf0.1,hot,short_read,2,2,0.8,G3,primary,root_with_references_or_summaries,2.853694301302312,True,True,0.0,G3,2.853694301302312,G3,2.853694301302312,0.0
IS4,IS4_ContentOfMessage,sf0.1,hot,short_read,2,1,0.9,G1,primary,single_entity_lookup,1.9409583990636747,True,True,0.0,G1,1.9409583990636747,G1,1.9409583990636747,0.0
IS5,IS5_CreatorOfMessage,sf0.1,hot,short_read,2,2,0.8,G0,primary,root_with_references,1.1096553032984957,True,True,0.0,G0,1.1096553032984957,G0,1.1096553032984957,0.0
IS6,IS6_ForumOfMessage,sf0.1,hot,short_read,4,4,0.6,G9,primary,hybrid_containment,1.170768500014674,True,True,0.0,G9,1.170768500014674,G9,1.170768500014674,0.0
IS7,IS7_RepliesOfMessage,sf0.1,hot,short_read,4,4,0.6,G0,primary,root_with_references,7.944003101874841,True,True,0.0,G0,7.944003101874841,G0,7.944003101874841,0.0
IC1,IC1_TransitiveFriendsWithName,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,227.727482256887,True,True,0.0,G3,227.727482256887,G3,227.727482256887,0.0
IC2,IC2_RecentMessagesByFriends,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,37.090558947238605,True,True,0.0,G3,37.090558947238605,G3,37.090558947238605,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf1,hot,complex_read,4,4,0.6,G7,secondary_affected,containment_baseline,191.8174951424589,True,True,0.0,G7,191.8174951424589,G3,196.6271597528248,0.0250741706682899
IC4,IC4_NewTopics,sf1,hot,complex_read,2,2,0.8,G0,primary,root_with_references,66.38714834698476,True,True,0.0,G0,66.38714834698476,G0,66.38714834698476,0.0
IC5,IC5_NewGroups,sf1,hot,complex_read,6,6,0.4,G6,secondary_affected,referenced_or_reverse_indexed_edges,176.75362160953227,True,True,0.0,G6,176.75362160953227,G0,185.6731383522856,0.0504629928458128
IC6,IC6_TagCoOccurrence,sf1,hot,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,198.5287466013688,True,True,0.0,G3,198.5287466013688,G3,198.5287466013688,0.0
IC7,IC7_RecentLikers,sf1,hot,complex_read,4,4,0.6,G3,primary,root_with_references_or_summaries,7.0093220987473615,True,True,0.0,G3,7.0093220987473615,G3,7.0093220987473615,0.0
INS1,INS1_AddPerson,sf1,hot,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.6241159406490615,True,True,0.0,G3,1.6241159406490615,G3,1.6241159406490615,0.0
INS2,INS2_AddLikeToPost,sf1,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.159712503431365,True,True,0.0,G6,1.159712503431365,G6,1.159712503431365,0.0
INS3,INS3_AddLikeToComment,sf1,hot,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.868959490093402,True,True,0.0,G6,1.868959490093402,G6,1.868959490093402,0.0
INS4,INS4_AddForum,sf1,hot,insert,2,2,0.8,G0,primary,root_with_references,1.39100500382483,True,True,0.0,G0,1.39100500382483,G0,1.39100500382483,0.0
INS5,INS5_AddForumMembership,sf1,hot,insert,2,2,0.8,G4,primary,explicit_edge_collection,2.4009961780393496,True,True,0.0,G4,2.4009961780393496,G4,2.4009961780393496,0.0
