candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ic1_g0_6aac8974,IC1_TransitiveFriendsWithName,IC1,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic1_g0_6aac8974,339515,"{""persons"": 1528, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""person_study_at_organisation"": 1209, ""person_work_at_organisation"": 3313, ""organisation_is_located_in_place"": 7955, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750}",7.648042378001264,completed,
ldbc_snb_ic1_g3_89a97e97,IC1_TransitiveFriendsWithName,IC1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic1_g3_89a97e97,339515,"{""persons"": 1528, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""person_study_at_organisation"": 1209, ""person_work_at_organisation"": 3313, ""organisation_is_located_in_place"": 7955, ""posts"": 135701, ""comments"": 151043, ""forums"": 13750}",7.799168678000569,completed,
ldbc_snb_ic2_g0_bcc20fff,IC2_RecentMessagesByFriends,IC2,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic2_g0_bcc20fff,604299,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""person_knows_person"": 14073, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""forums"": 13750, ""places"": 1460}",10.05211134799174,completed,
ldbc_snb_ic2_g3_8f05f032,IC2_RecentMessagesByFriends,IC2,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic2_g3_8f05f032,604299,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""person_knows_person"": 14073, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""forums"": 13750, ""places"": 1460}",9.877441937002004,completed,
ldbc_snb_ic3_g0_f7817cbe,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic3_g0_f7817cbe,894025,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""places"": 1460, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""post_is_located_in_place"": 135701, ""comment_is_located_in_place"": 151043, ""place_is_part_of_place"": 1454, ""forums"": 13750}",11.318802905996563,completed,
ldbc_snb_ic3_g3_f4732bc1,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic3_g3_f4732bc1,894025,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""places"": 1460, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""post_is_located_in_place"": 135701, ""comment_is_located_in_place"": 151043, ""place_is_part_of_place"": 1454, ""forums"": 13750}",12.613532250994467,completed,
ldbc_snb_ic3_g7_a1750f34,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G7,containment_baseline,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic3_g7_a1750f34,894025,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""places"": 1460, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""post_is_located_in_place"": 135701, ""comment_is_located_in_place"": 151043, ""place_is_part_of_place"": 1454, ""forums"": 13750}",12.47083995299181,completed,
ldbc_snb_ic3_g9_75aa81cd,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G9,hybrid_containment,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic3_g9_75aa81cd,894025,"{""persons"": 1528, ""posts"": 135701, ""comments"": 151043, ""places"": 1460, ""person_knows_person"": 14073, ""person_is_located_in_place"": 1528, ""post_has_creator_person"": 135701, ""comment_has_creator_person"": 151043, ""post_is_located_in_place"": 135701, ""comment_is_located_in_place"": 151043, ""place_is_part_of_place"": 1454, ""forums"": 13750}",12.574247821001336,completed,
ldbc_snb_ic4_g0_54d8940c,IC4_NewTopics,IC4,primary,G0,root_with_references,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic4_g0_54d8940c,520454,"{""persons"": 1528, ""posts"": 135701, ""tags"": 16080, ""person_knows_person"": 14073, ""post_has_creator_person"": 135701, ""post_has_tag"": 51118, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",9.810983950999798,completed,
ldbc_snb_ic4_g3_00df9f3e,IC4_NewTopics,IC4,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_exec_clean_ldbc_snb_ic4_g3_00df9f3e,520454,"{""persons"": 1528, ""posts"": 135701, ""tags"": 16080, ""person_knows_person"": 14073, ""post_has_creator_person"": 135701, ""post_has_tag"": 51118, ""comments"": 151043, ""forums"": 13750, ""places"": 1460}",9.69013003600412,completed,
