official_id,query_name,scale_label,run_phase,best_config,best_group,best_design_pattern,best_p95_ms,best_avg_latency_ms,best_p99_ms,avg_documents_returned,avg_documents_written
IC1,IC1_TransitiveFriendsWithName,sf0.1,hot,G3,primary,root_with_references_or_summaries,131.36169524441357,124.82781370199518,131.44295264602988,250.0,0.0
IC2,IC2_RecentMessagesByFriends,sf0.1,hot,G3,primary,root_with_references_or_summaries,28.63882864112384,28.209333796985447,28.8659321218438,1795.4,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf0.1,hot,G0,primary,root_with_references,164.71139774730543,147.16618560050847,167.16119954842725,1495.3,0.0
IC4,IC4_NewTopics,sf0.1,hot,G3,primary,root_with_references_or_summaries,44.0561354997044,40.76137480151374,44.41003349653329,999.7,0.0
IC5,IC5_NewGroups,sf0.1,hot,G7,secondary_affected,containment_baseline,135.32296839985065,124.55473159643589,135.38404887891377,4801.1,0.0
IC6,IC6_TagCoOccurrence,sf0.1,hot,G3,primary,root_with_references_or_summaries,198.16879355275887,161.27386900043348,199.46164751410836,673.5,0.0
IC7,IC7_RecentLikers,sf0.1,hot,G4,secondary_affected,explicit_edge_collection,7.464429102401482,7.138095601112582,7.47057141867117,51.4,0.0
INS1,INS1_AddPerson,sf0.1,hot,G3,primary,root_with_references_or_summaries,1.1844372005725743,1.0381774030975066,1.2630194444500376,0.0,1.0
INS2,INS2_AddLikeToPost,sf0.1,hot,G4,primary,explicit_edge_collection,1.049604903528234,1.0041203000582757,1.0632049867126625,0.0,1.0
INS3,INS3_AddLikeToComment,sf0.1,hot,G4,primary,explicit_edge_collection,1.2222706456668675,1.1007458990206942,1.2427557236514986,0.0,1.0
INS4,INS4_AddForum,sf0.1,hot,G0,primary,root_with_references,1.126103304704884,1.0507751008844934,1.1463878613722045,0.0,1.0
INS5,INS5_AddForumMembership,sf0.1,hot,G4,primary,explicit_edge_collection,1.1133203508506997,1.0446478030644355,1.1241048689407762,0.0,1.0
INS6,INS6_AddPost,sf0.1,hot,G0,primary,root_with_references,2.2203130545676686,2.124771900707856,2.2469714147155173,0.0,1.0
INS7,INS7_AddComment,sf0.1,hot,G3,primary,root_with_references_or_summaries,1.1866082008054946,1.1528128015925176,1.190065646806033,0.0,1.0
INS8,INS8_AddFriendship,sf0.1,hot,G3,primary,root_with_references_or_summaries,1.948728306160774,1.894474400614854,1.961208069405984,0.0,1.0
IS1,IS1_ProfileOfPerson,sf0.1,hot,G0,primary,root_with_references,1.6773467978055117,1.294523899559863,1.8754245546006127,2.0,0.0
IS2,IS2_RecentMessagesOfPerson,sf0.1,hot,G6,secondary_affected,referenced_or_reverse_indexed_edges,2.2557887037692126,2.200028099468909,2.280388945218874,25.0,0.0
IS3,IS3_FriendsOfPerson,sf0.1,hot,G3,primary,root_with_references_or_summaries,2.853694301302312,2.5614686019252986,2.892374861839926,133.5,0.0
IS4,IS4_ContentOfMessage,sf0.1,hot,G1,primary,single_entity_lookup,1.9409583990636747,1.889288699021563,1.944539677206194,1.0,0.0
IS5,IS5_CreatorOfMessage,sf0.1,hot,G0,primary,root_with_references,1.1096553032984957,1.0874773026444018,1.1128110688878223,2.0,0.0
IS6,IS6_ForumOfMessage,sf0.1,hot,G9,primary,hybrid_containment,1.170768500014674,1.127804499992635,1.179952100792434,3.0,0.0
IS7,IS7_RepliesOfMessage,sf0.1,hot,G0,primary,root_with_references,7.944003101874841,7.49610750208376,8.015406214253744,53.1,0.0
