scale_label,official_id,query_name,query_group,n_tested_configs,n_activated_configs,DSR,best_config,best_group,best_design_pattern,best_p95_ms,top1_preserved_by_activated,activated_regret,best_primary_config,best_primary_p95_ms,primary_regret
sf1,IC1,IC1_TransitiveFriendsWithName,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,131.36169524441357,True,0.0,G3,131.36169524441357,0.0
sf1,IC2,IC2_RecentMessagesByFriends,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,28.63882864112384,True,0.0,G3,28.63882864112384,0.0
sf1,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,complex_read,4,4,0.6,G0,primary,root_with_references,164.71139774730543,True,0.0,G0,164.71139774730543,0.0
sf1,IC4,IC4_NewTopics,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,44.0561354997044,True,0.0,G3,44.0561354997044,0.0
sf1,IC5,IC5_NewGroups,complex_read,6,6,0.4,G7,secondary_affected,containment_baseline,135.32296839985065,True,0.0,G0,158.65669925042312,0.17242993651769625
sf1,IC6,IC6_TagCoOccurrence,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,198.16879355275887,True,0.0,G3,198.16879355275887,0.0
sf1,IC7,IC7_RecentLikers,complex_read,4,4,0.6,G4,secondary_affected,explicit_edge_collection,7.464429102401482,True,0.0,G0,10.14522975165164,0.35914342710920527
sf1,INS1,INS1_AddPerson,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.1844372005725743,True,0.0,G3,1.1844372005725743,0.0
sf1,INS2,INS2_AddLikeToPost,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.049604903528234,True,0.0,G4,1.049604903528234,0.0
sf1,INS3,INS3_AddLikeToComment,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.2222706456668675,True,0.0,G4,1.2222706456668675,0.0
sf1,INS4,INS4_AddForum,insert,2,2,0.8,G0,primary,root_with_references,1.126103304704884,True,0.0,G0,1.126103304704884,0.0
sf1,INS5,INS5_AddForumMembership,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.1133203508506997,True,0.0,G4,1.1133203508506997,0.0
sf1,INS6,INS6_AddPost,insert,4,4,0.6,G0,primary,root_with_references,2.2203130545676686,True,0.0,G0,2.2203130545676686,0.0
sf1,INS7,INS7_AddComment,insert,4,4,0.6,G3,primary,root_with_references_or_summaries,1.1866082008054946,True,0.0,G3,1.1866082008054946,0.0
sf1,INS8,INS8_AddFriendship,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.948728306160774,True,0.0,G3,1.948728306160774,0.0
sf1,IS1,IS1_ProfileOfPerson,short_read,2,2,0.8,G0,primary,root_with_references,1.6773467978055117,True,0.0,G0,1.6773467978055117,0.0
sf1,IS2,IS2_RecentMessagesOfPerson,short_read,6,6,0.4,G6,secondary_affected,referenced_or_reverse_indexed_edges,2.2557887037692126,True,0.0,,,
sf1,IS3,IS3_FriendsOfPerson,short_read,2,2,0.8,G3,primary,root_with_references_or_summaries,2.853694301302312,True,0.0,G3,2.853694301302312,0.0
sf1,IS4,IS4_ContentOfMessage,short_read,2,1,0.9,G1,primary,single_entity_lookup,1.9409583990636747,True,0.0,G1,1.9409583990636747,0.0
sf1,IS5,IS5_CreatorOfMessage,short_read,2,2,0.8,G0,primary,root_with_references,1.1096553032984957,True,0.0,G0,1.1096553032984957,0.0
sf1,IS6,IS6_ForumOfMessage,short_read,4,4,0.6,G9,primary,hybrid_containment,1.170768500014674,True,0.0,G9,1.170768500014674,0.0
sf1,IS7,IS7_RepliesOfMessage,short_read,4,4,0.6,G0,primary,root_with_references,7.944003101874841,True,0.0,G0,7.944003101874841,0.0
