candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ic1_g0_6aac8974,IC1_TransitiveFriendsWithName,IC1,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic1_g0_6aac8974,3393646,"{""persons"": 9892, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""person_study_at_organisation"": 7949, ""person_work_at_organisation"": 21654, ""organisation_is_located_in_place"": 7955, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",80.97987972901319,completed,
ldbc_snb_ic1_g3_89a97e97,IC1_TransitiveFriendsWithName,IC1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic1_g3_89a97e97,3393646,"{""persons"": 9892, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""person_study_at_organisation"": 7949, ""person_work_at_organisation"": 21654, ""organisation_is_located_in_place"": 7955, ""posts"": 1003605, ""comments"": 2052169, ""forums"": 90492}",82.21599268799764,completed,
ldbc_snb_ic2_g0_bcc20fff,IC2_RecentMessagesByFriends,IC2,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic2_g0_bcc20fff,6394015,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""forums"": 90492, ""places"": 1460}",108.51187208198826,completed,
ldbc_snb_ic2_g3_8f05f032,IC2_RecentMessagesByFriends,IC2,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic2_g3_8f05f032,6394015,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""forums"": 90492, ""places"": 1460}",109.49160124501213,completed,
ldbc_snb_ic3_g0_f7817cbe,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic3_g0_f7817cbe,9461135,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""post_is_located_in_place"": 1003605, ""comment_is_located_in_place"": 2052169, ""place_is_part_of_place"": 1454, ""forums"": 90492}",135.48932492997847,completed,
ldbc_snb_ic3_g3_f4732bc1,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic3_g3_f4732bc1,9461135,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""post_is_located_in_place"": 1003605, ""comment_is_located_in_place"": 2052169, ""place_is_part_of_place"": 1454, ""forums"": 90492}",137.17778866400477,completed,
ldbc_snb_ic3_g7_a1750f34,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G7,containment_baseline,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic3_g7_a1750f34,9461135,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""post_is_located_in_place"": 1003605, ""comment_is_located_in_place"": 2052169, ""place_is_part_of_place"": 1454, ""forums"": 90492}",136.3116387600021,completed,
ldbc_snb_ic3_g9_75aa81cd,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G9,hybrid_containment,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic3_g9_75aa81cd,9461135,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""places"": 1460, ""person_knows_person"": 180623, ""person_is_located_in_place"": 9892, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""post_is_located_in_place"": 1003605, ""comment_is_located_in_place"": 2052169, ""place_is_part_of_place"": 1454, ""forums"": 90492}",137.2277064959926,completed,
ldbc_snb_ic4_g0_54d8940c,IC4_NewTopics,IC4,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic4_g0_54d8940c,5071184,"{""persons"": 9892, ""posts"": 1003605, ""tags"": 16080, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",97.8609858880227,completed,
ldbc_snb_ic4_g3_00df9f3e,IC4_NewTopics,IC4,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic4_g3_00df9f3e,5071184,"{""persons"": 9892, ""posts"": 1003605, ""tags"": 16080, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",98.91177910999977,completed,
