official_id,query_name,scale_label,run_phase,best_config,best_group,best_design_pattern,best_p95_ms,best_avg_latency_ms,best_p99_ms,avg_documents_returned,avg_documents_written
IC1,IC1_TransitiveFriendsWithName,sf1,hot,G3,primary,root_with_references_or_summaries,227.727482256887,209.4919243972981,230.34223246824692,250.0,0.0
IC2,IC2_RecentMessagesByFriends,sf1,hot,G3,primary,root_with_references_or_summaries,37.090558947238605,35.73744069726672,37.22508699487662,1970.7,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf1,hot,G7,secondary_affected,containment_baseline,191.8174951424589,187.5207504926948,192.60503581899684,1620.2,0.0
IC4,IC4_NewTopics,sf1,hot,G0,primary,root_with_references,66.38714834698476,54.75141679635272,67.4047736695502,1162.1,0.0
IC5,IC5_NewGroups,sf1,hot,G6,secondary_affected,referenced_or_reverse_indexed_edges,176.75362160953227,156.34534990240354,178.51531474210788,5720.8,0.0
IC6,IC6_TagCoOccurrence,sf1,hot,G3,primary,root_with_references_or_summaries,198.5287466013688,184.51204459706787,200.1986757371924,920.9,0.0
IC7,IC7_RecentLikers,sf1,hot,G3,primary,root_with_references_or_summaries,7.0093220987473615,5.988810703274794,7.117272409668658,60.8,0.0
INS1,INS1_AddPerson,sf1,hot,G3,primary,root_with_references_or_summaries,1.6241159406490615,1.1682057054713368,1.854533578734845,0.0,1.0
INS2,INS2_AddLikeToPost,sf1,hot,G6,primary,referenced_or_reverse_indexed_edges,1.159712503431365,1.0682172083761543,1.203528105979785,0.0,1.0
INS3,INS3_AddLikeToComment,sf1,hot,G6,primary,referenced_or_reverse_indexed_edges,1.868959490093402,1.2961111002368852,2.0677262864774093,0.0,1.0
INS4,INS4_AddForum,sf1,hot,G0,primary,root_with_references,1.39100500382483,1.2250841973582285,1.3933666050434113,0.0,1.0
INS5,INS5_AddForumMembership,sf1,hot,G4,primary,explicit_edge_collection,2.4009961780393496,1.8169991963077337,2.439618416246958,0.0,1.0
INS6,INS6_AddPost,sf1,hot,G9,secondary_affected,hybrid_containment,2.18829244695371,2.152117801597342,2.1899768846924417,0.0,1.0
INS7,INS7_AddComment,sf1,hot,G9,secondary_affected,hybrid_containment,2.159610408125445,2.117664602701552,2.1718388923909515,0.0,1.0
INS8,INS8_AddFriendship,sf1,hot,G3,primary,root_with_references_or_summaries,1.9326052322867329,1.89272909774445,1.9563058283529244,0.0,1.0
IS1,IS1_ProfileOfPerson,sf1,hot,G0,primary,root_with_references,2.110691754205618,2.048527600709349,2.1138831533608027,2.0,0.0
IS2,IS2_RecentMessagesOfPerson,sf1,hot,G9,secondary_affected,hybrid_containment,3.2308551410096698,3.194156102836132,3.2354534216574398,18.0,0.0
IS3,IS3_FriendsOfPerson,sf1,hot,G0,primary,root_with_references,2.270170148403849,2.1373343013692647,2.307391634385567,184.2,0.0
IS4,IS4_ContentOfMessage,sf1,hot,G0,control,root_with_references,2.2880744814756326,2.023770796949975,2.316316476499196,1.0,0.0
IS5,IS5_CreatorOfMessage,sf1,hot,G0,primary,root_with_references,2.577594298054464,1.7850023054052144,2.77957086043898,2.0,0.0
IS6,IS6_ForumOfMessage,sf1,hot,G9,primary,hybrid_containment,2.301289017486852,2.23358359944541,2.3337538153282367,3.0,0.0
IS7,IS7_RepliesOfMessage,sf1,hot,G9,secondary_affected,hybrid_containment,11.009078891947864,8.964125698548742,11.738546160049736,57.6,0.0
