scale_label,official_id,query_name,best_config,best_design_pattern,best_group,best_p95_ms,best_primary_config,primary_regret
sf1,Q1,Q1_CompanyProfileIBM,CONTROL,normalized_reference_baseline,control,0.2333730109967291,G0,1.3903518947787057
sf1,Q10,Q10_CreateAccountHoldingAndBuyTransaction,G9,benchmark_tradeoff_alternative,secondary_affected,0.5755637714173645,G4,0.1910690660479382
sf1,Q2,Q2_CompanyWithIndustryCountryAndListedSecurities,G5,shared_target_reference_strategy,primary,0.1171174575574696,G5,0.0
sf1,Q3,Q3_SecuritiesHeldInEachFinancialServiceAccount,G5,shared_target_reference_strategy,primary,0.4349461290985345,G5,0.0
sf1,Q4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,CONTROL,normalized_reference_baseline,control,1.0028332064393908,G4,0.1807082320186638
sf1,Q5,Q5_ReportsAndMetricDataOfCompany,G2,embedded_containment,primary,37.62679109349847,G2,0.0
sf1,Q6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,G9,benchmark_tradeoff_alternative,secondary_affected,0.3859236370772123,G1,0.0871506261065414
sf1,Q7,Q7_PersonsWhoBoughtMoreIBMThanSold,G4,deep_nested_document,primary,1.186998502817005,G4,0.0
sf1,Q8,Q8_IBMTransactionsBelowAverageSellingPrice,G7,update_aware_reference_design,secondary_affected,0.8635510283056645,G3,0.6365470325125412
sf1,Q9,Q9_PersonsWhoBoughtAndSoldSameStock,G7,update_aware_reference_design,secondary_affected,0.8514764602296054,G5,0.0777435628648014
sf10,Q1,Q1_CompanyProfileIBM,CONTROL,normalized_reference_baseline,control,0.2957840100862086,G0,0.1556969272211012
sf10,Q10,Q10_CreateAccountHoldingAndBuyTransaction,G3,association_references,primary,0.4270611854735761,G3,0.0
sf10,Q2,Q2_CompanyWithIndustryCountryAndListedSecurities,G1,embedded_descriptors,primary,0.1553680398501455,G1,0.0
sf10,Q3,Q3_SecuritiesHeldInEachFinancialServiceAccount,G4,deep_nested_document,primary,0.8991432900074869,G4,0.0
sf10,Q4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,G5,shared_target_reference_strategy,primary,4.308413300896064,G5,0.0
sf10,Q5,Q5_ReportsAndMetricDataOfCompany,G9,benchmark_tradeoff_alternative,secondary_affected,28.43278254731557,G2,0.676816449998192
sf10,Q6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,CONTROL,normalized_reference_baseline,control,91.47433224134149,G5,0.6715243979123972
sf10,Q7,Q7_PersonsWhoBoughtMoreIBMThanSold,G6,aggregation_materialized_collection,primary,0.8576980675570667,G6,0.0
sf10,Q8,Q8_IBMTransactionsBelowAverageSellingPrice,G5,shared_target_reference_strategy,primary,0.9216521284542978,G5,0.0
sf10,Q9,Q9_PersonsWhoBoughtAndSoldSameStock,G5,shared_target_reference_strategy,primary,1.0568699159193784,G5,0.0
sf30,Q1,Q1_CompanyProfileIBM,G0,root_only_collection,primary,0.2247715950943529,G0,0.0
sf30,Q10,Q10_CreateAccountHoldingAndBuyTransaction,G7,update_aware_reference_design,secondary_affected,0.6190445506945252,G5,0.0030492695492486
sf30,Q2,Q2_CompanyWithIndustryCountryAndListedSecurities,G9,benchmark_tradeoff_alternative,secondary_affected,0.2507009194232523,G1,0.0689135546268886
sf30,Q3,Q3_SecuritiesHeldInEachFinancialServiceAccount,G5,shared_target_reference_strategy,primary,1.652036904124543,G5,0.0
sf30,Q4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,G4,deep_nested_document,primary,17.142359330318868,G4,0.0
sf30,Q5,Q5_ReportsAndMetricDataOfCompany,CONTROL,normalized_reference_baseline,control,45.21718232426791,G4,0.004768456445382
sf30,Q6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,G3,association_references,primary,418.83483037818223,G3,0.0
sf30,Q7,Q7_PersonsWhoBoughtMoreIBMThanSold,G3,association_references,primary,1.322278199950233,G3,0.0
sf30,Q8,Q8_IBMTransactionsBelowAverageSellingPrice,G5,shared_target_reference_strategy,primary,1.2928820273373276,G5,0.0
sf30,Q9,Q9_PersonsWhoBoughtAndSoldSameStock,G7,update_aware_reference_design,secondary_affected,1.2238605471793562,G4,0.0010015569422278
