scale_label,official_id,official_sort,query_name,query_group,semantic_family,n_tested_configs,n_activated_configs,DSR,tested_configs,activated_configs,best_candidate_id,best_config,best_group,best_design_pattern,best_p95_ms,best_activated_candidate_id,best_activated_config,best_activated_group,best_activated_design_pattern,best_activated_p95_ms,top1_preserved_by_activated,top3_preserved_by_activated,activated_regret,n_near_best,near_best_configs,near_best_ratio,near_best_preserved_by_activated,best_primary_config,best_primary_p95_ms,primary_regret,activation_source
sf1,Q1,1,Q1_CompanyProfileIBM,local_lookup,association,2,1,0.9,"CONTROL,G0",G0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,0.2333730109967291,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,0.5578436190262431,False,True,1.3903518947787055,1,CONTROL,0.5,False,G0,0.5578436190262431,1.3903518947787055,catalog:final_benchmark_group
sf1,Q2,2,Q2_CompanyWithIndustryCountryAndListedSecurities,shallow_rooted_retrieval,association,6,5,0.5,"CONTROL,G1,G3,G5,G7,G9","G1,G3,G5,G7,G9",q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.1171174575574696,True,True,0.0,1,G5,0.16666666666666666,True,G5,0.1171174575574696,0.0,catalog:final_benchmark_group
sf1,Q3,3,Q3_SecuritiesHeldInEachFinancialServiceAccount,associative_retrieval,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.4349461290985345,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.4349461290985345,True,True,0.0,2,"G3,G5",0.2857142857142857,True,G5,0.4349461290985345,0.0,catalog:final_benchmark_group
sf1,Q4,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,deep_associative_traversal,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,1.0028332064393908,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,primary,deep_nested_document,1.1840534221846608,False,True,0.18070823201866382,1,CONTROL,0.14285714285714285,False,G4,1.1840534221846608,0.18070823201866382,catalog:final_benchmark_group
sf1,Q5,5,Q5_ReportsAndMetricDataOfCompany,analytical_containment_like,analytical_containment_like,4,3,0.7,"CONTROL,G2,G4,G9","G2,G4,G9",q5_reports_and_metric_data_of_company__g2__embed_containment_children,G2,primary,embedded_containment,37.62679109349847,q5_reports_and_metric_data_of_company__g2__embed_containment_children,G2,primary,embedded_containment,37.62679109349847,True,True,0.0,1,G2,0.25,True,G2,37.62679109349847,0.0,catalog:final_benchmark_group
sf1,Q6,6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,filtered_search,association,6,5,0.5,"CONTROL,G1,G3,G5,G7,G9","G1,G3,G5,G7,G9",q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,0.3859236370772123,q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,0.3859236370772123,True,True,0.0,2,"G7,G9",0.3333333333333333,True,G1,0.419557123677805,0.08715062610654147,catalog:final_benchmark_group
sf1,Q7,7,Q7_PersonsWhoBoughtMoreIBMThanSold,aggregation,associative,8,7,0.30000000000000004,"CONTROL,G2,G3,G4,G5,G6,G7,G9","G2,G3,G4,G5,G6,G7,G9",q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,G4,primary,deep_nested_document,1.186998502817005,q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,G4,primary,deep_nested_document,1.186998502817005,True,True,0.0,1,G4,0.125,True,G4,1.186998502817005,0.0,catalog:final_benchmark_group
sf1,Q8,8,Q8_IBMTransactionsBelowAverageSellingPrice,aggregation,associative,6,5,0.5,"CONTROL,G3,G5,G6,G7,G9","G3,G5,G6,G7,G9",q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,G7,secondary_affected,update_aware_reference_design,0.8635510283056645,q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,G7,secondary_affected,update_aware_reference_design,0.8635510283056645,True,True,0.0,1,G7,0.16666666666666666,True,G3,1.4132418727967888,0.6365470325125412,catalog:final_benchmark_group
sf1,Q9,9,Q9_PersonsWhoBoughtAndSoldSameStock,associative_comparison,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,secondary_affected,update_aware_reference_design,0.8514764602296054,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,secondary_affected,update_aware_reference_design,0.8514764602296054,True,True,0.0,2,"G7,G9",0.2857142857142857,True,G5,0.9176732739433644,0.07774356286480147,catalog:final_benchmark_group
sf1,Q10,10,Q10_CreateAccountHoldingAndBuyTransaction,insert_update,update,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,0.5755637714173645,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,0.5755637714173645,True,True,0.0,1,G9,0.14285714285714285,True,G4,0.6855362036731093,0.19106906604793822,catalog:final_benchmark_group
