scope,alias,view_name,rows,columns
raw,corporation,fiben_raw_corporation,2324,"['CORPORATIONID', 'ISCLASSIFIEDBY', 'ISDOMICILEDIN', 'HASTICKERSYMBOL', 'HASLEGALNAME']"
raw,country,fiben_raw_country,249,"['COUNTRYID', 'HASNAME', 'HASNUMERICCOUNTRYCODE']"
raw,disclosure,fiben_raw_disclosure,208158,"['DISCLOSUREID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']"
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,443794,"['ELEMENTOFFINANCIALSTATEMENTID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']"
raw,elementsoffinancialreport,fiben_raw_elementsoffinancialreport,8120084,"['ELEMENTSOFFINANCIALREPORTID', 'ISMEMBEROF']"
raw,financialreport,fiben_raw_financialreport,48301,"['FINANCIALREPORTID', 'ISPROVIDEDBY', 'HASUNIQUEIDENTIFIER']"
raw,financialserviceaccount,fiben_raw_financialserviceaccount,97270,"['FINANCIALSERVICEACCOUNTID', 'ISOWNEDBY', 'ISMANAGEDBY', 'HASACCOUNTNUMBER', 'HASSTARTDATE']"
raw,holding,fiben_raw_holding,534473,"['HOLDINGID', 'ISHELDBY', 'REFERSTO', 'HASDESCRIPTION', 'HASCOUNT']"
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,452,"['INDUSTRYSECTORCLASSIFIERID', 'ISDEFINEDBY', 'HASUNIQUEIDENTIFIER', 'HASDESCRIPTION', 'HASNUMERICCODE', 'HASFORMALNAME']"
raw,listedsecurity,fiben_raw_listedsecurity,2745,"['LISTEDSECURITYID', 'HASLASTTRADEDVALUE', 'HASLISTINGDATE', 'HASTICKERSYMBOL', 'HASLEGALNAME']"
raw,monetaryamount,fiben_raw_monetaryamount,502745,"['MONETARYAMOUNTID', 'HASCURRENCY', 'HASAMOUNT']"
raw,person,fiben_raw_person,50100,"['PERSONID', 'HASPLACEOFBIRTH', 'HASCITIZENSHIP', 'HASGENDER', 'HASDATEOFBIRTH', 'HASPERSONNAME', 'HASLASTNAME', 'HASFIRSTNAME', 'HASMIDDLENAMEORINITIAL']"
raw,securitiestransaction,fiben_raw_securitiestransaction,500000,"['SECURITIESTRANSACTIONID', 'ISFACILITATEDBY', 'HASPRICE', 'REFERSTO', 'HASTYPE', 'HASSETTLEMENTDATE', 'HASCOUNT']"
raw,security,fiben_raw_security,2745,"['SECURITYID', 'ISTRADEDON', 'ISPROVIDEDBY']"
