raw_alias,view_name,column_name,column_type,null,key,default,extra
corporation,fiben_raw_corporation,CORPORATIONID,BIGINT,YES,,,
corporation,fiben_raw_corporation,ISCLASSIFIEDBY,BIGINT,YES,,,
corporation,fiben_raw_corporation,ISDOMICILEDIN,BIGINT,YES,,,
corporation,fiben_raw_corporation,HASTICKERSYMBOL,VARCHAR,YES,,,
corporation,fiben_raw_corporation,HASLEGALNAME,VARCHAR,YES,,,
country,fiben_raw_country,COUNTRYID,BIGINT,YES,,,
country,fiben_raw_country,HASNAME,VARCHAR,YES,,,
country,fiben_raw_country,HASNUMERICCOUNTRYCODE,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,DISCLOSUREID,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICYEARCALENDAR,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICSTARTDATE,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,HASDOCUMENTTYPE,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICENDQUARTER,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASUNIT,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,APPLICABLEPERIOD,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICENDDATE,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,ISCOMPUTED,BOOLEAN,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICVALUE,DOUBLE,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICYEARFISCAL,BIGINT,YES,,,
disclosure,fiben_raw_disclosure,HASURL,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICCONTEXTDIMENSIONS,VARCHAR,YES,,,
disclosure,fiben_raw_disclosure,HASMETRICSTARTQUARTER,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,ELEMENTOFFINANCIALSTATEMENTID,BIGINT,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICYEARCALENDAR,BIGINT,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICSTARTDATE,BIGINT,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASDOCUMENTTYPE,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICENDQUARTER,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASUNIT,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,APPLICABLEPERIOD,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICENDDATE,BIGINT,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,ISCOMPUTED,BOOLEAN,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICVALUE,DOUBLE,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICYEARFISCAL,BIGINT,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASURL,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICCONTEXTDIMENSIONS,VARCHAR,YES,,,
elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICSTARTQUARTER,VARCHAR,YES,,,
elementsoffinancialreport,fiben_raw_elementsoffinancialreport,ELEMENTSOFFINANCIALREPORTID,BIGINT,YES,,,
elementsoffinancialreport,fiben_raw_elementsoffinancialreport,ISMEMBEROF,BIGINT,YES,,,
financialreport,fiben_raw_financialreport,FINANCIALREPORTID,BIGINT,YES,,,
financialreport,fiben_raw_financialreport,ISPROVIDEDBY,BIGINT,YES,,,
financialreport,fiben_raw_financialreport,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,
financialserviceaccount,fiben_raw_financialserviceaccount,FINANCIALSERVICEACCOUNTID,BIGINT,YES,,,
financialserviceaccount,fiben_raw_financialserviceaccount,ISOWNEDBY,BIGINT,YES,,,
financialserviceaccount,fiben_raw_financialserviceaccount,ISMANAGEDBY,BIGINT,YES,,,
financialserviceaccount,fiben_raw_financialserviceaccount,HASACCOUNTNUMBER,BIGINT,YES,,,
financialserviceaccount,fiben_raw_financialserviceaccount,HASSTARTDATE,VARCHAR,YES,,,
holding,fiben_raw_holding,HOLDINGID,BIGINT,YES,,,
holding,fiben_raw_holding,ISHELDBY,BIGINT,YES,,,
holding,fiben_raw_holding,REFERSTO,BIGINT,YES,,,
holding,fiben_raw_holding,HASDESCRIPTION,VARCHAR,YES,,,
holding,fiben_raw_holding,HASCOUNT,DOUBLE,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,INDUSTRYSECTORCLASSIFIERID,BIGINT,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,ISDEFINEDBY,BIGINT,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,HASUNIQUEIDENTIFIER,BIGINT,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,HASDESCRIPTION,VARCHAR,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,HASNUMERICCODE,BIGINT,YES,,,
industrysectorclassifier,fiben_raw_industrysectorclassifier,HASFORMALNAME,VARCHAR,YES,,,
listedsecurity,fiben_raw_listedsecurity,LISTEDSECURITYID,BIGINT,YES,,,
listedsecurity,fiben_raw_listedsecurity,HASLASTTRADEDVALUE,BIGINT,YES,,,
listedsecurity,fiben_raw_listedsecurity,HASLISTINGDATE,VARCHAR,YES,,,
listedsecurity,fiben_raw_listedsecurity,HASTICKERSYMBOL,VARCHAR,YES,,,
listedsecurity,fiben_raw_listedsecurity,HASLEGALNAME,VARCHAR,YES,,,
monetaryamount,fiben_raw_monetaryamount,MONETARYAMOUNTID,BIGINT,YES,,,
monetaryamount,fiben_raw_monetaryamount,HASCURRENCY,BIGINT,YES,,,
monetaryamount,fiben_raw_monetaryamount,HASAMOUNT,DOUBLE,YES,,,
person,fiben_raw_person,PERSONID,BIGINT,YES,,,
person,fiben_raw_person,HASPLACEOFBIRTH,DOUBLE,YES,,,
person,fiben_raw_person,HASCITIZENSHIP,BIGINT,YES,,,
person,fiben_raw_person,HASGENDER,VARCHAR,YES,,,
person,fiben_raw_person,HASDATEOFBIRTH,VARCHAR,YES,,,
person,fiben_raw_person,HASPERSONNAME,VARCHAR,YES,,,
person,fiben_raw_person,HASLASTNAME,VARCHAR,YES,,,
person,fiben_raw_person,HASFIRSTNAME,VARCHAR,YES,,,
person,fiben_raw_person,HASMIDDLENAMEORINITIAL,VARCHAR,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,SECURITIESTRANSACTIONID,BIGINT,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,ISFACILITATEDBY,BIGINT,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,HASPRICE,BIGINT,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,REFERSTO,BIGINT,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,HASTYPE,BIGINT,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,HASSETTLEMENTDATE,VARCHAR,YES,,,
securitiestransaction,fiben_raw_securitiestransaction,HASCOUNT,DOUBLE,YES,,,
security,fiben_raw_security,SECURITYID,BIGINT,YES,,,
security,fiben_raw_security,ISTRADEDON,BIGINT,YES,,,
security,fiben_raw_security,ISPROVIDEDBY,BIGINT,YES,,,
