query_name,generic_class,query_family,query_type,entity
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Industry
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Country
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,ListedSecurity
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Holding
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,ListedSecurity
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Security
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,FinancialServiceAccount
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Holding
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,ListedSecurity
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Corporation
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,FinancialReport
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,ReportElement
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,StatementElement
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Disclosure
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Corporation
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Industry
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Country
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,FinancialServiceAccount
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,BuyTransaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,SellTransaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Transaction
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,ListedSecurity
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Corporation
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,SellTransaction
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,ListedSecurity
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Corporation
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,FinancialServiceAccount
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,BuyTransaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,SellTransaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Transaction
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,ListedSecurity
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,FinancialServiceAccount
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Holding
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,ListedSecurity
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Transaction
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,BuyTransaction
