entity,neighbor,relationship_name,edge_id
BuyTransaction,Transaction,buy_transaction_is_transaction,BuyTransaction -- Transaction [buy_transaction_is_transaction]
Corporation,Industry,corporation_has_industry,Corporation -- Industry [corporation_has_industry]
Corporation,Country,corporation_has_country,Corporation -- Country [corporation_has_country]
Corporation,ListedSecurity,corporation_has_listed_security,Corporation -- ListedSecurity [corporation_has_listed_security]
Corporation,FinancialReport,corporation_has_financial_report,Corporation -- FinancialReport [corporation_has_financial_report]
Country,Corporation,corporation_has_country,Corporation -- Country [corporation_has_country]
Disclosure,FinancialReport,financial_report_contains_disclosure,FinancialReport -- Disclosure [financial_report_contains_disclosure]
FinancialReport,Corporation,corporation_has_financial_report,Corporation -- FinancialReport [corporation_has_financial_report]
FinancialReport,ReportElement,financial_report_contains_report_element,FinancialReport -- ReportElement [financial_report_contains_report_element]
FinancialReport,Disclosure,financial_report_contains_disclosure,FinancialReport -- Disclosure [financial_report_contains_disclosure]
FinancialServiceAccount,Person,person_owns_financial_service_account,Person -- FinancialServiceAccount [person_owns_financial_service_account]
FinancialServiceAccount,Holding,account_has_holding,FinancialServiceAccount -- Holding [account_has_holding]
FinancialServiceAccount,Transaction,account_records_transaction,FinancialServiceAccount -- Transaction [account_records_transaction]
Holding,FinancialServiceAccount,account_has_holding,FinancialServiceAccount -- Holding [account_has_holding]
Holding,ListedSecurity,holding_refers_to_listed_security,Holding -- ListedSecurity [holding_refers_to_listed_security]
Industry,Corporation,corporation_has_industry,Corporation -- Industry [corporation_has_industry]
ListedSecurity,Corporation,corporation_has_listed_security,Corporation -- ListedSecurity [corporation_has_listed_security]
ListedSecurity,Security,listed_security_represents_security,ListedSecurity -- Security [listed_security_represents_security]
ListedSecurity,Holding,holding_refers_to_listed_security,Holding -- ListedSecurity [holding_refers_to_listed_security]
ListedSecurity,Transaction,transaction_refers_to_listed_security,Transaction -- ListedSecurity [transaction_refers_to_listed_security]
Person,FinancialServiceAccount,person_owns_financial_service_account,Person -- FinancialServiceAccount [person_owns_financial_service_account]
ReportElement,FinancialReport,financial_report_contains_report_element,FinancialReport -- ReportElement [financial_report_contains_report_element]
ReportElement,StatementElement,report_element_has_statement_element,ReportElement -- StatementElement [report_element_has_statement_element]
Security,ListedSecurity,listed_security_represents_security,ListedSecurity -- Security [listed_security_represents_security]
SellTransaction,Transaction,sell_transaction_is_transaction,SellTransaction -- Transaction [sell_transaction_is_transaction]
StatementElement,ReportElement,report_element_has_statement_element,ReportElement -- StatementElement [report_element_has_statement_element]
Transaction,FinancialServiceAccount,account_records_transaction,FinancialServiceAccount -- Transaction [account_records_transaction]
Transaction,ListedSecurity,transaction_refers_to_listed_security,Transaction -- ListedSecurity [transaction_refers_to_listed_security]
Transaction,BuyTransaction,buy_transaction_is_transaction,BuyTransaction -- Transaction [buy_transaction_is_transaction]
Transaction,SellTransaction,sell_transaction_is_transaction,SellTransaction -- Transaction [sell_transaction_is_transaction]
