from_entity,to_entity,relationship_name,semantic_type,edge_id,direction
Corporation,Industry,corporation_has_industry,descriptor,Corporation -- Industry [corporation_has_industry],forward
Industry,Corporation,corporation_has_industry,descriptor,Corporation -- Industry [corporation_has_industry],reverse
Corporation,Country,corporation_has_country,descriptor,Corporation -- Country [corporation_has_country],forward
Country,Corporation,corporation_has_country,descriptor,Corporation -- Country [corporation_has_country],reverse
Corporation,ListedSecurity,corporation_has_listed_security,association,Corporation -- ListedSecurity [corporation_has_listed_security],forward
ListedSecurity,Corporation,corporation_has_listed_security,association,Corporation -- ListedSecurity [corporation_has_listed_security],reverse
ListedSecurity,Security,listed_security_represents_security,association,ListedSecurity -- Security [listed_security_represents_security],forward
Security,ListedSecurity,listed_security_represents_security,association,ListedSecurity -- Security [listed_security_represents_security],reverse
Person,FinancialServiceAccount,person_owns_financial_service_account,ownership,Person -- FinancialServiceAccount [person_owns_financial_service_account],forward
FinancialServiceAccount,Person,person_owns_financial_service_account,ownership,Person -- FinancialServiceAccount [person_owns_financial_service_account],reverse
FinancialServiceAccount,Holding,account_has_holding,containment,FinancialServiceAccount -- Holding [account_has_holding],forward
Holding,FinancialServiceAccount,account_has_holding,containment,FinancialServiceAccount -- Holding [account_has_holding],reverse
Holding,ListedSecurity,holding_refers_to_listed_security,association,Holding -- ListedSecurity [holding_refers_to_listed_security],forward
ListedSecurity,Holding,holding_refers_to_listed_security,association,Holding -- ListedSecurity [holding_refers_to_listed_security],reverse
FinancialServiceAccount,Transaction,account_records_transaction,containment,FinancialServiceAccount -- Transaction [account_records_transaction],forward
Transaction,FinancialServiceAccount,account_records_transaction,containment,FinancialServiceAccount -- Transaction [account_records_transaction],reverse
Transaction,ListedSecurity,transaction_refers_to_listed_security,association,Transaction -- ListedSecurity [transaction_refers_to_listed_security],forward
ListedSecurity,Transaction,transaction_refers_to_listed_security,association,Transaction -- ListedSecurity [transaction_refers_to_listed_security],reverse
BuyTransaction,Transaction,buy_transaction_is_transaction,subtype,BuyTransaction -- Transaction [buy_transaction_is_transaction],forward
Transaction,BuyTransaction,buy_transaction_is_transaction,subtype,BuyTransaction -- Transaction [buy_transaction_is_transaction],reverse
SellTransaction,Transaction,sell_transaction_is_transaction,subtype,SellTransaction -- Transaction [sell_transaction_is_transaction],forward
Transaction,SellTransaction,sell_transaction_is_transaction,subtype,SellTransaction -- Transaction [sell_transaction_is_transaction],reverse
Corporation,FinancialReport,corporation_has_financial_report,containment,Corporation -- FinancialReport [corporation_has_financial_report],forward
FinancialReport,Corporation,corporation_has_financial_report,containment,Corporation -- FinancialReport [corporation_has_financial_report],reverse
FinancialReport,ReportElement,financial_report_contains_report_element,containment,FinancialReport -- ReportElement [financial_report_contains_report_element],forward
ReportElement,FinancialReport,financial_report_contains_report_element,containment,FinancialReport -- ReportElement [financial_report_contains_report_element],reverse
ReportElement,StatementElement,report_element_has_statement_element,containment,ReportElement -- StatementElement [report_element_has_statement_element],forward
StatementElement,ReportElement,report_element_has_statement_element,containment,ReportElement -- StatementElement [report_element_has_statement_element],reverse
FinancialReport,Disclosure,financial_report_contains_disclosure,containment,FinancialReport -- Disclosure [financial_report_contains_disclosure],forward
Disclosure,FinancialReport,financial_report_contains_disclosure,containment,FinancialReport -- Disclosure [financial_report_contains_disclosure],reverse
