query_name,generic_class,query_family,edge_position,edge_id
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,1,Corporation -- Industry [corporation_has_industry]
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,2,Corporation -- Country [corporation_has_country]
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,3,Corporation -- ListedSecurity [corporation_has_listed_security]
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,1,ListedSecurity -- Security [listed_security_represents_security]
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,2,FinancialServiceAccount -- Holding [account_has_holding]
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,3,Holding -- ListedSecurity [holding_refers_to_listed_security]
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,1,Corporation -- ListedSecurity [corporation_has_listed_security]
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,2,Person -- FinancialServiceAccount [person_owns_financial_service_account]
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,3,FinancialServiceAccount -- Holding [account_has_holding]
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,4,Holding -- ListedSecurity [holding_refers_to_listed_security]
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,1,Corporation -- FinancialReport [corporation_has_financial_report]
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,2,FinancialReport -- ReportElement [financial_report_contains_report_element]
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,3,ReportElement -- StatementElement [report_element_has_statement_element]
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,4,FinancialReport -- Disclosure [financial_report_contains_disclosure]
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,1,Corporation -- Industry [corporation_has_industry]
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,2,Corporation -- Country [corporation_has_country]
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,3,Corporation -- ListedSecurity [corporation_has_listed_security]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,2,Person -- FinancialServiceAccount [person_owns_financial_service_account]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,3,FinancialServiceAccount -- Transaction [account_records_transaction]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,4,Transaction -- ListedSecurity [transaction_refers_to_listed_security]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,5,BuyTransaction -- Transaction [buy_transaction_is_transaction]
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,6,SellTransaction -- Transaction [sell_transaction_is_transaction]
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security]
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,2,Transaction -- ListedSecurity [transaction_refers_to_listed_security]
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,3,SellTransaction -- Transaction [sell_transaction_is_transaction]
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,1,Person -- FinancialServiceAccount [person_owns_financial_service_account]
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,2,FinancialServiceAccount -- Transaction [account_records_transaction]
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,3,Transaction -- ListedSecurity [transaction_refers_to_listed_security]
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,4,BuyTransaction -- Transaction [buy_transaction_is_transaction]
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,5,SellTransaction -- Transaction [sell_transaction_is_transaction]
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,1,Person -- FinancialServiceAccount [person_owns_financial_service_account]
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,2,FinancialServiceAccount -- Holding [account_has_holding]
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,3,Holding -- ListedSecurity [holding_refers_to_listed_security]
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,4,FinancialServiceAccount -- Transaction [account_records_transaction]
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,5,BuyTransaction -- Transaction [buy_transaction_is_transaction]
