query_name,generic_class,query_family,query_type,n_candidate_roots,candidate_roots,n_entities_touched,Rc,Rc_status
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,6,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,5,connected
Q1_CompanyProfileIBM,QG1,Local lookup,select,1,['Corporation'],1,0,single_or_no_terminal
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,3,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,5,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,5,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,4,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,3,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,7,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,6,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,4,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,3,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,6,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,5,connected
