query_name,generic_class,query_family,query_type,candidate_root,root_position,is_touched_entity,n_entities_touched,candidate_entity_degree,entities_touched,Rc,Rc_status
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,1,True,1,4,['Corporation'],0,single_or_no_terminal
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1,True,4,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Industry,2,True,4,1,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Country,3,True,4,1,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,ListedSecurity,4,True,4,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,1,True,4,3,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Holding,2,True,4,2,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,ListedSecurity,3,True,4,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Security,4,True,4,1,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,1,True,5,1,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,FinancialServiceAccount,2,True,5,3,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Holding,3,True,5,2,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,ListedSecurity,4,True,5,4,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Corporation,5,True,5,4,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,1,True,5,4,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,FinancialReport,2,True,5,3,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,ReportElement,3,True,5,2,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,StatementElement,4,True,5,1,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Disclosure,5,True,5,1,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",4,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Corporation,1,True,4,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Industry,2,True,4,1,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Country,3,True,4,1,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,4,True,4,4,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",3,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,1,True,7,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,FinancialServiceAccount,2,True,7,3,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,BuyTransaction,3,True,7,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,SellTransaction,4,True,7,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Transaction,5,True,7,4,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,ListedSecurity,6,True,7,4,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Corporation,7,True,7,4,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",6,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,1,True,4,4,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,SellTransaction,2,True,4,1,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,ListedSecurity,3,True,4,4,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",3,connected
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Corporation,4,True,4,4,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",3,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,1,True,6,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,FinancialServiceAccount,2,True,6,3,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,BuyTransaction,3,True,6,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,SellTransaction,4,True,6,1,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Transaction,5,True,6,4,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,ListedSecurity,6,True,6,4,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,1,True,6,1,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,FinancialServiceAccount,2,True,6,3,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Holding,3,True,6,2,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,ListedSecurity,4,True,6,4,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Transaction,5,True,6,4,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,BuyTransaction,6,True,6,1,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",5,connected
