query_name,generic_class,query_family,query_type,selected_root,entity,D,distance_status,path_entities,path_edge_ids,path_relationships,path_length,Rc,Rc_status
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,Corporation,0,connected,['Corporation'],[],[],0,0,single_or_no_terminal
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Corporation,0,connected,['Corporation'],[],[],0,3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Industry,1,connected,"['Corporation', 'Industry']",['Corporation -- Industry [corporation_has_industry]'],['corporation_has_industry'],1,3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Country,1,connected,"['Corporation', 'Country']",['Corporation -- Country [corporation_has_country]'],['corporation_has_country'],1,3,connected
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,ListedSecurity,1,connected,"['Corporation', 'ListedSecurity']",['Corporation -- ListedSecurity [corporation_has_listed_security]'],['corporation_has_listed_security'],1,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,FinancialServiceAccount,0,connected,['FinancialServiceAccount'],[],[],0,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Holding,1,connected,"['FinancialServiceAccount', 'Holding']",['FinancialServiceAccount -- Holding [account_has_holding]'],['account_has_holding'],1,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,ListedSecurity,2,connected,"['FinancialServiceAccount', 'Holding', 'ListedSecurity']","['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['account_has_holding', 'holding_refers_to_listed_security']",2,3,connected
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Security,3,connected,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']","['FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'ListedSecurity -- Security [listed_security_represents_security]']","['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",3,3,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Person,0,connected,['Person'],[],[],0,4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,FinancialServiceAccount,1,connected,"['Person', 'FinancialServiceAccount']",['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account'],1,4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Holding,2,connected,"['Person', 'FinancialServiceAccount', 'Holding']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]']","['person_owns_financial_service_account', 'account_has_holding']",2,4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,ListedSecurity,3,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security']",3,4,connected
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Corporation,4,connected,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security', 'corporation_has_listed_security']",4,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,Corporation,0,connected,['Corporation'],[],[],0,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,FinancialReport,1,connected,"['Corporation', 'FinancialReport']",['Corporation -- FinancialReport [corporation_has_financial_report]'],['corporation_has_financial_report'],1,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,ReportElement,2,connected,"['Corporation', 'FinancialReport', 'ReportElement']","['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]']","['corporation_has_financial_report', 'financial_report_contains_report_element']",2,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,StatementElement,3,connected,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement']","['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]']","['corporation_has_financial_report', 'financial_report_contains_report_element', 'report_element_has_statement_element']",3,4,connected
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,Disclosure,2,connected,"['Corporation', 'FinancialReport', 'Disclosure']","['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']","['corporation_has_financial_report', 'financial_report_contains_disclosure']",2,4,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Corporation,1,connected,"['ListedSecurity', 'Corporation']",['Corporation -- ListedSecurity [corporation_has_listed_security]'],['corporation_has_listed_security'],1,3,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Industry,2,connected,"['ListedSecurity', 'Corporation', 'Industry']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Corporation -- Industry [corporation_has_industry]']","['corporation_has_listed_security', 'corporation_has_industry']",2,3,connected
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,Country,2,connected,"['ListedSecurity', 'Corporation', 'Country']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Corporation -- Country [corporation_has_country]']","['corporation_has_listed_security', 'corporation_has_country']",2,3,connected
