query_name,selected_root,D,n_entities_at_depth,entities_at_depth
Q10_CreateAccountHoldingAndBuyTransaction,Person,0,1,['Person']
Q10_CreateAccountHoldingAndBuyTransaction,Person,1,1,['FinancialServiceAccount']
Q10_CreateAccountHoldingAndBuyTransaction,Person,2,2,"['Holding', 'Transaction']"
Q10_CreateAccountHoldingAndBuyTransaction,Person,3,2,"['BuyTransaction', 'ListedSecurity']"
Q1_CompanyProfileIBM,Corporation,0,1,['Corporation']
Q2_CompanyWithIndustryCountryAndListedSecurities,Corporation,0,1,['Corporation']
Q2_CompanyWithIndustryCountryAndListedSecurities,Corporation,1,3,"['Country', 'Industry', 'ListedSecurity']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,FinancialServiceAccount,0,1,['FinancialServiceAccount']
Q3_SecuritiesHeldInEachFinancialServiceAccount,FinancialServiceAccount,1,1,['Holding']
Q3_SecuritiesHeldInEachFinancialServiceAccount,FinancialServiceAccount,2,1,['ListedSecurity']
Q3_SecuritiesHeldInEachFinancialServiceAccount,FinancialServiceAccount,3,1,['Security']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Person,0,1,['Person']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Person,1,1,['FinancialServiceAccount']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Person,2,1,['Holding']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Person,3,1,['ListedSecurity']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,Person,4,1,['Corporation']
Q5_ReportsAndMetricDataOfCompany,Corporation,0,1,['Corporation']
Q5_ReportsAndMetricDataOfCompany,Corporation,1,1,['FinancialReport']
Q5_ReportsAndMetricDataOfCompany,Corporation,2,2,"['Disclosure', 'ReportElement']"
Q5_ReportsAndMetricDataOfCompany,Corporation,3,1,['StatementElement']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,ListedSecurity,0,1,['ListedSecurity']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,ListedSecurity,1,1,['Corporation']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,ListedSecurity,2,2,"['Country', 'Industry']"
Q7_PersonsWhoBoughtMoreIBMThanSold,Person,0,1,['Person']
Q7_PersonsWhoBoughtMoreIBMThanSold,Person,1,1,['FinancialServiceAccount']
Q7_PersonsWhoBoughtMoreIBMThanSold,Person,2,1,['Transaction']
Q7_PersonsWhoBoughtMoreIBMThanSold,Person,3,3,"['BuyTransaction', 'ListedSecurity', 'SellTransaction']"
Q7_PersonsWhoBoughtMoreIBMThanSold,Person,4,1,['Corporation']
Q8_IBMTransactionsBelowAverageSellingPrice,Transaction,0,1,['Transaction']
Q8_IBMTransactionsBelowAverageSellingPrice,Transaction,1,2,"['ListedSecurity', 'SellTransaction']"
Q8_IBMTransactionsBelowAverageSellingPrice,Transaction,2,1,['Corporation']
Q9_PersonsWhoBoughtAndSoldSameStock,Person,0,1,['Person']
Q9_PersonsWhoBoughtAndSoldSameStock,Person,1,1,['FinancialServiceAccount']
Q9_PersonsWhoBoughtAndSoldSameStock,Person,2,1,['Transaction']
Q9_PersonsWhoBoughtAndSoldSameStock,Person,3,3,"['BuyTransaction', 'ListedSecurity', 'SellTransaction']"
