query_name,generic_class,query_family,query_type,selected_root,n_entities,max_D,min_D,avg_D,n_unreachable,entities
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,6,3,0,1.8333333333333333,0,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']"
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,1,0,0,0.0,0,['Corporation']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,4,1,0,0.75,0,"['Corporation', 'Industry', 'Country', 'ListedSecurity']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,4,3,0,1.5,0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,5,4,0,2.0,0,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']"
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,5,3,0,1.6,0,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,4,2,0,1.25,0,"['Corporation', 'Industry', 'Country', 'ListedSecurity']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,7,4,0,2.2857142857142856,0,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']"
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,4,2,0,1.0,0,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']"
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,6,3,0,2.0,0,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']"
