edge_id,relationship_name,semantic_type,source_entity,target_entity,hint_type,source_view,target_view,bridge_view,selected_source_column,selected_target_column,bridge_source_column,bridge_target_column,hint_confidence,observed_cardinality,computation_status,row_limit,bridge_non_null_rows,source_non_null_rows,target_non_null_rows,source_distinct_keys,target_distinct_keys,joined_rows,joined_distinct_source_keys,joined_distinct_target_keys,notes
Corporation -- Industry [corporation_has_industry],corporation_has_industry,descriptor,Corporation,Industry,direct,fiben_corporations,fiben_industries,,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,,,high,observed_N_to_M,computed,200000,,2324,452,358,452,2324,358,358,Corporation points to IndustrySectorClassifier through ISCLASSIFIEDBY.
Corporation -- Country [corporation_has_country],corporation_has_country,descriptor,Corporation,Country,direct,fiben_corporations,fiben_countries,,ISDOMICILEDIN,COUNTRYID,,,high,observed_N_to_M,computed,200000,,2324,249,20,249,2324,20,20,Corporation points to Country through ISDOMICILEDIN.
Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,Corporation,ListedSecurity,bridge,fiben_corporations,fiben_listed_securities,fiben_securities,CORPORATIONID,LISTEDSECURITYID,ISPROVIDEDBY,ISTRADEDON,medium,no_observed_matches,computed,200000,2745.0,2324,2745,2324,2745,0,0,0,Derived path Corporation -> Security -> ListedSecurity.
ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,association,ListedSecurity,Security,direct,fiben_listed_securities,fiben_securities,,LISTEDSECURITYID,ISTRADEDON,,,medium,no_observed_matches,computed,200000,,2745,2745,2745,3,0,0,0,Security appears to point to ListedSecurity through ISTRADEDON.
Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,Person,FinancialServiceAccount,direct,fiben_persons,fiben_financial_service_accounts,,PERSONID,ISOWNEDBY,,,high,observed_N_to_M,computed,200000,,50100,97270,50100,50000,97270,50000,50000,FinancialServiceAccount points to Person through ISOWNEDBY.
FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,FinancialServiceAccount,Holding,direct,fiben_financial_service_accounts,fiben_holdings,,FINANCIALSERVICEACCOUNTID,ISHELDBY,,,high,observed_N_to_M,computed,200000,,97270,200000,97270,36445,200000,36445,36445,Holding points to FinancialServiceAccount through ISHELDBY.
Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,Holding,ListedSecurity,direct,fiben_holdings,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,high,observed_N_to_M,computed,200000,,200000,2745,2745,2745,200000,2745,2745,Holding points to ListedSecurity through REFERSTO.
FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,containment,FinancialServiceAccount,Transaction,direct,fiben_financial_service_accounts,fiben_transactions,,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,,,high,observed_N_to_M,computed,200000,,97270,200000,97270,84838,200000,84838,84838,SecuritiesTransaction points to FinancialServiceAccount through ISFACILITATEDBY.
Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,association,Transaction,ListedSecurity,direct,fiben_transactions,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,high,observed_N_to_M,computed,200000,,200000,2745,2745,2745,200000,2745,2745,SecuritiesTransaction points to ListedSecurity through REFERSTO.
BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,subtype,BuyTransaction,Transaction,subtype_alias,fiben_buy_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,medium,observed_1_to_1,computed,200000,,200000,200000,200000,200000,200000,200000,200000,BuyTransaction is currently a conceptual alias over SecuritiesTransaction.
SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,subtype,SellTransaction,Transaction,subtype_alias,fiben_sell_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,medium,observed_1_to_1,computed,200000,,200000,200000,200000,200000,200000,200000,200000,SellTransaction is currently a conceptual alias over SecuritiesTransaction.
Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,containment,Corporation,FinancialReport,direct,fiben_corporations,fiben_reports,,CORPORATIONID,ISPROVIDEDBY,,,high,observed_N_to_M,computed,200000,,2324,48301,2324,2324,48301,2324,2324,FinancialReport points to Corporation through ISPROVIDEDBY.
FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,containment,FinancialReport,ReportElement,direct,fiben_reports,fiben_report_elements,,FINANCIALREPORTID,ISMEMBEROF,,,high,observed_N_to_M,computed,200000,,48301,200000,48301,3586,200000,3586,3586,ReportElement points to FinancialReport through ISMEMBEROF.
ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,containment,ReportElement,StatementElement,direct,fiben_report_elements,fiben_statement_elements,,ELEMENTSOFFINANCIALREPORTID,ELEMENTOFFINANCIALSTATEMENTID,,,low,no_observed_matches,computed,200000,,200000,200000,200000,200000,0,0,0,Tentative mapping. Needs validation with observed matches.
FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,containment,FinancialReport,Disclosure,direct,fiben_reports,fiben_disclosures,,HASUNIQUEIDENTIFIER,HASUNIQUEIDENTIFIER,,,low,no_observed_matches,computed,200000,,48301,200000,48301,56,0,0,0,Tentative mapping because Disclosure has no obvious report foreign key.
