scope,alias,view_name,column_name,column_type,null,key,default,extra,normalized_column,looks_like_key
raw,corporation,fiben_raw_corporation,CORPORATIONID,BIGINT,YES,,,,corporationid,True
raw,country,fiben_raw_country,COUNTRYID,BIGINT,YES,,,,countryid,True
raw,country,fiben_raw_country,HASNUMERICCOUNTRYCODE,BIGINT,YES,,,,hasnumericcountrycode,True
raw,disclosure,fiben_raw_disclosure,DISCLOSUREID,BIGINT,YES,,,,disclosureid,True
raw,disclosure,fiben_raw_disclosure,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,ELEMENTOFFINANCIALSTATEMENTID,BIGINT,YES,,,,elementoffinancialstatementid,True
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,elementsoffinancialreport,fiben_raw_elementsoffinancialreport,ELEMENTSOFFINANCIALREPORTID,BIGINT,YES,,,,elementsoffinancialreportid,True
raw,financialreport,fiben_raw_financialreport,FINANCIALREPORTID,BIGINT,YES,,,,financialreportid,True
raw,financialreport,fiben_raw_financialreport,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,financialreport,fiben_raw_financialreport,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
raw,financialserviceaccount,fiben_raw_financialserviceaccount,FINANCIALSERVICEACCOUNTID,BIGINT,YES,,,,financialserviceaccountid,True
raw,financialserviceaccount,fiben_raw_financialserviceaccount,HASACCOUNTNUMBER,BIGINT,YES,,,,hasaccountnumber,True
raw,holding,fiben_raw_holding,HOLDINGID,BIGINT,YES,,,,holdingid,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASNUMERICCODE,BIGINT,YES,,,,hasnumericcode,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,HASUNIQUEIDENTIFIER,BIGINT,YES,,,,hasuniqueidentifier,True
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,INDUSTRYSECTORCLASSIFIERID,BIGINT,YES,,,,industrysectorclassifierid,True
raw,listedsecurity,fiben_raw_listedsecurity,LISTEDSECURITYID,BIGINT,YES,,,,listedsecurityid,True
raw,monetaryamount,fiben_raw_monetaryamount,MONETARYAMOUNTID,BIGINT,YES,,,,monetaryamountid,True
raw,person,fiben_raw_person,HASMIDDLENAMEORINITIAL,VARCHAR,YES,,,,hasmiddlenameorinitial,True
raw,person,fiben_raw_person,HASPERSONNAME,VARCHAR,YES,,,,haspersonname,True
raw,person,fiben_raw_person,PERSONID,BIGINT,YES,,,,personid,True
raw,securitiestransaction,fiben_raw_securitiestransaction,SECURITIESTRANSACTIONID,BIGINT,YES,,,,securitiestransactionid,True
raw,security,fiben_raw_security,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
raw,security,fiben_raw_security,SECURITYID,BIGINT,YES,,,,securityid,True
semantic,corporations,fiben_corporations,CORPORATIONID,BIGINT,YES,,,,corporationid,True
semantic,disclosures,fiben_disclosures,DISCLOSUREID,BIGINT,YES,,,,disclosureid,True
semantic,disclosures,fiben_disclosures,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
semantic,listed_securities,fiben_listed_securities,LISTEDSECURITYID,BIGINT,YES,,,,listedsecurityid,True
semantic,reports,fiben_reports,FINANCIALREPORTID,BIGINT,YES,,,,financialreportid,True
semantic,reports,fiben_reports,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
semantic,reports,fiben_reports,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
semantic,securities,fiben_securities,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
semantic,securities,fiben_securities,SECURITYID,BIGINT,YES,,,,securityid,True
