scope,alias,view_name,column_name,column_type,null,key,default,extra,normalized_column,looks_like_key
raw,corporation,fiben_raw_corporation,CORPORATIONID,BIGINT,YES,,,,corporationid,True
raw,corporation,fiben_raw_corporation,ISCLASSIFIEDBY,BIGINT,YES,,,,isclassifiedby,False
raw,corporation,fiben_raw_corporation,ISDOMICILEDIN,BIGINT,YES,,,,isdomiciledin,False
raw,corporation,fiben_raw_corporation,HASTICKERSYMBOL,VARCHAR,YES,,,,hastickersymbol,False
raw,corporation,fiben_raw_corporation,HASLEGALNAME,VARCHAR,YES,,,,haslegalname,False
raw,country,fiben_raw_country,COUNTRYID,BIGINT,YES,,,,countryid,True
raw,country,fiben_raw_country,HASNAME,VARCHAR,YES,,,,hasname,False
raw,country,fiben_raw_country,HASNUMERICCOUNTRYCODE,BIGINT,YES,,,,hasnumericcountrycode,True
raw,disclosure,fiben_raw_disclosure,DISCLOSUREID,BIGINT,YES,,,,disclosureid,True
raw,disclosure,fiben_raw_disclosure,HASMETRICYEARCALENDAR,BIGINT,YES,,,,hasmetricyearcalendar,False
raw,disclosure,fiben_raw_disclosure,HASMETRICSTARTDATE,BIGINT,YES,,,,hasmetricstartdate,False
raw,disclosure,fiben_raw_disclosure,HASDOCUMENTTYPE,VARCHAR,YES,,,,hasdocumenttype,False
raw,disclosure,fiben_raw_disclosure,HASMETRICENDQUARTER,VARCHAR,YES,,,,hasmetricendquarter,False
raw,disclosure,fiben_raw_disclosure,HASUNIT,VARCHAR,YES,,,,hasunit,False
raw,disclosure,fiben_raw_disclosure,APPLICABLEPERIOD,VARCHAR,YES,,,,applicableperiod,False
raw,disclosure,fiben_raw_disclosure,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,disclosure,fiben_raw_disclosure,HASMETRICENDDATE,BIGINT,YES,,,,hasmetricenddate,False
raw,disclosure,fiben_raw_disclosure,ISCOMPUTED,BOOLEAN,YES,,,,iscomputed,False
raw,disclosure,fiben_raw_disclosure,HASMETRICVALUE,DOUBLE,YES,,,,hasmetricvalue,False
raw,disclosure,fiben_raw_disclosure,HASMETRICYEARFISCAL,BIGINT,YES,,,,hasmetricyearfiscal,False
raw,disclosure,fiben_raw_disclosure,HASURL,VARCHAR,YES,,,,hasurl,False
raw,disclosure,fiben_raw_disclosure,HASMETRICCONTEXTDIMENSIONS,VARCHAR,YES,,,,hasmetriccontextdimensions,False
raw,disclosure,fiben_raw_disclosure,HASMETRICSTARTQUARTER,VARCHAR,YES,,,,hasmetricstartquarter,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,ELEMENTOFFINANCIALSTATEMENTID,BIGINT,YES,,,,elementoffinancialstatementid,True
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICYEARCALENDAR,BIGINT,YES,,,,hasmetricyearcalendar,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICSTARTDATE,BIGINT,YES,,,,hasmetricstartdate,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASDOCUMENTTYPE,VARCHAR,YES,,,,hasdocumenttype,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICENDQUARTER,VARCHAR,YES,,,,hasmetricendquarter,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASUNIT,VARCHAR,YES,,,,hasunit,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,APPLICABLEPERIOD,VARCHAR,YES,,,,applicableperiod,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICENDDATE,BIGINT,YES,,,,hasmetricenddate,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,ISCOMPUTED,BOOLEAN,YES,,,,iscomputed,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICVALUE,DOUBLE,YES,,,,hasmetricvalue,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICYEARFISCAL,BIGINT,YES,,,,hasmetricyearfiscal,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASURL,VARCHAR,YES,,,,hasurl,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICCONTEXTDIMENSIONS,VARCHAR,YES,,,,hasmetriccontextdimensions,False
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,HASMETRICSTARTQUARTER,VARCHAR,YES,,,,hasmetricstartquarter,False
raw,elementsoffinancialreport,fiben_raw_elementsoffinancialreport,ELEMENTSOFFINANCIALREPORTID,BIGINT,YES,,,,elementsoffinancialreportid,True
raw,elementsoffinancialreport,fiben_raw_elementsoffinancialreport,ISMEMBEROF,BIGINT,YES,,,,ismemberof,False
raw,financialreport,fiben_raw_financialreport,FINANCIALREPORTID,BIGINT,YES,,,,financialreportid,True
raw,financialreport,fiben_raw_financialreport,ISPROVIDEDBY,BIGINT,YES,,,,isprovidedby,True
raw,financialreport,fiben_raw_financialreport,HASUNIQUEIDENTIFIER,VARCHAR,YES,,,,hasuniqueidentifier,True
raw,financialserviceaccount,fiben_raw_financialserviceaccount,FINANCIALSERVICEACCOUNTID,BIGINT,YES,,,,financialserviceaccountid,True
raw,financialserviceaccount,fiben_raw_financialserviceaccount,ISOWNEDBY,BIGINT,YES,,,,isownedby,False
raw,financialserviceaccount,fiben_raw_financialserviceaccount,ISMANAGEDBY,BIGINT,YES,,,,ismanagedby,False
