scope,alias,view_name,n_rows,n_columns,columns,status
raw,corporation,fiben_raw_corporation,2324,5,"['CORPORATIONID', 'ISCLASSIFIEDBY', 'ISDOMICILEDIN', 'HASTICKERSYMBOL', 'HASLEGALNAME']",ok
raw,country,fiben_raw_country,249,3,"['COUNTRYID', 'HASNAME', 'HASNUMERICCOUNTRYCODE']",ok
raw,disclosure,fiben_raw_disclosure,208158,15,"['DISCLOSUREID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']",ok
raw,elementoffinancialstatement,fiben_raw_elementoffinancialstatement,443794,15,"['ELEMENTOFFINANCIALSTATEMENTID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']",ok
raw,elementsoffinancialreport,fiben_raw_elementsoffinancialreport,8120084,2,"['ELEMENTSOFFINANCIALREPORTID', 'ISMEMBEROF']",ok
raw,financialreport,fiben_raw_financialreport,48301,3,"['FINANCIALREPORTID', 'ISPROVIDEDBY', 'HASUNIQUEIDENTIFIER']",ok
raw,financialserviceaccount,fiben_raw_financialserviceaccount,97270,5,"['FINANCIALSERVICEACCOUNTID', 'ISOWNEDBY', 'ISMANAGEDBY', 'HASACCOUNTNUMBER', 'HASSTARTDATE']",ok
raw,holding,fiben_raw_holding,534473,5,"['HOLDINGID', 'ISHELDBY', 'REFERSTO', 'HASDESCRIPTION', 'HASCOUNT']",ok
raw,industrysectorclassifier,fiben_raw_industrysectorclassifier,452,6,"['INDUSTRYSECTORCLASSIFIERID', 'ISDEFINEDBY', 'HASUNIQUEIDENTIFIER', 'HASDESCRIPTION', 'HASNUMERICCODE', 'HASFORMALNAME']",ok
raw,listedsecurity,fiben_raw_listedsecurity,2745,5,"['LISTEDSECURITYID', 'HASLASTTRADEDVALUE', 'HASLISTINGDATE', 'HASTICKERSYMBOL', 'HASLEGALNAME']",ok
raw,monetaryamount,fiben_raw_monetaryamount,502745,3,"['MONETARYAMOUNTID', 'HASCURRENCY', 'HASAMOUNT']",ok
raw,person,fiben_raw_person,50100,9,"['PERSONID', 'HASPLACEOFBIRTH', 'HASCITIZENSHIP', 'HASGENDER', 'HASDATEOFBIRTH', 'HASPERSONNAME', 'HASLASTNAME', 'HASFIRSTNAME', 'HASMIDDLENAMEORINITIAL']",ok
raw,securitiestransaction,fiben_raw_securitiestransaction,500000,7,"['SECURITIESTRANSACTIONID', 'ISFACILITATEDBY', 'HASPRICE', 'REFERSTO', 'HASTYPE', 'HASSETTLEMENTDATE', 'HASCOUNT']",ok
raw,security,fiben_raw_security,2745,3,"['SECURITYID', 'ISTRADEDON', 'ISPROVIDEDBY']",ok
semantic,corporations,fiben_corporations,2324,5,"['CORPORATIONID', 'ISCLASSIFIEDBY', 'ISDOMICILEDIN', 'HASTICKERSYMBOL', 'HASLEGALNAME']",ok
semantic,disclosures,fiben_disclosures,208158,15,"['DISCLOSUREID', 'HASMETRICYEARCALENDAR', 'HASMETRICSTARTDATE', 'HASDOCUMENTTYPE', 'HASMETRICENDQUARTER', 'HASUNIT', 'APPLICABLEPERIOD', 'HASUNIQUEIDENTIFIER', 'HASMETRICENDDATE', 'ISCOMPUTED', 'HASMETRICVALUE', 'HASMETRICYEARFISCAL', 'HASURL', 'HASMETRICCONTEXTDIMENSIONS', 'HASMETRICSTARTQUARTER']",ok
semantic,listed_securities,fiben_listed_securities,2745,5,"['LISTEDSECURITYID', 'HASLASTTRADEDVALUE', 'HASLISTINGDATE', 'HASTICKERSYMBOL', 'HASLEGALNAME']",ok
semantic,reports,fiben_reports,48301,3,"['FINANCIALREPORTID', 'ISPROVIDEDBY', 'HASUNIQUEIDENTIFIER']",ok
semantic,securities,fiben_securities,2745,3,"['SECURITYID', 'ISTRADEDON', 'ISPROVIDEDBY']",ok
