edge_id,relationship_name,semantic_type,source_entity,target_entity,source_view,target_view,selected_source_column,selected_target_column,join_inference_reason,observed_cardinality,computation_status,row_limit,joined_rows,source_non_null_rows,target_non_null_rows,source_distinct_keys,target_distinct_keys,joined_distinct_source_keys,joined_distinct_target_keys
Corporation -- Industry [corporation_has_industry],corporation_has_industry,descriptor,Corporation,Industry,fiben_corporations,,,,,not_computed,missing_view,200000,,,,,,,
Corporation -- Country [corporation_has_country],corporation_has_country,descriptor,Corporation,Country,fiben_corporations,fiben_raw_country,,,,not_computed,no_join_columns_detected,200000,,,,,,,
Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,Corporation,ListedSecurity,fiben_corporations,fiben_listed_securities,,,,not_computed,no_join_columns_detected,200000,,,,,,,
Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,Person,FinancialServiceAccount,fiben_raw_person,fiben_raw_financialserviceaccount,,,,not_computed,no_join_columns_detected,200000,,,,,,,
FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,FinancialServiceAccount,Holding,fiben_raw_financialserviceaccount,fiben_raw_holding,,,,not_computed,no_join_columns_detected,200000,,,,,,,
Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,Holding,ListedSecurity,fiben_raw_holding,fiben_listed_securities,,,,not_computed,no_join_columns_detected,200000,,,,,,,
FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,containment,FinancialServiceAccount,Transaction,fiben_raw_financialserviceaccount,,,,,not_computed,missing_view,200000,,,,,,,
Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,association,Transaction,ListedSecurity,,fiben_listed_securities,,,,not_computed,missing_view,200000,,,,,,,
BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,subtype,BuyTransaction,Transaction,,,,,,not_computed,missing_view,200000,,,,,,,
SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,subtype,SellTransaction,Transaction,,,,,,not_computed,missing_view,200000,,,,,,,
Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,containment,Corporation,FinancialReport,fiben_corporations,fiben_reports,,,,not_computed,no_join_columns_detected,200000,,,,,,,
FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,containment,FinancialReport,ReportElement,fiben_reports,,,,,not_computed,missing_view,200000,,,,,,,
ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,containment,ReportElement,StatementElement,,,,,,not_computed,missing_view,200000,,,,,,,
