conceptual_entity,view_name,column_name,column_type
Corporation,fiben_corporations,CORPORATIONID,BIGINT
Corporation,fiben_corporations,ISCLASSIFIEDBY,BIGINT
Corporation,fiben_corporations,ISDOMICILEDIN,BIGINT
Corporation,fiben_corporations,HASTICKERSYMBOL,VARCHAR
Corporation,fiben_corporations,HASLEGALNAME,VARCHAR
Industry,fiben_industries,INDUSTRYSECTORCLASSIFIERID,BIGINT
Industry,fiben_industries,ISDEFINEDBY,BIGINT
Industry,fiben_industries,HASUNIQUEIDENTIFIER,BIGINT
Industry,fiben_industries,HASDESCRIPTION,VARCHAR
Industry,fiben_industries,HASNUMERICCODE,BIGINT
Industry,fiben_industries,HASFORMALNAME,VARCHAR
Country,fiben_countries,COUNTRYID,BIGINT
Country,fiben_countries,HASNAME,VARCHAR
Country,fiben_countries,HASNUMERICCOUNTRYCODE,BIGINT
Security,fiben_securities,SECURITYID,BIGINT
Security,fiben_securities,ISTRADEDON,BIGINT
Security,fiben_securities,ISPROVIDEDBY,BIGINT
ListedSecurity,fiben_listed_securities,LISTEDSECURITYID,BIGINT
ListedSecurity,fiben_listed_securities,HASLASTTRADEDVALUE,BIGINT
ListedSecurity,fiben_listed_securities,HASLISTINGDATE,VARCHAR
ListedSecurity,fiben_listed_securities,HASTICKERSYMBOL,VARCHAR
ListedSecurity,fiben_listed_securities,HASLEGALNAME,VARCHAR
Person,fiben_persons,PERSONID,BIGINT
Person,fiben_persons,HASPLACEOFBIRTH,DOUBLE
Person,fiben_persons,HASCITIZENSHIP,BIGINT
Person,fiben_persons,HASGENDER,VARCHAR
Person,fiben_persons,HASDATEOFBIRTH,VARCHAR
Person,fiben_persons,HASPERSONNAME,VARCHAR
Person,fiben_persons,HASLASTNAME,VARCHAR
Person,fiben_persons,HASFIRSTNAME,VARCHAR
Person,fiben_persons,HASMIDDLENAMEORINITIAL,VARCHAR
FinancialServiceAccount,fiben_financial_service_accounts,FINANCIALSERVICEACCOUNTID,BIGINT
FinancialServiceAccount,fiben_financial_service_accounts,ISOWNEDBY,BIGINT
FinancialServiceAccount,fiben_financial_service_accounts,ISMANAGEDBY,BIGINT
FinancialServiceAccount,fiben_financial_service_accounts,HASACCOUNTNUMBER,BIGINT
FinancialServiceAccount,fiben_financial_service_accounts,HASSTARTDATE,VARCHAR
Holding,fiben_holdings,HOLDINGID,BIGINT
Holding,fiben_holdings,ISHELDBY,BIGINT
Holding,fiben_holdings,REFERSTO,BIGINT
Holding,fiben_holdings,HASDESCRIPTION,VARCHAR
Holding,fiben_holdings,HASCOUNT,DOUBLE
Transaction,fiben_transactions,SECURITIESTRANSACTIONID,BIGINT
Transaction,fiben_transactions,ISFACILITATEDBY,BIGINT
Transaction,fiben_transactions,HASPRICE,BIGINT
Transaction,fiben_transactions,REFERSTO,BIGINT
Transaction,fiben_transactions,HASTYPE,BIGINT
Transaction,fiben_transactions,HASSETTLEMENTDATE,VARCHAR
Transaction,fiben_transactions,HASCOUNT,DOUBLE
FinancialReport,fiben_reports,FINANCIALREPORTID,BIGINT
FinancialReport,fiben_reports,ISPROVIDEDBY,BIGINT
FinancialReport,fiben_reports,HASUNIQUEIDENTIFIER,VARCHAR
ReportElement,fiben_report_elements,ELEMENTSOFFINANCIALREPORTID,BIGINT
ReportElement,fiben_report_elements,ISMEMBEROF,BIGINT
StatementElement,fiben_statement_elements,ELEMENTOFFINANCIALSTATEMENTID,BIGINT
StatementElement,fiben_statement_elements,HASMETRICYEARCALENDAR,BIGINT
StatementElement,fiben_statement_elements,HASMETRICSTARTDATE,BIGINT
StatementElement,fiben_statement_elements,HASDOCUMENTTYPE,VARCHAR
StatementElement,fiben_statement_elements,HASMETRICENDQUARTER,VARCHAR
StatementElement,fiben_statement_elements,HASUNIT,VARCHAR
StatementElement,fiben_statement_elements,APPLICABLEPERIOD,VARCHAR
StatementElement,fiben_statement_elements,HASUNIQUEIDENTIFIER,VARCHAR
StatementElement,fiben_statement_elements,HASMETRICENDDATE,BIGINT
StatementElement,fiben_statement_elements,ISCOMPUTED,BOOLEAN
StatementElement,fiben_statement_elements,HASMETRICVALUE,DOUBLE
StatementElement,fiben_statement_elements,HASMETRICYEARFISCAL,BIGINT
StatementElement,fiben_statement_elements,HASURL,VARCHAR
StatementElement,fiben_statement_elements,HASMETRICCONTEXTDIMENSIONS,VARCHAR
StatementElement,fiben_statement_elements,HASMETRICSTARTQUARTER,VARCHAR
Disclosure,fiben_disclosures,DISCLOSUREID,BIGINT
Disclosure,fiben_disclosures,HASMETRICYEARCALENDAR,BIGINT
Disclosure,fiben_disclosures,HASMETRICSTARTDATE,BIGINT
Disclosure,fiben_disclosures,HASDOCUMENTTYPE,VARCHAR
Disclosure,fiben_disclosures,HASMETRICENDQUARTER,VARCHAR
Disclosure,fiben_disclosures,HASUNIT,VARCHAR
Disclosure,fiben_disclosures,APPLICABLEPERIOD,VARCHAR
Disclosure,fiben_disclosures,HASUNIQUEIDENTIFIER,VARCHAR
Disclosure,fiben_disclosures,HASMETRICENDDATE,BIGINT
Disclosure,fiben_disclosures,ISCOMPUTED,BOOLEAN
Disclosure,fiben_disclosures,HASMETRICVALUE,DOUBLE
Disclosure,fiben_disclosures,HASMETRICYEARFISCAL,BIGINT
Disclosure,fiben_disclosures,HASURL,VARCHAR
Disclosure,fiben_disclosures,HASMETRICCONTEXTDIMENSIONS,VARCHAR
Disclosure,fiben_disclosures,HASMETRICSTARTQUARTER,VARCHAR
