semantic_view,source_view,status
fiben_industries,fiben_raw_industrysectorclassifier,created_or_replaced
fiben_countries,fiben_raw_country,created_or_replaced
fiben_persons,fiben_raw_person,created_or_replaced
fiben_financial_service_accounts,fiben_raw_financialserviceaccount,created_or_replaced
fiben_holdings,fiben_raw_holding,created_or_replaced
fiben_transactions,fiben_raw_securitiestransaction,created_or_replaced
fiben_report_elements,fiben_raw_elementsoffinancialreport,created_or_replaced
fiben_statement_elements,fiben_raw_elementoffinancialstatement,created_or_replaced
fiben_buy_transactions,fiben_raw_securitiestransaction,created_or_replaced
fiben_sell_transactions,fiben_raw_securitiestransaction,created_or_replaced
