query_name,generic_class,query_family,edge_position,edge_id,name,source,target,semantic_type,observed_cardinality,hint_confidence
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,Corporation,Industry,descriptor,observed_N_to_M,high
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,2,Corporation -- Country [corporation_has_country],corporation_has_country,Corporation,Country,descriptor,observed_N_to_M,high
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,no_observed_matches,medium
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,1,ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,ListedSecurity,Security,association,no_observed_matches,medium
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,observed_N_to_M,high
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,observed_N_to_M,high
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,no_observed_matches,medium
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,observed_N_to_M,high
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,3,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,observed_N_to_M,high
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,4,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,observed_N_to_M,high
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,1,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,Corporation,FinancialReport,containment,observed_N_to_M,high
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,2,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,FinancialReport,ReportElement,containment,observed_N_to_M,high
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,3,ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,ReportElement,StatementElement,containment,no_observed_matches,low
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,4,FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,FinancialReport,Disclosure,containment,no_observed_matches,low
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,Corporation,Industry,descriptor,observed_N_to_M,high
