query_name,generic_class,query_family,query_type,entities_touched,n_entities_touched,relationship_status,n_relationship_edges,semantic_types_touched,n_semantic_types,relationship_names_touched,edge_ids_touched,touches_association,n_association_edges,touches_containment,n_containment_edges,touches_descriptor,n_descriptor_edges,touches_ownership,n_ownership_edges,touches_subtype,n_subtype_edges
Q1_CompanyProfileIBM,QG1,Local lookup,select,['Corporation'],1,no_relationship_edges,0,[],0,[],[],False,0,False,0,False,0,False,0,False,0
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,has_relationship_edges,3,"['association', 'descriptor']",2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",True,1,False,0,True,2,False,0,False,0
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,has_relationship_edges,3,"['association', 'containment']",2,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']","['ListedSecurity -- Security [listed_security_represents_security]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",True,2,True,1,False,0,False,0,False,0
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,has_relationship_edges,4,"['association', 'containment', 'ownership']",3,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",True,2,True,1,False,0,True,1,False,0
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,has_relationship_edges,4,['containment'],1,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']","['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']",False,0,True,4,False,0,False,0,False,0
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,has_relationship_edges,3,"['association', 'descriptor']",2,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",True,1,False,0,True,2,False,0,False,0
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,has_relationship_edges,6,"['association', 'containment', 'ownership', 'subtype']",4,"['account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,2,True,1,False,0,True,1,True,2
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,has_relationship_edges,3,"['association', 'subtype']",2,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,2,False,0,False,0,False,0,True,1
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,has_relationship_edges,5,"['association', 'containment', 'ownership', 'subtype']",4,"['account_records_transaction', 'buy_transaction_is_transaction', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",True,1,True,1,False,0,True,1,True,2
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,has_relationship_edges,5,"['association', 'containment', 'ownership', 'subtype']",4,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]']",True,1,True,2,False,0,True,1,True,1
