query_name,generic_class,query_family,semantic_type,n_edges,edge_ids,relationships
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,association,1,['Holding -- ListedSecurity [holding_refers_to_listed_security]'],['holding_refers_to_listed_security']
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,containment,2,"['FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['account_has_holding', 'account_records_transaction']"
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,ownership,1,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account']
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,subtype,1,['BuyTransaction -- Transaction [buy_transaction_is_transaction]'],['buy_transaction_is_transaction']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,association,1,['Corporation -- ListedSecurity [corporation_has_listed_security]'],['corporation_has_listed_security']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,descriptor,2,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]']","['corporation_has_country', 'corporation_has_industry']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,association,2,"['ListedSecurity -- Security [listed_security_represents_security]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['holding_refers_to_listed_security', 'listed_security_represents_security']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,containment,1,['FinancialServiceAccount -- Holding [account_has_holding]'],['account_has_holding']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,association,2,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['corporation_has_listed_security', 'holding_refers_to_listed_security']"
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,containment,1,['FinancialServiceAccount -- Holding [account_has_holding]'],['account_has_holding']
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,ownership,1,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account']
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,containment,4,"['Corporation -- FinancialReport [corporation_has_financial_report]', 'FinancialReport -- ReportElement [financial_report_contains_report_element]', 'ReportElement -- StatementElement [report_element_has_statement_element]', 'FinancialReport -- Disclosure [financial_report_contains_disclosure]']","['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']"
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,association,1,['Corporation -- ListedSecurity [corporation_has_listed_security]'],['corporation_has_listed_security']
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,descriptor,2,"['Corporation -- Industry [corporation_has_industry]', 'Corporation -- Country [corporation_has_country]']","['corporation_has_country', 'corporation_has_industry']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,association,2,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]']","['corporation_has_listed_security', 'transaction_refers_to_listed_security']"
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,containment,1,['FinancialServiceAccount -- Transaction [account_records_transaction]'],['account_records_transaction']
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,ownership,1,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account']
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,subtype,2,"['BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']","['buy_transaction_is_transaction', 'sell_transaction_is_transaction']"
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,association,2,"['Corporation -- ListedSecurity [corporation_has_listed_security]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]']","['corporation_has_listed_security', 'transaction_refers_to_listed_security']"
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,subtype,1,['SellTransaction -- Transaction [sell_transaction_is_transaction]'],['sell_transaction_is_transaction']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,association,1,['Transaction -- ListedSecurity [transaction_refers_to_listed_security]'],['transaction_refers_to_listed_security']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,containment,1,['FinancialServiceAccount -- Transaction [account_records_transaction]'],['account_records_transaction']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,ownership,1,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],['person_owns_financial_service_account']
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,subtype,2,"['BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']","['buy_transaction_is_transaction', 'sell_transaction_is_transaction']"
