query_name,generic_class,query_family,query_type,selected_root,target_entity,target_distance_D,distance_status,edge_position_from_root,edge_depth,from_entity_on_path,to_entity_on_path,edge_id,relationship_name_on_path
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Industry,1,connected,1,1,Corporation,Industry,Corporation -- Industry [corporation_has_industry],corporation_has_industry
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Country,1,connected,1,1,Corporation,Country,Corporation -- Country [corporation_has_country],corporation_has_country
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,ListedSecurity,1,connected,1,1,Corporation,ListedSecurity,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Holding,1,connected,1,1,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,ListedSecurity,2,connected,1,1,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,ListedSecurity,2,connected,2,2,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Security,3,connected,1,1,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Security,3,connected,2,2,Holding,ListedSecurity,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Security,3,connected,3,3,ListedSecurity,Security,ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,FinancialServiceAccount,1,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Holding,2,connected,1,1,Person,FinancialServiceAccount,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,Holding,2,connected,2,2,FinancialServiceAccount,Holding,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding
