query_name,generic_class,query_family,query_type,selected_root,edge_id,relationship_name,semantic_type,observed_cardinality,hint_confidence,min_edge_depth,max_edge_depth,n_path_occurrences,entities_reached_by_edge,target_entities_using_edge
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,ownership,observed_N_to_M,high,1,1,5,['FinancialServiceAccount'],"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']"
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,observed_N_to_M,high,2,2,2,['Holding'],"['Holding', 'ListedSecurity']"
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,containment,observed_N_to_M,high,2,2,2,['Transaction'],"['BuyTransaction', 'Transaction']"
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,subtype,observed_1_to_1,medium,3,3,1,['BuyTransaction'],['BuyTransaction']
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,observed_N_to_M,high,3,3,1,['ListedSecurity'],['ListedSecurity']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Corporation -- Country [corporation_has_country],corporation_has_country,descriptor,observed_N_to_M,high,1,1,1,['Country'],['Country']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Corporation -- Industry [corporation_has_industry],corporation_has_industry,descriptor,observed_N_to_M,high,1,1,1,['Industry'],['Industry']
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,association,no_observed_matches,medium,1,1,1,['ListedSecurity'],['ListedSecurity']
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,containment,observed_N_to_M,high,1,1,3,['Holding'],"['Holding', 'ListedSecurity', 'Security']"
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,association,observed_N_to_M,high,2,2,2,['ListedSecurity'],"['ListedSecurity', 'Security']"
