query_name,generic_class,query_family,query_type,selected_root,document_depth,Rc,Re,DeltaR,DeltaRratio,n_reachable_entities,n_covered_edges,n_remaining_edges,is_full_coverage
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0,0,0,0,0.0,1,0,0,True
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,0,3,3,0,0.0,1,0,3,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1,3,0,3,1.0,4,3,0,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,0,3,3,0,0.0,1,0,3,False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,1,3,2,1,0.3333333333333333,2,1,2,False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,2,3,1,2,0.6666666666666666,3,2,1,False
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3,3,0,3,1.0,4,3,0,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,0,4,4,0,0.0,1,0,4,False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,1,4,3,1,0.25,2,1,3,False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,2,4,2,2,0.5,3,2,2,False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,3,4,1,3,0.75,4,3,1,False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4,4,0,4,1.0,5,4,0,True
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,0,4,4,0,0.0,1,0,4,False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,1,4,3,1,0.25,2,1,3,False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,2,4,1,3,0.75,4,3,1,False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3,4,0,4,1.0,5,4,0,True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,0,3,3,0,0.0,1,0,3,False
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,1,3,2,1,0.3333333333333333,2,1,2,False
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2,3,0,3,1.0,4,3,0,True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,0,6,7,-1,-0.16666666666666666,1,0,7,False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,1,6,6,0,0.0,2,1,6,False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,2,6,4,2,0.3333333333333333,3,3,4,False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,3,6,1,5,0.8333333333333334,6,6,1,False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4,6,0,6,1.0,7,7,0,True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,0,3,3,0,0.0,1,0,3,False
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,1,3,1,2,0.6666666666666666,3,2,1,False
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2,3,0,3,1.0,4,3,0,True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,0,5,6,-1,-0.2,1,0,6,False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,1,5,5,0,0.0,2,1,5,False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,2,5,3,2,0.4,3,3,3,False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3,5,0,5,1.0,6,6,0,True
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,0,5,5,0,0.0,1,0,5,False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,1,5,4,1,0.2,2,1,4,False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,2,5,2,3,0.6,4,3,2,False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3,5,0,5,1.0,6,5,0,True
