generic_class,query_family,document_potential_class,physical_mapping_reliability,n_queries,avg_Rc,avg_Re,avg_DeltaR,avg_DeltaRratio,max_DeltaRratio,n_full_coverage
QG1,Local lookup,no_relationship_traversal,ok,1,0.0,0.0,0.0,0.0,0.0,1
QG10,Update / insertion with relationship creation,high_reduction_potential,ok,1,5.0,0.0,5.0,1.0,1.0,1
QG2,Shallow rooted retrieval,high_reduction_potential,needs_review_no_observed_match,1,3.0,0.0,3.0,1.0,1.0,1
QG3,Associative retrieval,high_reduction_potential,needs_review_no_observed_match,1,3.0,0.0,3.0,1.0,1.0,1
QG4,Deep traversal,high_reduction_potential,needs_review_no_observed_match,1,4.0,0.0,4.0,1.0,1.0,1
QG5,Containment retrieval,high_reduction_potential,needs_review_no_observed_match,1,4.0,0.0,4.0,1.0,1.0,1
QG6,Filtered search / recommendation,high_reduction_potential,needs_review_no_observed_match,1,3.0,0.0,3.0,1.0,1.0,1
QG7,Aggregation / ranking,high_reduction_potential,needs_review_no_observed_match,1,6.0,0.0,6.0,1.0,1.0,1
QG8,Aggregation / ranking,high_reduction_potential,needs_review_no_observed_match,1,3.0,0.0,3.0,1.0,1.0,1
QG9,Associative retrieval + comparison,high_reduction_potential,ok,1,5.0,0.0,5.0,1.0,1.0,1
