query_name,generic_class,query_family,query_type,operation_class,is_write_query,entity,modification_category
Q1_CompanyProfileIBM,QG1,Local lookup,select,read,False,Corporation,referenced_existing
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,read,False,Corporation,referenced_existing
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,read,False,Industry,referenced_existing
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,read,False,Country,referenced_existing
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,read,False,ListedSecurity,referenced_existing
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,read,False,FinancialServiceAccount,referenced_existing
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,read,False,Holding,referenced_existing
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,read,False,ListedSecurity,referenced_existing
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,read,False,Security,referenced_existing
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,Person,referenced_existing
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,FinancialServiceAccount,referenced_existing
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,Holding,referenced_existing
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,ListedSecurity,referenced_existing
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,Corporation,referenced_existing
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,Corporation,referenced_existing
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,FinancialReport,referenced_existing
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,ReportElement,referenced_existing
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,StatementElement,referenced_existing
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,Disclosure,referenced_existing
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,read,False,Corporation,referenced_existing
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,read,False,Industry,referenced_existing
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,read,False,Country,referenced_existing
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,read,False,ListedSecurity,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,Person,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,FinancialServiceAccount,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,BuyTransaction,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,SellTransaction,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,Transaction,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,ListedSecurity,referenced_existing
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,Corporation,referenced_existing
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,read,False,Transaction,referenced_existing
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,read,False,SellTransaction,referenced_existing
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,read,False,ListedSecurity,referenced_existing
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,read,False,Corporation,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,Person,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,FinancialServiceAccount,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,BuyTransaction,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,SellTransaction,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,Transaction,referenced_existing
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,ListedSecurity,referenced_existing
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,FinancialServiceAccount,created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Holding,created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,BuyTransaction,created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Transaction,created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,BuyTransaction,explicitly_modified
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,FinancialServiceAccount,explicitly_modified
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Holding,explicitly_modified
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Transaction,explicitly_modified
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Person,referenced_existing
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,ListedSecurity,referenced_existing
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Person,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,FinancialServiceAccount,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Holding,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,ListedSecurity,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,BuyTransaction,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Transaction,relationship_created
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Person,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,FinancialServiceAccount,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Holding,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,ListedSecurity,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,BuyTransaction,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Transaction,affected_persistence_region
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,BuyTransaction,all_write_related
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,FinancialServiceAccount,all_write_related
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Holding,all_write_related
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,ListedSecurity,all_write_related
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Person,all_write_related
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,Transaction,all_write_related
