entity,modification_category,n_queries,queries
BuyTransaction,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
FinancialServiceAccount,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Holding,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
ListedSecurity,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Person,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Transaction,affected_persistence_region,1,['Q10_CreateAccountHoldingAndBuyTransaction']
BuyTransaction,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
FinancialServiceAccount,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Holding,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
ListedSecurity,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Person,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Transaction,all_write_related,1,['Q10_CreateAccountHoldingAndBuyTransaction']
BuyTransaction,created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
FinancialServiceAccount,created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Holding,created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Transaction,created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
BuyTransaction,explicitly_modified,1,['Q10_CreateAccountHoldingAndBuyTransaction']
FinancialServiceAccount,explicitly_modified,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Holding,explicitly_modified,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Transaction,explicitly_modified,1,['Q10_CreateAccountHoldingAndBuyTransaction']
ListedSecurity,referenced_existing,8,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
Corporation,referenced_existing,7,"['Q1_CompanyProfileIBM', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q5_ReportsAndMetricDataOfCompany', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice']"
FinancialServiceAccount,referenced_existing,4,"['Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
Person,referenced_existing,4,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
SellTransaction,referenced_existing,3,"['Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
Transaction,referenced_existing,3,"['Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
BuyTransaction,referenced_existing,2,"['Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q9_PersonsWhoBoughtAndSoldSameStock']"
Country,referenced_existing,2,"['Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue']"
Holding,referenced_existing,2,"['Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity']"
Industry,referenced_existing,2,"['Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue']"
Disclosure,referenced_existing,1,['Q5_ReportsAndMetricDataOfCompany']
FinancialReport,referenced_existing,1,['Q5_ReportsAndMetricDataOfCompany']
ReportElement,referenced_existing,1,['Q5_ReportsAndMetricDataOfCompany']
Security,referenced_existing,1,['Q3_SecuritiesHeldInEachFinancialServiceAccount']
StatementElement,referenced_existing,1,['Q5_ReportsAndMetricDataOfCompany']
BuyTransaction,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
FinancialServiceAccount,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Holding,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
ListedSecurity,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Person,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
Transaction,relationship_created,1,['Q10_CreateAccountHoldingAndBuyTransaction']
