query_name,generic_class,query_family,query_type,operation_class,is_write_query,created_entities,updated_entities,deleted_entities,explicitly_modified_entities,referenced_existing_entities,relationship_created_edges,relationship_created_entities,affected_persistence_region_entities,all_write_related_entities,n_created_entities,n_updated_entities,n_deleted_entities,n_explicitly_modified_entities,n_referenced_existing_entities,n_relationship_created_edges,n_relationship_created_entities,n_affected_persistence_region_entities,n_all_write_related_entities,modification_notes
Q1_CompanyProfileIBM,QG1,Local lookup,select,read,False,[],[],[],[],['Corporation'],[],[],[],[],0,0,0,0,1,0,0,0,0,Read-only local lookup over Corporation.
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,read,False,[],[],[],[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only shallow rooted retrieval.
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,read,False,[],[],[],[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only associative retrieval over accounts and holdings.
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,5,0,0,0,0,Read-only deep traversal from Person to Corporation.
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,read,False,[],[],[],[],"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",[],[],[],[],0,0,0,0,5,0,0,0,0,Read-only containment retrieval over financial reports and metric data.
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,read,False,[],[],[],[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only filtered search / recommendation query.
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,7,0,0,0,0,Read-only aggregation comparing buy and sell activity.
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,read,False,[],[],[],[],"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only aggregation/comparison over IBM transactions.
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",[],[],[],[],0,0,0,0,6,0,0,0,0,Read-only associative retrieval plus comparison.
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,insert_with_relationship_creation,True,"['FinancialServiceAccount', 'Holding', 'BuyTransaction', 'Transaction']",[],[],"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'Transaction']","['Person', 'ListedSecurity']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security', 'account_records_transaction', 'transaction_refers_to_listed_security', 'buy_transaction_is_transaction']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'BuyTransaction', 'Transaction']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'BuyTransaction', 'Transaction']","['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",4,0,0,4,2,6,6,6,6,"Insertion query. It creates a financial service account, a holding, and a buy transaction, while linking them to an existing person and listed security."
