query_name,generic_class,query_family,query_type,entity,entity_role_in_query,update_volatility_score,update_volatility_level,has_update_volatility
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,touched_entity,0.0,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,touched_entity,0.0,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Industry,touched_entity,0.0,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Country,touched_entity,0.0,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,ListedSecurity,touched_entity,0.6599999999999999,high,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,touched_entity,1.0,high,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Holding,touched_entity,1.0,high,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,ListedSecurity,touched_entity,0.6599999999999999,high,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Security,touched_entity,0.0,none,False
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,touched_entity,0.6599999999999999,high,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,FinancialServiceAccount,touched_entity,1.0,high,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Holding,touched_entity,1.0,high,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,ListedSecurity,touched_entity,0.6599999999999999,high,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Corporation,touched_entity,0.0,none,False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,touched_entity,0.0,none,False
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,FinancialReport,touched_entity,0.0,none,False
