query_name,generic_class,query_family,query_type,entities_touched,n_entities_touched,operation_class,is_write_query,created_entities,referenced_existing_entities,all_write_related_entities,n_all_write_related_entities,n_touched_entities_for_volatility,n_touched_entities_with_update_volatility,sum_touched_update_volatility,avg_touched_update_volatility,max_touched_update_volatility,touched_entities_with_update_volatility,n_write_related_entities_for_volatility,n_write_related_entities_with_update_volatility,sum_write_related_update_volatility,avg_write_related_update_volatility,max_write_related_update_volatility,write_related_entities_with_update_volatility,query_update_volatility_score,query_update_volatility_level,has_query_update_volatility
Q1_CompanyProfileIBM,QG1,Local lookup,select,['Corporation'],1,read,False,[],['Corporation'],[],0,1,0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,read,False,[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],0,4,1,0.6599999999999999,0.16499999999999998,0.6599999999999999,['ListedSecurity'],0.0,0.0,0.0,0.0,0.0,[],0.36299999999999993,medium,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,read,False,[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",[],0,4,3,2.66,0.665,1.0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity']",0.0,0.0,0.0,0.0,0.0,[],0.799,high,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,read,False,[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",[],0,5,4,3.32,0.6639999999999999,1.0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",0.0,0.0,0.0,0.0,0.0,[],0.7984,high,True
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,read,False,[],"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",[],0,5,0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,none,False
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,read,False,[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],0,4,1,0.6599999999999999,0.16499999999999998,0.6599999999999999,['ListedSecurity'],0.0,0.0,0.0,0.0,0.0,[],0.36299999999999993,medium,True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,read,False,[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",[],0,7,5,4.32,0.6171428571428572,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],0.7702857142857144,high,True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,read,False,[],"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",[],0,4,2,1.66,0.415,1.0,"['ListedSecurity', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],0.649,high,True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,read,False,[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",[],0,6,5,4.32,0.7200000000000001,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],0.8320000000000001,high,True
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,insert_with_relationship_creation,True,"['FinancialServiceAccount', 'Holding', 'BuyTransaction', 'Transaction']","['Person', 'ListedSecurity']","['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",6,6,6,5.32,0.8866666666666667,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",6.0,6.0,5.32,0.8866666666666667,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",0.932,high,True
