query_name,generic_class,query_family,query_type,abstract_query,selected_root,document_depth,selected_document_depth,best_document_depth,max_depth_for_query,document_depth_ratio,depth_position_label,depth_effect_label,Rc,Re,DeltaR,DeltaRratio,relationship_reduction_potential,relationship_reduction_strength,document_potential_class,is_full_coverage,best_depth_is_full_coverage,n_reachable_entities,reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,covered_relationships,remaining_relationships,covered_semantic_types,remaining_semantic_types,entities_touched,n_entities_touched,semantic_types_touched,observed_cardinalities_touched,hint_confidences_touched,has_low_confidence_mapping,has_no_match_cardinality,physical_mapping_reliability,compact_matrix_status,n_unreachable_entities,n_unique_edges,n_relationship_edges,n_semantic_types,n_low_confidence_edges,n_medium_confidence_edges,n_high_confidence_edges,n_no_match_edges,touches_association,touches_containment,touches_descriptor,touches_ownership,touches_subtype,n_association_edges,n_containment_edges,n_descriptor_edges,n_ownership_edges,n_subtype_edges,selection_strategy,selection_reason,selected_root_is_candidate,selected_root_is_touched,max_entity_distance_D,min_entity_distance_D,avg_entity_distance_D,max_entity_depth,max_edge_depth,relationship_status,relationship_names_touched,has_relationship_reduction_potential,has_full_coverage_at_best_depth,operation_class,is_write_query,created_entities,updated_entities,deleted_entities,explicitly_modified_entities,referenced_existing_entities,relationship_created_edges,relationship_created_entities,affected_persistence_region_entities,all_write_related_entities,n_created_entities,n_updated_entities,n_deleted_entities,n_explicitly_modified_entities,n_referenced_existing_entities,n_relationship_created_edges,n_relationship_created_entities,n_affected_persistence_region_entities,n_all_write_related_entities,modification_notes,query_update_volatility_score,query_update_volatility_level,has_query_update_volatility,n_touched_entities_for_volatility,n_touched_entities_with_update_volatility,sum_touched_update_volatility,avg_touched_update_volatility,max_touched_update_volatility,touched_entities_with_update_volatility,n_write_related_entities_for_volatility,n_write_related_entities_with_update_volatility,sum_write_related_update_volatility,avg_write_related_update_volatility,max_write_related_update_volatility,write_related_entities_with_update_volatility,update_embedding_tradeoff_class,update_volatility_presence
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"Create a financial service account for a person, add a holding for a listed security, and register a buy transaction with price and quantity.",Person,3,3,3,3,1.0,maximum_depth,full_reduction,5,0,5,1.0,True,1.0,high_reduction_potential,True,True,6,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",5,5,0,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']",6,"['association', 'containment', 'ownership', 'subtype']","['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,False,ok,assembled,0,5,5,4,0.0,1.0,4.0,0.0,True,True,False,True,True,1,2,0,1,1,update_owner,"The insertion creates a financial service account, holding, and buy transaction associated with a person.",True,True,3,0,1.8333333333333333,3,3,has_relationship_edges,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",True,True,insert_with_relationship_creation,True,"['FinancialServiceAccount', 'Holding', 'BuyTransaction', 'Transaction']",[],[],"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'Transaction']","['Person', 'ListedSecurity']","['person_owns_financial_service_account', 'account_has_holding', 'holding_refers_to_listed_security', 'account_records_transaction', 'transaction_refers_to_listed_security', 'buy_transaction_is_transaction']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'BuyTransaction', 'Transaction']","['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'BuyTransaction', 'Transaction']","['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",4,0,0,4,2,6,6,6,6,"Insertion query. It creates a financial service account, a holding, and a buy transaction, while linking them to an existing person and listed security.",0.932,high,True,6,6,5.32,0.8866666666666667,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",6.0,6.0,5.32,0.8866666666666667,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",high_read_gain_high_update_pressure,has_update_volatility
Q1_CompanyProfileIBM,QG1,Local lookup,select,Show the profile of company IBM.,Corporation,0,0,0,0,0.0,single_entity_or_depth_zero,no_relationships_to_reduce,0,0,0,0.0,False,0.0,no_relationship_traversal,True,True,1,['Corporation'],0,0,0,[],[],[],[],['Corporation'],1,[],[],[],False,False,ok,assembled,0,0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0,0,0,query_subject,"The query is a local lookup over the profile of one company, represented as Corporation in the conceptual schema.",True,True,0,0,0.0,0,0,no_relationship_edges,[],False,True,read,False,[],[],[],[],['Corporation'],[],[],[],[],0,0,0,0,1,0,0,0,0,Read-only local lookup over Corporation.,0.0,none,False,1,0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,[],no_update_pressure,no_update_volatility
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"Show IBM with its industry, country, and listed securities.",Corporation,1,1,1,1,1.0,maximum_depth,full_reduction,3,0,3,1.0,True,1.0,high_reduction_potential,True,True,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,"['association', 'descriptor']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,3,3,2,0.0,1.0,2.0,1.0,True,False,True,False,False,1,0,2,0,0,query_subject,The query starts from IBM and retrieves directly related descriptor and listed-security information.,True,True,1,0,0.75,1,1,has_relationship_edges,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",True,True,read,False,[],[],[],[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only shallow rooted retrieval.,0.36299999999999993,medium,True,4,1,0.6599999999999999,0.16499999999999998,0.6599999999999999,['ListedSecurity'],0.0,0.0,0.0,0.0,0.0,[],high_read_gain_manageable_update_pressure,has_update_volatility
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Show the securities held in each financial service account.,FinancialServiceAccount,3,3,3,3,1.0,maximum_depth,full_reduction,3,0,3,1.0,True,1.0,high_reduction_potential,True,True,4,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",3,3,0,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",[],"['association', 'containment']",[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",4,"['association', 'containment']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,3,3,2,0.0,1.0,2.0,1.0,True,True,False,False,False,2,1,0,0,0,container_entity,"The query asks for securities held inside each financial service account, so the account is the natural container root.",True,True,3,0,1.5,3,3,has_relationship_edges,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']",True,True,read,False,[],[],[],[],"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only associative retrieval over accounts and holdings.,0.799,high,True,4,3,2.66,0.665,1.0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity']",0.0,0.0,0.0,0.0,0.0,[],high_read_gain_high_update_pressure,has_update_volatility
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"Show the companies reached from a person through account, holding, and listed security.",Person,4,4,4,4,1.0,maximum_depth,full_reduction,4,0,4,1.0,True,1.0,high_reduction_potential,True,True,5,"['Corporation', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",4,4,0,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership']",[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",5,"['association', 'containment', 'ownership']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,4,4,3,0.0,1.0,3.0,1.0,True,True,False,True,False,2,1,0,1,0,traversal_start,"The query starts from a person and traverses account, holding, and listed security to reach companies.",True,True,4,0,2.0,4,4,has_relationship_edges,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",True,True,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,5,0,0,0,0,Read-only deep traversal from Person to Corporation.,0.7984,high,True,5,4,3.32,0.6639999999999999,1.0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",0.0,0.0,0.0,0.0,0.0,[],high_read_gain_high_update_pressure,has_update_volatility
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Show the financial reports of a company and the metric data contained in each report.,Corporation,3,3,3,3,1.0,maximum_depth,full_reduction,4,0,4,1.0,True,1.0,high_reduction_potential,True,True,5,"['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",4,4,0,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",[],['containment'],[],"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",5,['containment'],"['no_observed_matches', 'observed_N_to_M']","['high', 'low']",True,True,needs_review_no_observed_match,assembled,0,4,4,1,2.0,0.0,2.0,2.0,False,True,False,False,False,0,4,0,0,0,query_subject,The query starts from a company and retrieves its financial reports and contained metric data.,True,True,3,0,1.6,3,3,has_relationship_edges,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']",True,True,read,False,[],[],[],[],"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']",[],[],[],[],0,0,0,0,5,0,0,0,0,Read-only containment retrieval over financial reports and metric data.,0.0,none,False,5,0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,[],no_update_pressure,no_update_volatility
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Find listed securities of technology companies in the US with high last traded value.,ListedSecurity,2,2,2,2,1.0,maximum_depth,full_reduction,3,0,3,1.0,True,1.0,high_reduction_potential,True,True,4,"['Corporation', 'Country', 'Industry', 'ListedSecurity']",3,3,0,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",[],"['association', 'descriptor']",[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",4,"['association', 'descriptor']","['no_observed_matches', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,3,3,2,0.0,1.0,2.0,1.0,True,False,True,False,False,1,0,2,0,0,result_entity,"The query returns listed securities filtered by company industry, country, and traded-value predicates.",True,True,2,0,1.25,2,2,has_relationship_edges,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']",True,True,read,False,[],[],[],[],"['Corporation', 'Industry', 'Country', 'ListedSecurity']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only filtered search / recommendation query.,0.36299999999999993,medium,True,4,1,0.6599999999999999,0.16499999999999998,0.6599999999999999,['ListedSecurity'],0.0,0.0,0.0,0.0,0.0,[],high_read_gain_manageable_update_pressure,has_update_volatility
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Who bought more IBM stocks than they sold?,Person,4,4,4,4,1.0,maximum_depth,full_reduction,6,0,6,1.0,True,1.0,high_reduction_potential,True,True,7,"['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",6,7,0,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",7,"['association', 'containment', 'ownership', 'subtype']","['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,7,6,4,0.0,3.0,3.0,1.0,True,True,False,True,True,2,1,0,1,2,result_entity,The query returns persons after aggregating buy and sell activity for IBM stock.,True,True,4,0,2.2857142857142856,4,4,has_relationship_edges,"['account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",True,True,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,7,0,0,0,0,Read-only aggregation comparing buy and sell activity.,0.7702857142857144,high,True,7,5,4.32,0.6171428571428572,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],high_read_gain_high_update_pressure,has_update_volatility
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Show me each transaction for IBM whose price is less than the average selling price.,Transaction,2,2,2,2,1.0,maximum_depth,full_reduction,3,0,3,1.0,True,1.0,high_reduction_potential,True,True,4,"['Corporation', 'ListedSecurity', 'SellTransaction', 'Transaction']",3,3,0,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",[],"['association', 'subtype']",[],"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",4,"['association', 'subtype']","['no_observed_matches', 'observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,True,needs_review_no_observed_match,assembled,0,3,3,2,0.0,2.0,1.0,1.0,True,False,False,False,True,2,0,0,0,1,result_entity,The query returns transactions for IBM whose price is below the average selling price.,True,True,2,0,1.0,2,2,has_relationship_edges,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",True,True,read,False,[],[],[],[],"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']",[],[],[],[],0,0,0,0,4,0,0,0,0,Read-only aggregation/comparison over IBM transactions.,0.649,high,True,4,2,1.66,0.415,1.0,"['ListedSecurity', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],high_read_gain_high_update_pressure,has_update_volatility
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Show me everyone who bought and sold the same stock.,Person,3,3,3,3,1.0,maximum_depth,full_reduction,5,0,5,1.0,True,1.0,high_reduction_potential,True,True,6,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",5,6,0,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",6,"['association', 'containment', 'ownership', 'subtype']","['observed_1_to_1', 'observed_N_to_M']","['high', 'medium']",False,False,ok,assembled,0,6,5,4,0.0,2.0,3.0,0.0,True,True,False,True,True,1,1,0,1,2,result_entity,The query returns persons who bought and sold the same stock.,True,True,3,0,2.0,3,3,has_relationship_edges,"['account_records_transaction', 'buy_transaction_is_transaction', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",True,True,read,False,[],[],[],[],"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']",[],[],[],[],0,0,0,0,6,0,0,0,0,Read-only associative retrieval plus comparison.,0.8320000000000001,high,True,6,5,4.32,0.7200000000000001,1.0,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'Transaction']",0.0,0.0,0.0,0.0,0.0,[],high_read_gain_high_update_pressure,has_update_volatility
