query_name,generic_class,query_family,edge_position,edge_id,relationship_name,source_entity,target_entity,semantic_type,observed_sharedness_score,observed_sharedness_level,target_sharedness_ratio,duplicate_reference_pressure,avg_sources_per_target,max_sources_per_target,hint_confidence,sharedness_status
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,Corporation,Industry,descriptor,0.2537865748709122,medium,0.0,0.8459552495697074,1.0,1.0,high,computed
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,2,Corporation -- Country [corporation_has_country],corporation_has_country,Corporation,Country,descriptor,0.2974182444061962,medium,0.0,0.9913941480206541,1.0,1.0,high,computed
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,0.0,none,0.0,0.0,,,medium,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,1,ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,ListedSecurity,Security,association,0.0,none,0.0,0.0,,,medium,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,0.2453325,low,0.0,0.817775,1.0,1.0,high,computed
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,0.0,none,0.0,0.0,,,medium,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,0.14579006888043589,low,0.0,0.4859668962681197,1.0,1.0,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,3,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,0.2453325,low,0.0,0.817775,1.0,1.0,high,computed
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,4,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,1,Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,Corporation,FinancialReport,containment,0.28556551624189974,medium,0.0,0.9518850541396658,1.0,1.0,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,2,FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,FinancialReport,ReportElement,containment,0.29462099999999997,medium,0.0,0.98207,1.0,1.0,high,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,3,ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,ReportElement,StatementElement,containment,0.0,none,0.0,0.0,,,low,computed
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,4,FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,FinancialReport,Disclosure,containment,0.0,none,0.0,0.0,,,low,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,1,Corporation -- Industry [corporation_has_industry],corporation_has_industry,Corporation,Industry,descriptor,0.2537865748709122,medium,0.0,0.8459552495697074,1.0,1.0,high,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,2,Corporation -- Country [corporation_has_country],corporation_has_country,Corporation,Country,descriptor,0.2974182444061962,medium,0.0,0.9913941480206541,1.0,1.0,high,computed
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,3,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,0.0,none,0.0,0.0,,,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,0.0,none,0.0,0.0,,,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,2,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,0.14579006888043589,low,0.0,0.4859668962681197,1.0,1.0,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,3,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,0.172743,low,0.0,0.57581,1.0,1.0,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,4,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,5,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,0.0,none,0.0,0.0,1.0,1.0,medium,computed
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,6,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,0.0,none,0.0,0.0,1.0,1.0,medium,computed
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,1,Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,0.0,none,0.0,0.0,,,medium,computed
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,2,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,3,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,0.0,none,0.0,0.0,1.0,1.0,medium,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,0.14579006888043589,low,0.0,0.4859668962681197,1.0,1.0,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,2,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,0.172743,low,0.0,0.57581,1.0,1.0,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,3,Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,4,BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,0.0,none,0.0,0.0,1.0,1.0,medium,computed
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,5,SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,0.0,none,0.0,0.0,1.0,1.0,medium,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,1,Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,0.14579006888043589,low,0.0,0.4859668962681197,1.0,1.0,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,2,FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,0.2453325,low,0.0,0.817775,1.0,1.0,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,3,Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,0.2958825,medium,0.0,0.986275,1.0,1.0,high,computed
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,4,FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,0.172743,low,0.0,0.57581,1.0,1.0,high,computed
