query_name,avg_observed_sharedness_score,max_observed_sharedness_score,sum_observed_sharedness_score,n_edges_with_sharedness,n_high_sharedness_edges,shared_relationships,shared_target_entities,observed_sharedness_levels,query_observed_sharedness_level,has_observed_sharedness
Q10_CreateAccountHoldingAndBuyTransaction,0.17194961377608717,0.2958825,0.8597480688804359,4.0,0.0,"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']","['low', 'medium', 'none']",medium,True
Q1_CompanyProfileIBM,0.0,0.0,0.0,0.0,0.0,[],[],[],none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,0.18373493975903613,0.2974182444061962,0.5512048192771084,2.0,0.0,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Country', 'Industry', 'ListedSecurity']","['medium', 'none']",medium,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,0.180405,0.2958825,0.541215,2.0,0.0,"['account_has_holding', 'holding_refers_to_listed_security', 'listed_security_represents_security']","['Holding', 'ListedSecurity', 'Security']","['low', 'medium', 'none']",medium,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,0.17175126722010897,0.2958825,0.6870050688804359,3.0,0.0,"['account_has_holding', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']","['FinancialServiceAccount', 'Holding', 'ListedSecurity']","['low', 'medium', 'none']",medium,True
Q5_ReportsAndMetricDataOfCompany,0.14504662906047494,0.29462099999999997,0.5801865162418998,2.0,0.0,"['corporation_has_financial_report', 'financial_report_contains_disclosure', 'financial_report_contains_report_element', 'report_element_has_statement_element']","['Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']","['medium', 'none']",medium,True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,0.18373493975903613,0.2974182444061962,0.5512048192771084,2.0,0.0,"['corporation_has_country', 'corporation_has_industry', 'corporation_has_listed_security']","['Country', 'Industry', 'ListedSecurity']","['medium', 'none']",medium,True
Q7_PersonsWhoBoughtMoreIBMThanSold,0.10240259481340598,0.2958825,0.6144155688804359,3.0,0.0,"['account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['FinancialServiceAccount', 'ListedSecurity', 'Transaction']","['low', 'medium', 'none']",medium,True
Q8_IBMTransactionsBelowAverageSellingPrice,0.09862749999999999,0.2958825,0.2958825,1.0,0.0,"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['ListedSecurity', 'Transaction']","['medium', 'none']",medium,True
Q9_PersonsWhoBoughtAndSoldSameStock,0.12288311377608718,0.2958825,0.6144155688804359,3.0,0.0,"['account_records_transaction', 'buy_transaction_is_transaction', 'person_owns_financial_service_account', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']","['FinancialServiceAccount', 'ListedSecurity', 'Transaction']","['low', 'medium', 'none']",medium,True
