edge_id,relationship_name,source_entity,target_entity,semantic_type,hint_type,source_view,target_view,bridge_view,source_column,target_column,bridge_source_column,bridge_target_column,hint_confidence,sharedness_status,row_limit,joined_rows,joined_distinct_source_keys,joined_distinct_target_keys,target_keys_in_join,target_keys_shared_by_multiple_sources,avg_sources_per_target,max_sources_per_target,source_keys_in_join,source_keys_with_multiple_targets,avg_targets_per_source,max_targets_per_source,target_sharedness_ratio,duplicate_reference_pressure,observed_sharedness_score,observed_sharedness_level,notes
Corporation -- Industry [corporation_has_industry],corporation_has_industry,Corporation,Industry,descriptor,direct,fiben_corporations,fiben_industries,,ISCLASSIFIEDBY,INDUSTRYSECTORCLASSIFIERID,,,high,computed,200000,2324.0,358.0,358.0,358.0,0.0,1.0,1.0,358.0,0.0,1.0,1.0,0.0,0.8459552495697074,0.2537865748709122,medium,Corporation points to IndustrySectorClassifier through ISCLASSIFIEDBY.
Corporation -- Country [corporation_has_country],corporation_has_country,Corporation,Country,descriptor,direct,fiben_corporations,fiben_countries,,ISDOMICILEDIN,COUNTRYID,,,high,computed,200000,2324.0,20.0,20.0,20.0,0.0,1.0,1.0,20.0,0.0,1.0,1.0,0.0,0.9913941480206541,0.2974182444061962,medium,Corporation points to Country through ISDOMICILEDIN.
Corporation -- ListedSecurity [corporation_has_listed_security],corporation_has_listed_security,Corporation,ListedSecurity,association,bridge,fiben_corporations,fiben_listed_securities,fiben_securities,CORPORATIONID,LISTEDSECURITYID,ISPROVIDEDBY,ISTRADEDON,medium,computed,200000,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,none,Derived path Corporation -> Security -> ListedSecurity.
ListedSecurity -- Security [listed_security_represents_security],listed_security_represents_security,ListedSecurity,Security,association,direct,fiben_listed_securities,fiben_securities,,LISTEDSECURITYID,ISTRADEDON,,,medium,computed,200000,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,none,Security appears to point to ListedSecurity through ISTRADEDON.
Person -- FinancialServiceAccount [person_owns_financial_service_account],person_owns_financial_service_account,Person,FinancialServiceAccount,ownership,direct,fiben_persons,fiben_financial_service_accounts,,PERSONID,ISOWNEDBY,,,high,computed,200000,97270.0,50000.0,50000.0,50000.0,0.0,1.0,1.0,50000.0,0.0,1.0,1.0,0.0,0.4859668962681197,0.14579006888043589,low,FinancialServiceAccount points to Person through ISOWNEDBY.
FinancialServiceAccount -- Holding [account_has_holding],account_has_holding,FinancialServiceAccount,Holding,containment,direct,fiben_financial_service_accounts,fiben_holdings,,FINANCIALSERVICEACCOUNTID,ISHELDBY,,,high,computed,200000,200000.0,36445.0,36445.0,36445.0,0.0,1.0,1.0,36445.0,0.0,1.0,1.0,0.0,0.817775,0.2453325,low,Holding points to FinancialServiceAccount through ISHELDBY.
Holding -- ListedSecurity [holding_refers_to_listed_security],holding_refers_to_listed_security,Holding,ListedSecurity,association,direct,fiben_holdings,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,high,computed,200000,200000.0,2745.0,2745.0,2745.0,0.0,1.0,1.0,2745.0,0.0,1.0,1.0,0.0,0.986275,0.2958825,medium,Holding points to ListedSecurity through REFERSTO.
FinancialServiceAccount -- Transaction [account_records_transaction],account_records_transaction,FinancialServiceAccount,Transaction,containment,direct,fiben_financial_service_accounts,fiben_transactions,,FINANCIALSERVICEACCOUNTID,ISFACILITATEDBY,,,high,computed,200000,200000.0,84838.0,84838.0,84838.0,0.0,1.0,1.0,84838.0,0.0,1.0,1.0,0.0,0.57581,0.172743,low,SecuritiesTransaction points to FinancialServiceAccount through ISFACILITATEDBY.
Transaction -- ListedSecurity [transaction_refers_to_listed_security],transaction_refers_to_listed_security,Transaction,ListedSecurity,association,direct,fiben_transactions,fiben_listed_securities,,REFERSTO,LISTEDSECURITYID,,,high,computed,200000,200000.0,2745.0,2745.0,2745.0,0.0,1.0,1.0,2745.0,0.0,1.0,1.0,0.0,0.986275,0.2958825,medium,SecuritiesTransaction points to ListedSecurity through REFERSTO.
BuyTransaction -- Transaction [buy_transaction_is_transaction],buy_transaction_is_transaction,BuyTransaction,Transaction,subtype,subtype_alias,fiben_buy_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,medium,computed,200000,200000.0,200000.0,200000.0,200000.0,0.0,1.0,1.0,200000.0,0.0,1.0,1.0,0.0,0.0,0.0,none,BuyTransaction is currently a conceptual alias over SecuritiesTransaction.
SellTransaction -- Transaction [sell_transaction_is_transaction],sell_transaction_is_transaction,SellTransaction,Transaction,subtype,subtype_alias,fiben_sell_transactions,fiben_transactions,,SECURITIESTRANSACTIONID,SECURITIESTRANSACTIONID,,,medium,computed,200000,200000.0,200000.0,200000.0,200000.0,0.0,1.0,1.0,200000.0,0.0,1.0,1.0,0.0,0.0,0.0,none,SellTransaction is currently a conceptual alias over SecuritiesTransaction.
Corporation -- FinancialReport [corporation_has_financial_report],corporation_has_financial_report,Corporation,FinancialReport,containment,direct,fiben_corporations,fiben_reports,,CORPORATIONID,ISPROVIDEDBY,,,high,computed,200000,48301.0,2324.0,2324.0,2324.0,0.0,1.0,1.0,2324.0,0.0,1.0,1.0,0.0,0.9518850541396658,0.28556551624189974,medium,FinancialReport points to Corporation through ISPROVIDEDBY.
FinancialReport -- ReportElement [financial_report_contains_report_element],financial_report_contains_report_element,FinancialReport,ReportElement,containment,direct,fiben_reports,fiben_report_elements,,FINANCIALREPORTID,ISMEMBEROF,,,high,computed,200000,200000.0,3586.0,3586.0,3586.0,0.0,1.0,1.0,3586.0,0.0,1.0,1.0,0.0,0.98207,0.29462099999999997,medium,ReportElement points to FinancialReport through ISMEMBEROF.
ReportElement -- StatementElement [report_element_has_statement_element],report_element_has_statement_element,ReportElement,StatementElement,containment,direct,fiben_report_elements,fiben_statement_elements,,ELEMENTSOFFINANCIALREPORTID,ELEMENTOFFINANCIALSTATEMENTID,,,low,computed,200000,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,none,Tentative mapping. Needs validation with observed matches.
FinancialReport -- Disclosure [financial_report_contains_disclosure],financial_report_contains_disclosure,FinancialReport,Disclosure,containment,direct,fiben_reports,fiben_disclosures,,HASUNIQUEIDENTIFIER,HASUNIQUEIDENTIFIER,,,low,computed,200000,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,none,Tentative mapping because Disclosure has no obvious report foreign key.
