generic_class,query_family,n_queries,avg_Rc,avg_Re,avg_DeltaRratio,avg_update_volatility,avg_sharedness,n_high_read_gain,n_high_update_pressure,n_high_sharedness_pressure
QG1,Local lookup,1,0.0,0.0,0.0,0.0,0.0,0,0,0
QG10,Update / insertion with relationship creation,1,5.0,0.0,1.0,0.932,0.2958825,1,1,0
QG2,Shallow rooted retrieval,1,3.0,0.0,1.0,0.36299999999999993,0.2974182444061962,1,0,0
QG3,Associative retrieval,1,3.0,0.0,1.0,0.799,0.2958825,1,1,0
QG4,Deep traversal,1,4.0,0.0,1.0,0.7984,0.2958825,1,1,0
QG5,Containment retrieval,1,4.0,0.0,1.0,0.0,0.29462099999999997,1,0,0
QG6,Filtered search / recommendation,1,3.0,0.0,1.0,0.36299999999999993,0.2974182444061962,1,0,0
QG7,Aggregation / ranking,1,6.0,0.0,1.0,0.7702857142857144,0.2958825,1,1,0
QG8,Aggregation / ranking,1,3.0,0.0,1.0,0.649,0.2958825,1,1,0
QG9,Associative retrieval + comparison,1,5.0,0.0,1.0,0.8320000000000001,0.2958825,1,1,0
