query_name,generic_class,query_family,query_type,abstract_query,selected_root,document_depth,selected_document_depth,max_depth_for_query,document_depth_ratio,Rc,Re,DeltaR,DeltaRratio,activation_has_relationship_traversal,activation_has_read_reduction,activation_full_relationship_reduction,activation_high_read_gain,activation_medium_or_high_read_gain,activation_has_remaining_external_edges,n_entities_touched,n_reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,entities_touched,reachable_entities,touches_descriptor,touches_association,touches_ownership,touches_containment,touches_subtype,n_descriptor_edges,n_association_edges,n_ownership_edges,n_containment_edges,n_subtype_edges,semantic_types_touched,covered_semantic_types,remaining_semantic_types,is_write_query,query_update_volatility_score,query_update_volatility_level,has_query_update_volatility,activation_has_update_pressure,activation_high_update_pressure,activation_update_pressure_level,avg_observed_sharedness_score,max_observed_sharedness_score,query_observed_sharedness_level,has_observed_sharedness,activation_has_sharedness_pressure,activation_high_sharedness_pressure,activation_sharedness_pressure_level,shared_target_entities,document_potential_class,physical_mapping_reliability,update_embedding_tradeoff_class,sharedness_embedding_tradeoff_class,combined_document_design_risk_class,activation_read_gain_level,activation_has_mapping_warning
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,"Create a financial service account for a person, add a holding for a listed security, and register a buy transaction with price and quantity.",Person,3.0,3.0,3.0,1.0,5.0,0.0,5.0,1.0,True,True,True,True,True,False,6.0,6.0,5.0,5.0,0.0,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction', 'BuyTransaction']","['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",False,True,True,True,True,0,1,1,2,1,"['association', 'containment', 'ownership', 'subtype']","['association', 'containment', 'ownership', 'subtype']",[],True,0.932,high,True,True,True,high,0.17194961377608717,0.2958825,medium,True,True,False,medium,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Transaction']",high_reduction_potential,ok,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,False
Q1_CompanyProfileIBM,QG1,Local lookup,select,Show the profile of company IBM.,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,1.0,1.0,0.0,0.0,0.0,['Corporation'],['Corporation'],False,False,False,False,False,0,0,0,0,0,[],[],[],False,0.0,none,False,False,False,none,0.0,0.0,none,False,False,False,none,[],no_relationship_traversal,ok,no_update_pressure,no_sharedness_pressure,low_overall_design_pressure,none,False
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,"Show IBM with its industry, country, and listed securities.",Corporation,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,True,True,True,True,True,False,4.0,4.0,3.0,3.0,0.0,"['Corporation', 'Industry', 'Country', 'ListedSecurity']","['Corporation', 'Country', 'Industry', 'ListedSecurity']",True,True,False,False,False,2,1,0,0,0,"['association', 'descriptor']","['association', 'descriptor']",[],False,0.36299999999999993,medium,True,True,False,medium,0.18373493975903613,0.2974182444061962,medium,True,True,False,medium,"['Country', 'Industry', 'ListedSecurity']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_manageable_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_low_maintenance_pressure,full,True
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,Show the securities held in each financial service account.,FinancialServiceAccount,3.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,True,True,True,True,True,False,4.0,4.0,3.0,3.0,0.0,"['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']","['FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Security']",False,True,False,True,False,0,2,0,1,0,"['association', 'containment']","['association', 'containment']",[],False,0.799,high,True,True,True,high,0.180405,0.2958825,medium,True,True,False,medium,"['Holding', 'ListedSecurity', 'Security']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,True
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,"Show the companies reached from a person through account, holding, and listed security.",Person,4.0,4.0,4.0,1.0,4.0,0.0,4.0,1.0,True,True,True,True,True,False,5.0,5.0,4.0,4.0,0.0,"['Person', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Corporation']","['Corporation', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person']",False,True,True,True,False,0,2,1,1,0,"['association', 'containment', 'ownership']","['association', 'containment', 'ownership']",[],False,0.7984,high,True,True,True,high,0.17175126722010897,0.2958825,medium,True,True,False,medium,"['FinancialServiceAccount', 'Holding', 'ListedSecurity']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,True
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Show the financial reports of a company and the metric data contained in each report.,Corporation,3.0,3.0,3.0,1.0,4.0,0.0,4.0,1.0,True,True,True,True,True,False,5.0,5.0,4.0,4.0,0.0,"['Corporation', 'FinancialReport', 'ReportElement', 'StatementElement', 'Disclosure']","['Corporation', 'Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",False,False,False,True,False,0,0,0,4,0,['containment'],['containment'],[],False,0.0,none,False,False,False,none,0.14504662906047494,0.29462099999999997,medium,True,True,False,medium,"['Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']",high_reduction_potential,needs_review_no_observed_match,no_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_low_maintenance_pressure,full,True
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,Find listed securities of technology companies in the US with high last traded value.,ListedSecurity,2.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,True,True,True,True,True,False,4.0,4.0,3.0,3.0,0.0,"['Corporation', 'Industry', 'Country', 'ListedSecurity']","['Corporation', 'Country', 'Industry', 'ListedSecurity']",True,True,False,False,False,2,1,0,0,0,"['association', 'descriptor']","['association', 'descriptor']",[],False,0.36299999999999993,medium,True,True,False,medium,0.18373493975903613,0.2974182444061962,medium,True,True,False,medium,"['Country', 'Industry', 'ListedSecurity']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_manageable_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_low_maintenance_pressure,full,True
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Who bought more IBM stocks than they sold?,Person,4.0,4.0,4.0,1.0,6.0,0.0,6.0,1.0,True,True,True,True,True,False,7.0,7.0,6.0,7.0,0.0,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity', 'Corporation']","['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",False,True,True,True,True,0,2,1,1,2,"['association', 'containment', 'ownership', 'subtype']","['association', 'containment', 'ownership', 'subtype']",[],False,0.7702857142857144,high,True,True,True,high,0.10240259481340598,0.2958825,medium,True,True,False,medium,"['FinancialServiceAccount', 'ListedSecurity', 'Transaction']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Show me each transaction for IBM whose price is less than the average selling price.,Transaction,2.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,True,True,True,True,True,False,4.0,4.0,3.0,3.0,0.0,"['Transaction', 'SellTransaction', 'ListedSecurity', 'Corporation']","['Corporation', 'ListedSecurity', 'SellTransaction', 'Transaction']",False,True,False,False,True,0,2,0,0,1,"['association', 'subtype']","['association', 'subtype']",[],False,0.649,high,True,True,True,high,0.09862749999999999,0.2958825,medium,True,True,False,medium,"['ListedSecurity', 'Transaction']",high_reduction_potential,needs_review_no_observed_match,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Show me everyone who bought and sold the same stock.,Person,3.0,3.0,3.0,1.0,5.0,0.0,5.0,1.0,True,True,True,True,True,False,6.0,6.0,5.0,6.0,0.0,"['Person', 'FinancialServiceAccount', 'BuyTransaction', 'SellTransaction', 'Transaction', 'ListedSecurity']","['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",False,True,True,True,True,0,1,1,1,2,"['association', 'containment', 'ownership', 'subtype']","['association', 'containment', 'ownership', 'subtype']",[],False,0.8320000000000001,high,True,True,True,high,0.12288311377608718,0.2958825,medium,True,True,False,medium,"['FinancialServiceAccount', 'ListedSecurity', 'Transaction']",high_reduction_potential,ok,high_read_gain_high_update_pressure,high_read_gain_manageable_sharedness,strong_read_candidate_high_update_pressure,full,False
