g_class,design_pattern,benchmark_priority,n_candidates,queries,avg_embedded_entities,avg_referenced_entities,avg_DeltaRratio,avg_update_volatility,avg_sharedness
CONTROL,normalized_reference_baseline,control,10,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q1_CompanyProfileIBM', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q5_ReportsAndMetricDataOfCompany', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']",0.0,3.6,0.9,0.5506685714285714,0.26647524888123925
G0,root_only_collection,control,1,['Q1_CompanyProfileIBM'],0.0,0.0,0.0,0.0,0.0
G1,embedded_descriptors,primary,2,"['Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue']",2.0,0.0,1.0,0.36299999999999993,0.2974182444061962
G2,embedded_containment,primary,6,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q5_ReportsAndMetricDataOfCompany', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q9_PersonsWhoBoughtAndSoldSameStock']",2.0,0.0,1.0,0.6886142857142857,0.29567224999999997
G3,association_references,primary,8,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']",0.0,2.125,1.0,0.6883357142857143,0.296266436101549
G4,deep_nested_document,primary,6,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q5_ReportsAndMetricDataOfCompany', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q9_PersonsWhoBoughtAndSoldSameStock']",4.5,0.0,1.0,0.6886142857142857,0.29567224999999997
G5,shared_target_reference_strategy,primary,8,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']",1.25,3.0,1.0,0.6883357142857143,0.296266436101549
G6,aggregation_materialized_collection,primary,2,"['Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice']",0.0,0.0,1.0,0.7096428571428572,0.2958825
G7,update_aware_reference_design,secondary_affected,8,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']",1.5,3.375,1.0,0.6883357142857143,0.296266436101549
G9,benchmark_tradeoff_alternative,secondary_affected,9,"['Q10_CreateAccountHoldingAndBuyTransaction', 'Q2_CompanyWithIndustryCountryAndListedSecurities', 'Q3_SecuritiesHeldInEachFinancialServiceAccount', 'Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity', 'Q5_ReportsAndMetricDataOfCompany', 'Q6_TechUSListedSecuritiesWithHighLastTradedValue', 'Q7_PersonsWhoBoughtMoreIBMThanSold', 'Q8_IBMTransactionsBelowAverageSellingPrice', 'Q9_PersonsWhoBoughtAndSoldSameStock']",0.7777777777777778,4.0,1.0,0.6118539682539682,0.2960836098680436
