source,target,name,semantic_type,notes
Corporation,Industry,corporation_has_industry,descriptor,Connects a corporation to its industry classification.
Corporation,Country,corporation_has_country,descriptor,Connects a corporation to its country.
Corporation,ListedSecurity,corporation_has_listed_security,association,Connects a corporation to listed securities.
ListedSecurity,Security,listed_security_represents_security,association,Connects a listed security to the underlying security.
Person,FinancialServiceAccount,person_owns_financial_service_account,ownership,Connects a person to a financial service account.
FinancialServiceAccount,Holding,account_has_holding,containment,Connects an account to the holdings inside it.
Holding,ListedSecurity,holding_refers_to_listed_security,association,Connects a holding to the listed security being held.
FinancialServiceAccount,Transaction,account_records_transaction,containment,Connects an account to its transactions.
Transaction,ListedSecurity,transaction_refers_to_listed_security,association,Connects a transaction to the listed security traded.
BuyTransaction,Transaction,buy_transaction_is_transaction,subtype,Models buy transactions as a subtype of transaction.
SellTransaction,Transaction,sell_transaction_is_transaction,subtype,Models sell transactions as a subtype of transaction.
Corporation,FinancialReport,corporation_has_financial_report,containment,Connects a corporation to its financial reports.
FinancialReport,ReportElement,financial_report_contains_report_element,containment,Connects a financial report to report-level metric data.
ReportElement,StatementElement,report_element_has_statement_element,containment,Connects report elements to statement elements.
FinancialReport,Disclosure,financial_report_contains_disclosure,containment,Connects a financial report to disclosure data.
