query_name,query_type,Qi_entities_touched,Qi_n_entities_touched,abstract_query,selected_root,Rc,D_value,selected_document_depth,selected_Re,selected_DeltaR,selected_DeltaR_ratio,selected_structural_coverage,n_association,n_associative,n_containment,query_avg_update_volatility,query_max_update_volatility,query_entities_with_nonzero_volatility,query_volatility_class,query_avg_sharedness,query_max_sharedness,query_entities_with_sharedness_gt_1,query_sharedness_class,document_candidate_assessment,has_full_absorption,is_structurally_neutral,has_any_association,has_any_associative,has_any_containment,generic_class,dominant_semantic_group,dominant_semantic_detail,n_shared_descriptor_edges,n_structural_component_edges,n_associative_bridge_edges,n_containment_edges,query_sharedness_details,entity_distances_from_root,Rc_selected_edges
QG10_AdvancedSearchWatchItems,select,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",5,"SEARCH WatchItem BY title keywords, genre, year range, rating threshold and subtype ORDERED BY ranking",WatchItem,4,1,1.0,0.0,4.0,1.0,Full absorption,4,0,0,0.02,0.1,1,Low volatility exposure,26602.410725,644278.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,True,False,False,QG10,association,structural_association,1,3,0,0,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]","{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}","['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']"
QG1_WatchItemById,select,['WatchItem'],1,RETURN WatchItem WHERE watchitem_id = ?,WatchItem,0,0,,,,,No structural traversal,0,0,0,0.1,0.1,1,Low volatility exposure,,,0,Not applicable,Structurally neutral for document,False,True,False,False,False,QG1,none,none,0,0,0,0,[],{'WatchItem': 0},[]
QG2_WatchItemByTitle,select,['WatchItem'],1,RETURN ALL FROM WatchItem WHERE title = ?,WatchItem,0,0,,,,,No structural traversal,0,0,0,0.1,0.1,1,Low volatility exposure,,,0,Not applicable,Structurally neutral for document,False,True,False,False,False,QG2,none,none,0,0,0,0,[],{'WatchItem': 0},[]
QG3_RecommendationByGenreAndSubtype,select,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",5,"RETURN WatchItem recommendations FILTER BY genre, subtype and nearby title components",WatchItem,4,1,1.0,0.0,4.0,1.0,Full absorption,4,0,0,0.02,0.1,1,Low volatility exposure,26602.410725,644278.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,True,False,False,QG3,association,structural_association,1,3,0,0,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]","{'WatchItem': 0, 'Genre': 1, 'Movie': 1, 'Series': 1, 'Episode': 1}","['Genre -- WatchItem [has_genre]', 'Movie -- WatchItem [movie_is_watchitem]', 'Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]']"
QG4_AllPersonsOfTypeForWatchItem,select,"['WatchItem', 'Role', 'Person']",3,RETURN Person.ALL FROM WatchItem WHERE watchitem_id = ? AND role_category = ?,WatchItem,2,2,2.0,0.0,2.0,1.0,Full absorption,0,2,0,0.10000000000000002,0.1,3,Low volatility exposure,3.70675,5692.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,False,True,False,QG4,associative,associative,0,0,2,0,"[{'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]","{'WatchItem': 0, 'Role': 1, 'Person': 2}","['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']"
QG5_AllPersonsForEpisodesOfSeries,select,"['Series', 'Episode', 'WatchItem', 'Role', 'Person']",5,RETURN Person.ALL FOR all Episode of Series WHERE series_watchitem_id = ?,WatchItem,4,2,2.0,0.0,4.0,1.0,Full absorption,2,2,0,0.06000000000000001,0.1,3,Low volatility exposure,2.3533749999999998,5692.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,True,True,False,QG5,mixed_association_associative,mixed_associative_structural_association,0,2,2,0,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]","{'Series': 1, 'Episode': 1, 'WatchItem': 0, 'Role': 1, 'Person': 2}","['Series -- WatchItem [series_is_watchitem]', 'Episode -- WatchItem [episode_is_watchitem]', 'Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']"
QG6_EpisodesOfSeries,select,"['Series', 'Episode']",2,RETURN Episode.ALL FROM Series WHERE series_watchitem_id = ?,Series,1,1,1.0,0.0,1.0,1.0,Full absorption,0,0,1,0.0,0.0,0,No volatility exposure,1.0,1.0,0,Low sharedness,Strong document candidate,True,False,False,False,True,QG6,containment,containment,0,0,0,1,"[{'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Series to Episode (containment)'}]","{'Series': 0, 'Episode': 1}",['Series -- Episode [series_contains_episode]']
QG7_UpdateWatchItemMetadata,update,['WatchItem'],1,"UPDATE WatchItem SET runtime_minutes = ?, primary_genre = ? WHERE watchitem_id = ?",WatchItem,0,0,,,,,No structural traversal,0,0,0,0.1,0.1,1,Low volatility exposure,,,0,Not applicable,Structurally neutral for document,False,True,False,False,False,QG7,none,none,0,0,0,0,[],{'WatchItem': 0},[]
QG8_AddPersonRoleToWatchItem,insert,"['Person', 'WatchItem', 'Role']",3,INSERT Person if needed and connect Person to WatchItem via Role,WatchItem,2,2,2.0,0.0,2.0,1.0,Full absorption,0,2,0,0.10000000000000002,0.1,3,Low volatility exposure,3.70675,5692.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,False,True,False,QG8,associative,associative,0,0,2,0,"[{'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}]","{'Person': 2, 'WatchItem': 0, 'Role': 1}","['Person -- Role [person_in_role]', 'Role -- WatchItem [role_of_watchitem]']"
QG9_TopRatedSeriesByGenre,select,"['WatchItem', 'Series', 'Genre']",3,RETURN TOP K Series BY avg_rating GROUPED/FILTERED BY Genre,WatchItem,2,1,1.0,0.0,2.0,1.0,Full absorption,2,0,0,0.03333333333333333,0.1,1,Low volatility exposure,53203.82145,644278.0,1,High sharedness,Document candidate with stronger trade-offs,True,False,True,False,False,QG9,association,mixed_descriptive_association_structural_association,1,1,0,0,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}]","{'WatchItem': 0, 'Series': 1, 'Genre': 1}","['Genre -- WatchItem [has_genre]', 'Series -- WatchItem [series_is_watchitem]']"
