query_name,generic_class,query_type,selected_root,Rc,D_value,selected_document_depth,selected_Re,selected_DeltaR,selected_DeltaR_ratio,selected_structural_coverage,dominant_semantic_group,dominant_semantic_detail,updavg,updmax,query_volatility_class,shareavg,sharemax,query_sharedness_class,document_candidate_assessment
QG1_WatchItemById,QG1,select,WatchItem,0,0,,,,,No structural traversal,none,none,0.1,0.1,Low volatility exposure,,,Not applicable,Structurally neutral for document
QG10_AdvancedSearchWatchItems,QG10,select,WatchItem,4,1,1.0,0.0,4.0,1.0,Full absorption,association,structural_association,0.02,0.1,Low volatility exposure,26602.410725,644278.0,High sharedness,Document candidate with stronger trade-offs
QG2_WatchItemByTitle,QG2,select,WatchItem,0,0,,,,,No structural traversal,none,none,0.1,0.1,Low volatility exposure,,,Not applicable,Structurally neutral for document
QG3_RecommendationByGenreAndSubtype,QG3,select,WatchItem,4,1,1.0,0.0,4.0,1.0,Full absorption,association,structural_association,0.02,0.1,Low volatility exposure,26602.410725,644278.0,High sharedness,Document candidate with stronger trade-offs
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,2,2,2.0,0.0,2.0,1.0,Full absorption,associative,associative,0.10000000000000002,0.1,Low volatility exposure,3.70675,5692.0,High sharedness,Document candidate with stronger trade-offs
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,4,2,2.0,0.0,4.0,1.0,Full absorption,mixed_association_associative,mixed_associative_structural_association,0.06000000000000001,0.1,Low volatility exposure,2.3533749999999998,5692.0,High sharedness,Document candidate with stronger trade-offs
QG6_EpisodesOfSeries,QG6,select,Series,1,1,1.0,0.0,1.0,1.0,Full absorption,containment,containment,0.0,0.0,No volatility exposure,1.0,1.0,Low sharedness,Strong document candidate
QG7_UpdateWatchItemMetadata,QG7,update,WatchItem,0,0,,,,,No structural traversal,none,none,0.1,0.1,Low volatility exposure,,,Not applicable,Structurally neutral for document
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,2,2,2.0,0.0,2.0,1.0,Full absorption,associative,associative,0.10000000000000002,0.1,Low volatility exposure,3.70675,5692.0,High sharedness,Document candidate with stronger trade-offs
QG9_TopRatedSeriesByGenre,QG9,select,WatchItem,2,1,1.0,0.0,2.0,1.0,Full absorption,association,mixed_descriptive_association_structural_association,0.03333333333333333,0.1,Low volatility exposure,53203.82145,644278.0,High sharedness,Document candidate with stronger trade-offs
