query_name,generic_class,query_type,selected_root,test_depth,Rc,D_value,Re,DeltaR,DeltaR_ratio,document_structural_coverage,dominant_semantic_group,dominant_semantic_detail,n_shared_descriptor_edges,n_structural_component_edges,n_associative_bridge_edges,n_containment_edges,root_consistent_v5_v10,Rc_consistent_v5_v10
QG10_AdvancedSearchWatchItems,QG10,select,WatchItem,0.0,4,1,4.0,0.0,0.0,No absorption,association,structural_association,1,3,0,0,True,True
QG10_AdvancedSearchWatchItems,QG10,select,WatchItem,1.0,4,1,0.0,4.0,1.0,Full absorption,association,structural_association,1,3,0,0,True,True
QG1_WatchItemById,QG1,select,WatchItem,,0,0,,,,No structural traversal,none,none,0,0,0,0,False,False
QG2_WatchItemByTitle,QG2,select,WatchItem,,0,0,,,,No structural traversal,none,none,0,0,0,0,False,False
QG3_RecommendationByGenreAndSubtype,QG3,select,WatchItem,0.0,4,1,4.0,0.0,0.0,No absorption,association,structural_association,1,3,0,0,True,True
QG3_RecommendationByGenreAndSubtype,QG3,select,WatchItem,1.0,4,1,0.0,4.0,1.0,Full absorption,association,structural_association,1,3,0,0,True,True
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,0.0,2,2,2.0,0.0,0.0,No absorption,associative,associative,0,0,2,0,True,True
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,1.0,2,2,1.0,1.0,0.5,Partial absorption,associative,associative,0,0,2,0,True,True
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,2.0,2,2,0.0,2.0,1.0,Full absorption,associative,associative,0,0,2,0,True,True
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,0.0,4,2,4.0,0.0,0.0,No absorption,mixed_association_associative,mixed_associative_structural_association,0,2,2,0,True,True
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,1.0,4,2,1.0,3.0,0.75,Partial absorption,mixed_association_associative,mixed_associative_structural_association,0,2,2,0,True,True
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,2.0,4,2,0.0,4.0,1.0,Full absorption,mixed_association_associative,mixed_associative_structural_association,0,2,2,0,True,True
QG6_EpisodesOfSeries,QG6,select,Series,0.0,1,1,1.0,0.0,0.0,No absorption,containment,containment,0,0,0,1,True,True
QG6_EpisodesOfSeries,QG6,select,Series,1.0,1,1,0.0,1.0,1.0,Full absorption,containment,containment,0,0,0,1,True,True
QG7_UpdateWatchItemMetadata,QG7,update,WatchItem,,0,0,,,,No structural traversal,none,none,0,0,0,0,False,False
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,0.0,2,2,2.0,0.0,0.0,No absorption,associative,associative,0,0,2,0,True,True
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,1.0,2,2,1.0,1.0,0.5,Partial absorption,associative,associative,0,0,2,0,True,True
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,2.0,2,2,0.0,2.0,1.0,Full absorption,associative,associative,0,0,2,0,True,True
QG9_TopRatedSeriesByGenre,QG9,select,WatchItem,0.0,2,1,2.0,0.0,0.0,No absorption,association,mixed_descriptive_association_structural_association,1,1,0,0,True,True
QG9_TopRatedSeriesByGenre,QG9,select,WatchItem,1.0,2,1,0.0,2.0,1.0,Full absorption,association,mixed_descriptive_association_structural_association,1,1,0,0,True,True
