query_name,generic_class,query_type,selected_root,Rc,D_value,selected_document_depth,selected_Re,selected_DeltaR,selected_DeltaR_ratio,dominant_semantic_group,dominant_semantic_detail,updavg,updmax,n_entities_with_nonzero_update_volatility,query_volatility_class
QG1_WatchItemById,QG1,select,WatchItem,0,0,,,,,none,none,0.1,0.1,1,Low volatility exposure
QG10_AdvancedSearchWatchItems,QG10,select,WatchItem,4,1,1.0,0.0,4.0,1.0,association,structural_association,0.02,0.1,1,Low volatility exposure
QG2_WatchItemByTitle,QG2,select,WatchItem,0,0,,,,,none,none,0.1,0.1,1,Low volatility exposure
QG3_RecommendationByGenreAndSubtype,QG3,select,WatchItem,4,1,1.0,0.0,4.0,1.0,association,structural_association,0.02,0.1,1,Low volatility exposure
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,2,2,2.0,0.0,2.0,1.0,associative,associative,0.10000000000000002,0.1,3,Low volatility exposure
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,4,2,2.0,0.0,4.0,1.0,mixed_association_associative,mixed_associative_structural_association,0.06000000000000001,0.1,3,Low volatility exposure
QG6_EpisodesOfSeries,QG6,select,Series,1,1,1.0,0.0,1.0,1.0,containment,containment,0.0,0.0,0,No volatility exposure
QG7_UpdateWatchItemMetadata,QG7,update,WatchItem,0,0,,,,,none,none,0.1,0.1,1,Low volatility exposure
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,2,2,2.0,0.0,2.0,1.0,associative,associative,0.10000000000000002,0.1,3,Low volatility exposure
QG9_TopRatedSeriesByGenre,QG9,select,WatchItem,2,1,1.0,0.0,2.0,1.0,association,mixed_descriptive_association_structural_association,0.03333333333333333,0.1,1,Low volatility exposure
