query_name,generic_class,query_type,selected_root,Rc,D_value,document_depth_selected,Re_selected,DeltaR_selected,DeltaRratio_selected,dominant_semantic_group,dominant_semantic_detail,n_association,n_associative,n_containment,n_shared_descriptor_edges,n_structural_component_edges,n_associative_bridge_edges,n_containment_edges,depth_selection_reason,root_consistent_v5_v10,Rc_consistent_v5_v10
QG1_WatchItemById,QG1,select,WatchItem,0,0,,,,,none,none,0,0,0,0,0,0,0,,False,False
QG10_AdvancedSearchWatchItems,QG10,select,WatchItem,4,1,1.0,0.0,4.0,1.0,association,structural_association,4,0,0,1,3,0,0,min_depth_with_total_absorption,True,True
QG2_WatchItemByTitle,QG2,select,WatchItem,0,0,,,,,none,none,0,0,0,0,0,0,0,,False,False
QG3_RecommendationByGenreAndSubtype,QG3,select,WatchItem,4,1,1.0,0.0,4.0,1.0,association,structural_association,4,0,0,1,3,0,0,min_depth_with_total_absorption,True,True
QG4_AllPersonsOfTypeForWatchItem,QG4,select,WatchItem,2,2,2.0,0.0,2.0,1.0,associative,associative,0,2,0,0,0,2,0,min_depth_with_total_absorption,True,True
QG5_AllPersonsForEpisodesOfSeries,QG5,select,WatchItem,4,2,2.0,0.0,4.0,1.0,mixed_association_associative,mixed_associative_structural_association,2,2,0,0,2,2,0,min_depth_with_total_absorption,True,True
QG6_EpisodesOfSeries,QG6,select,Series,1,1,1.0,0.0,1.0,1.0,containment,containment,0,0,1,0,0,0,1,min_depth_with_total_absorption,True,True
QG7_UpdateWatchItemMetadata,QG7,update,WatchItem,0,0,,,,,none,none,0,0,0,0,0,0,0,,False,False
QG8_AddPersonRoleToWatchItem,QG8,insert,WatchItem,2,2,2.0,0.0,2.0,1.0,associative,associative,0,2,0,0,0,2,0,min_depth_with_total_absorption,True,True
QG9_TopRatedSeriesByGenre,QG9,select,WatchItem,2,1,1.0,0.0,2.0,1.0,association,mixed_descriptive_association_structural_association,2,0,0,1,1,0,0,min_depth_with_total_absorption,True,True
