benchmark_family,family_label,scale_label,config_a,config_b,experiment_id_a,experiment_id_b,mongo_db_a,mongo_db_b,activated_class_a,activated_class_b,comparison_goal
associative_family,Associativa,sf0.25,watchitem_g4,watchitem_g5,watchitem_g4_sf0.25,watchitem_g5_sf0.25,imdb_mongo_sf0.25_watchitem_g4,imdb_mongo_sf0.25_watchitem_g5,G4,G5,Comparar watchitem_g4 versus watchitem_g5 dentro da família Associativa em sf0.25.
associative_family,Associativa,sf0.25,watchitem_g4,watchitem_g6,watchitem_g4_sf0.25,watchitem_g6_sf0.25,imdb_mongo_sf0.25_watchitem_g4,imdb_mongo_sf0.25_watchitem_g6,G4,G6,Comparar watchitem_g4 versus watchitem_g6 dentro da família Associativa em sf0.25.
associative_family,Associativa,sf0.25,watchitem_g5,watchitem_g6,watchitem_g5_sf0.25,watchitem_g6_sf0.25,imdb_mongo_sf0.25_watchitem_g5,imdb_mongo_sf0.25_watchitem_g6,G5,G6,Comparar watchitem_g5 versus watchitem_g6 dentro da família Associativa em sf0.25.
containment_family,Containment,sf0.25,series_g7,series_g8,series_g7_sf0.25,series_g8_sf0.25,imdb_mongo_sf0.25_series_g7,imdb_mongo_sf0.25_series_g8,G7,G8,Comparar series_g7 versus series_g8 dentro da família Containment em sf0.25.
containment_family,Containment,sf0.25,series_g7,series_g9,series_g7_sf0.25,series_g9_sf0.25,imdb_mongo_sf0.25_series_g7,imdb_mongo_sf0.25_series_g9,G7,G9,Comparar series_g7 versus series_g9 dentro da família Containment em sf0.25.
containment_family,Containment,sf0.25,series_g8,series_g9,series_g8_sf0.25,series_g9_sf0.25,imdb_mongo_sf0.25_series_g8,imdb_mongo_sf0.25_series_g9,G8,G9,Comparar series_g8 versus series_g9 dentro da família Containment em sf0.25.
root_local_family,WatchItem rasa,sf0.25,watchitem_g0,watchitem_g2,watchitem_g0_sf0.25,watchitem_g2_sf0.25,imdb_mongo_sf0.25_watchitem_g0,imdb_mongo_sf0.25_watchitem_g2,G0,G2,Comparar watchitem_g0 versus watchitem_g2 dentro da família WatchItem rasa em sf0.25.
root_local_family,WatchItem rasa,sf0.25,watchitem_g0,watchitem_g3,watchitem_g0_sf0.25,watchitem_g3_sf0.25,imdb_mongo_sf0.25_watchitem_g0,imdb_mongo_sf0.25_watchitem_g3,G0,G3,Comparar watchitem_g0 versus watchitem_g3 dentro da família WatchItem rasa em sf0.25.
root_local_family,WatchItem rasa,sf0.25,watchitem_g2,watchitem_g3,watchitem_g2_sf0.25,watchitem_g3_sf0.25,imdb_mongo_sf0.25_watchitem_g2,imdb_mongo_sf0.25_watchitem_g3,G2,G3,Comparar watchitem_g2 versus watchitem_g3 dentro da família WatchItem rasa em sf0.25.
associative_family,Associativa,sf0.5,watchitem_g4,watchitem_g5,watchitem_g4_sf0.5,watchitem_g5_sf0.5,imdb_mongo_sf0.5_watchitem_g4,imdb_mongo_sf0.5_watchitem_g5,G4,G5,Comparar watchitem_g4 versus watchitem_g5 dentro da família Associativa em sf0.5.
associative_family,Associativa,sf0.5,watchitem_g4,watchitem_g6,watchitem_g4_sf0.5,watchitem_g6_sf0.5,imdb_mongo_sf0.5_watchitem_g4,imdb_mongo_sf0.5_watchitem_g6,G4,G6,Comparar watchitem_g4 versus watchitem_g6 dentro da família Associativa em sf0.5.
associative_family,Associativa,sf0.5,watchitem_g5,watchitem_g6,watchitem_g5_sf0.5,watchitem_g6_sf0.5,imdb_mongo_sf0.5_watchitem_g5,imdb_mongo_sf0.5_watchitem_g6,G5,G6,Comparar watchitem_g5 versus watchitem_g6 dentro da família Associativa em sf0.5.
containment_family,Containment,sf0.5,series_g7,series_g8,series_g7_sf0.5,series_g8_sf0.5,imdb_mongo_sf0.5_series_g7,imdb_mongo_sf0.5_series_g8,G7,G8,Comparar series_g7 versus series_g8 dentro da família Containment em sf0.5.
