query_name,edge_id,relationship_name,semantic_group,semantic_detail,is_shared_descriptor,is_structural_component,is_associative_bridge,is_containment,notes
QG3_RecommendationByGenreAndSubtype,Genre -- WatchItem [has_genre],has_genre,association,descriptive_association,True,False,False,False,Genre funciona como descritor pequeno e compartilhado ligado à raiz WatchItem.
QG3_RecommendationByGenreAndSubtype,Movie -- WatchItem [movie_is_watchitem],movie_is_watchitem,association,structural_association,False,True,False,False,Movie é subtipo/componente estrutural próximo da raiz WatchItem.
QG3_RecommendationByGenreAndSubtype,Series -- WatchItem [series_is_watchitem],series_is_watchitem,association,structural_association,False,True,False,False,Series é subtipo/componente estrutural próximo da raiz WatchItem.
QG3_RecommendationByGenreAndSubtype,Episode -- WatchItem [episode_is_watchitem],episode_is_watchitem,association,structural_association,False,True,False,False,Episode é subtipo/componente estrutural próximo da raiz WatchItem.
QG4_AllPersonsOfTypeForWatchItem,Person -- Role [person_in_role],person_in_role,associative,associative,False,False,True,False,Aresta do caminho associativo entre entidade final compartilhada e entidade associativa.
QG4_AllPersonsOfTypeForWatchItem,Role -- WatchItem [role_of_watchitem],role_of_watchitem,associative,associative,False,False,True,False,Aresta do caminho associativo entre a entidade associativa e a raiz WatchItem.
QG5_AllPersonsForEpisodesOfSeries,Series -- WatchItem [series_is_watchitem],series_is_watchitem,association,structural_association,False,True,False,False,Series é subtipo/componente estrutural próximo da raiz WatchItem.
QG5_AllPersonsForEpisodesOfSeries,Episode -- WatchItem [episode_is_watchitem],episode_is_watchitem,association,structural_association,False,True,False,False,Episode é subtipo/componente estrutural próximo da raiz WatchItem.
QG5_AllPersonsForEpisodesOfSeries,Person -- Role [person_in_role],person_in_role,associative,associative,False,False,True,False,Aresta do caminho associativo entre entidade final compartilhada e entidade associativa.
QG5_AllPersonsForEpisodesOfSeries,Role -- WatchItem [role_of_watchitem],role_of_watchitem,associative,associative,False,False,True,False,Aresta do caminho associativo entre a entidade associativa e a raiz WatchItem.
QG6_EpisodesOfSeries,Series -- Episode [series_contains_episode],series_contains_episode,containment,containment,False,False,False,True,Relação parte-todo explícita entre Series e Episode.
QG8_AddPersonRoleToWatchItem,Person -- Role [person_in_role],person_in_role,associative,associative,False,False,True,False,Aresta do caminho associativo entre entidade final compartilhada e entidade associativa.
QG8_AddPersonRoleToWatchItem,Role -- WatchItem [role_of_watchitem],role_of_watchitem,associative,associative,False,False,True,False,Aresta do caminho associativo entre a entidade associativa e a raiz WatchItem.
QG9_TopRatedSeriesByGenre,Genre -- WatchItem [has_genre],has_genre,association,descriptive_association,True,False,False,False,Genre funciona como descritor pequeno e compartilhado ligado à raiz WatchItem.
QG9_TopRatedSeriesByGenre,Series -- WatchItem [series_is_watchitem],series_is_watchitem,association,structural_association,False,True,False,False,Series é subtipo/componente estrutural próximo da raiz WatchItem.
QG10_AdvancedSearchWatchItems,Genre -- WatchItem [has_genre],has_genre,association,descriptive_association,True,False,False,False,Genre funciona como descritor pequeno e compartilhado ligado à raiz WatchItem.
QG10_AdvancedSearchWatchItems,Movie -- WatchItem [movie_is_watchitem],movie_is_watchitem,association,structural_association,False,True,False,False,Movie é subtipo/componente estrutural próximo da raiz WatchItem.
QG10_AdvancedSearchWatchItems,Series -- WatchItem [series_is_watchitem],series_is_watchitem,association,structural_association,False,True,False,False,Series é subtipo/componente estrutural próximo da raiz WatchItem.
QG10_AdvancedSearchWatchItems,Episode -- WatchItem [episode_is_watchitem],episode_is_watchitem,association,structural_association,False,True,False,False,Episode é subtipo/componente estrutural próximo da raiz WatchItem.
