query_name,selected_root,entities_touched_for_sharedness,shareavg,sharemax,n_entities_with_sharedness_gt_1,query_sharedness_details,query_avg_sharedness,query_max_sharedness,query_entities_with_sharedness_gt_1,query_sharedness_class
QG1_WatchItemById,WatchItem,['WatchItem'],,,0,[],,,0,Not applicable
QG10_AdvancedSearchWatchItems,WatchItem,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",26602.410725,644278.0,1,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]",26602.410725,644278.0,1,High sharedness
QG2_WatchItemByTitle,WatchItem,['WatchItem'],,,0,[],,,0,Not applicable
QG3_RecommendationByGenreAndSubtype,WatchItem,"['WatchItem', 'Genre', 'Movie', 'Series', 'Episode']",26602.410725,644278.0,1,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]",26602.410725,644278.0,1,High sharedness
QG4_AllPersonsOfTypeForWatchItem,WatchItem,"['WatchItem', 'Role', 'Person']",3.70675,5692.0,1,"[{'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]",3.70675,5692.0,1,High sharedness
QG5_AllPersonsForEpisodesOfSeries,WatchItem,"['Series', 'Episode', 'WatchItem', 'Role', 'Person']",2.3533749999999998,5692.0,1,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]",2.3533749999999998,5692.0,1,High sharedness
QG6_EpisodesOfSeries,Series,"['Series', 'Episode']",1.0,1.0,0,"[{'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Series to Episode (containment)'}]",1.0,1.0,0,Low sharedness
QG7_UpdateWatchItemMetadata,WatchItem,['WatchItem'],,,0,[],,,0,Not applicable
QG8_AddPersonRoleToWatchItem,WatchItem,"['Person', 'WatchItem', 'Role']",3.70675,5692.0,1,"[{'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}]",3.70675,5692.0,1,High sharedness
QG9_TopRatedSeriesByGenre,WatchItem,"['WatchItem', 'Series', 'Genre']",53203.82145,644278.0,1,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}]",53203.82145,644278.0,1,High sharedness
