query_name,semantic_detail,count
QG10_AdvancedSearchWatchItems,descriptive_association,1
QG10_AdvancedSearchWatchItems,structural_association,3
QG3_RecommendationByGenreAndSubtype,descriptive_association,1
QG3_RecommendationByGenreAndSubtype,structural_association,3
QG4_AllPersonsOfTypeForWatchItem,associative,2
QG5_AllPersonsForEpisodesOfSeries,associative,2
QG5_AllPersonsForEpisodesOfSeries,structural_association,2
QG6_EpisodesOfSeries,containment,1
QG8_AddPersonRoleToWatchItem,associative,2
QG9_TopRatedSeriesByGenre,descriptive_association,1
QG9_TopRatedSeriesByGenre,structural_association,1
