shareavg,sharemax,n_entities_with_sharedness_gt_1,query_sharedness_details,query_avg_sharedness,query_max_sharedness,query_entities_with_sharedness_gt_1
,,0,[],,,0
26602.410725,644278.0,1,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]",26602.410725,644278.0,1
,,0,[],,,0
26602.410725,644278.0,1,"[{'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}, {'target_entity': 'Movie', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Movie is WatchItem'}, {'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}]",26602.410725,644278.0,1
3.70675,5692.0,1,"[{'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]",3.70675,5692.0,1
2.3533749999999998,5692.0,1,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Episode is WatchItem'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}, {'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}]",2.3533749999999998,5692.0,1
1.0,1.0,0,"[{'target_entity': 'Episode', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Series to Episode (containment)'}]",1.0,1.0,0
,,0,[],,,0
3.70675,5692.0,1,"[{'target_entity': 'Person', 'shareobs': 6.4135, 'sharemax_obs': 5692.0, 'relationship_context': 'WatchItem to Person via Role'}, {'target_entity': 'Role', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'WatchItem to Role'}]",3.70675,5692.0,1
53203.82145,644278.0,1,"[{'target_entity': 'Series', 'shareobs': 1.0, 'sharemax_obs': 1.0, 'relationship_context': 'Subtype identity: Series is WatchItem'}, {'target_entity': 'Genre', 'shareobs': 106406.6429, 'sharemax_obs': 644278.0, 'relationship_context': 'WatchItem to Genre'}]",53203.82145,644278.0,1
