official_id,query_name,scale_label,best_config,best_group,best_design_pattern,best_p95_ms,best_avg_latency_ms,best_p99_ms,avg_documents_returned
QG1,QG1_WatchItemById,sf0.25,G9,control,containment_family,0.2058836013020482,0.2011685988691169,0.2062695198401343,1.0
QG1,QG1_WatchItemById,sf0.5,G7,control,containment_family,0.1924242096720263,0.1827366038924083,0.1927784498548135,1.0
QG1,QG1_WatchItemById,sf1,G9,control,containment_family,0.2132579043973237,0.2062684041447937,0.2137827791739255,1.0
QG10,QG10_AdvancedSearchWatchItems,sf0.25,G9,secondary_affected,containment_family,115.31208974847686,66.54323310067412,116.78344754865977,6.9
QG10,QG10_AdvancedSearchWatchItems,sf0.5,G7,secondary_affected,containment_family,171.64141285902582,94.26617080171128,192.6996081773541,9.9
QG10,QG10_AdvancedSearchWatchItems,sf1,G9,secondary_affected,containment_family,299.80202334627387,191.4542595986859,311.6319750690309,6.8
QG2,QG2_WatchItemByTitle,sf0.25,G9,control,containment_family,0.2828345986927161,0.2629424998303875,0.2833357186318608,8.2
QG2,QG2_WatchItemByTitle,sf0.5,G7,control,containment_family,0.2852347490261309,0.2500183007214218,0.2915365467197262,10.3
QG2,QG2_WatchItemByTitle,sf1,G8,control,containment_family,0.3094789477472659,0.2982343008625321,0.3097413903742563,18.2
QG3,QG3_RecommendationByGenreAndSubtype,sf0.25,G8,secondary_affected,containment_family,5.637626150928553,2.609850899898447,5.843572432422661,20.0
QG3,QG3_RecommendationByGenreAndSubtype,sf0.5,G8,secondary_affected,containment_family,7.588796650088624,3.3232820002012886,7.755448933603475,20.0
QG3,QG3_RecommendationByGenreAndSubtype,sf1,G8,secondary_affected,containment_family,10.41732880621566,4.100245602603536,11.826028967479942,20.0
QG4,QG4_AllPersonsOfTypeForWatchItem,sf0.25,G6,primary,associative_family,0.3935545493732206,0.3551597990735899,0.4003373111481778,39.5
QG4,QG4_AllPersonsOfTypeForWatchItem,sf0.5,G5,primary,associative_family,0.3330338535306509,0.3231116032111458,0.3338427752896677,43.1
QG4,QG4_AllPersonsOfTypeForWatchItem,sf1,G6,primary,associative_family,0.2023525965341832,0.1912372972583398,0.203516114706872,44.7
QG5,QG5_AllPersonsForEpisodesOfSeries,sf0.25,G4,primary,associative_family,81.24685599796065,53.64360720050172,84.14055759967596,767.4
QG5,QG5_AllPersonsForEpisodesOfSeries,sf0.5,G4,primary,associative_family,164.45552805307668,106.75897669862024,169.6272992125887,1029.5
QG5,QG5_AllPersonsForEpisodesOfSeries,sf1,G4,primary,associative_family,367.5689083487668,224.9524175000261,387.9431432757701,1719.3
QG6,QG6_EpisodesOfSeries,sf0.25,G2,control,root_local_family,0.6322362009086646,0.5326362013875041,0.6341456403606571,3187.0
QG6,QG6_EpisodesOfSeries,sf0.5,G7,primary,containment_family,1.0162401005800346,0.8317278028698638,1.07276801703847,6381.4
QG6,QG6_EpisodesOfSeries,sf1,G7,primary,containment_family,2.2719003987731408,1.820074902207125,2.4089840782107785,12763.4
QG7,QG7_UpdateWatchItemMetadata,sf0.25,G8,control,containment_family,0.262326949450653,0.2536132000386715,0.2636837909813039,0.0
QG7,QG7_UpdateWatchItemMetadata,sf0.5,G7,control,containment_family,0.2189182479924056,0.2108275977661833,0.2202484507870394,0.0
QG7,QG7_UpdateWatchItemMetadata,sf1,G8,control,containment_family,0.2347379522689152,0.2305287009221501,0.2348995920328889,0.0
QG8,QG8_AddPersonRoleToWatchItem,sf0.25,G0,primary,root_local_family,0.4179502480837982,0.3882515993609559,0.4205404499953147,0.0
QG8,QG8_AddPersonRoleToWatchItem,sf0.5,G7,control,containment_family,0.3584647929528728,0.3318741000839509,0.3652457526186481,0.0
QG8,QG8_AddPersonRoleToWatchItem,sf1,G3,secondary_affected,root_local_family,0.3732010467501823,0.3677355998661369,0.3733490030572284,0.0
QG9,QG9_TopRatedSeriesByGenre,sf0.25,G7,secondary_affected,containment_family,3.006609698422833,1.343326501228148,3.650316337661936,20.0
QG9,QG9_TopRatedSeriesByGenre,sf0.5,G7,secondary_affected,containment_family,2.054242697340668,0.9056091992533766,2.451442936580861,20.0
QG9,QG9_TopRatedSeriesByGenre,sf1,G7,secondary_affected,containment_family,4.0780437040666575,1.704164301918354,4.481450344464975,20.0
