official_id,query_name,scale_label,activated_family,best_config,best_design_pattern,best_p95_ms,best_primary_config,best_primary_p95_ms,primary_regret,activated_regret
QG1,QG1_WatchItemById,sf0.25,G0,G9,containment_family,0.2058836013020482,G0,0.2859556516341399,0.3889190291295682,0.3889190291295682
QG1,QG1_WatchItemById,sf0.5,G0,G7,containment_family,0.1924242096720263,G0,0.2703699959965888,0.4050726592948759,0.4050726592948759
QG1,QG1_WatchItemById,sf1,G0,G9,containment_family,0.2132579043973237,G0,0.2717232549912296,0.2741532641387038,0.2741532641387038
QG2,QG2_WatchItemByTitle,sf0.25,G0,G9,containment_family,0.2828345986927161,G0,0.2979677996336249,0.05350547991955603,0.05350547991955603
QG2,QG2_WatchItemByTitle,sf0.5,G0,G7,containment_family,0.2852347490261309,G0,0.3065782526391558,0.07482785209690414,0.07482785209690414
QG2,QG2_WatchItemByTitle,sf1,G0,G8,containment_family,0.3094789477472659,G0,0.3165574067679699,0.022872182654842668,0.022872182654842668
QG6,QG6_EpisodesOfSeries,sf0.25,"G7, G8, G9",G2,root_local_family,0.6322362009086646,G7,0.9189984484692104,0.453568218884658,0.453568218884658
QG7,QG7_UpdateWatchItemMetadata,sf0.25,G0,G8,containment_family,0.262326949450653,G0,0.3965134521422441,0.511523894028407,0.511523894028407
QG7,QG7_UpdateWatchItemMetadata,sf0.5,G0,G7,containment_family,0.2189182479924056,G0,0.3840257930278312,0.7541972702118155,0.7541972702118155
QG7,QG7_UpdateWatchItemMetadata,sf1,G0,G8,containment_family,0.2347379522689152,G0,0.30432164130616,0.296431354046788,0.296431354046788
QG8,QG8_AddPersonRoleToWatchItem,sf0.5,"G0, G4, G5, G6",G7,containment_family,0.3584647929528728,G0,0.4014646503492258,0.11995559464052066,0.11995559464052066
